注文日,商品,カテゴリ,地域,顧客,数量,売上金額,原価
2025年3月1日 土曜日,ノートパソコン,電子機器,埼玉,パズー,5,"6,000,000","4,500,000"
2025年5月25日 日曜日,モニター,電子機器,埼玉,パズー,3,"900,000","600,000"
2025年9月16日 火曜日,キーボード,周辺機器,東京,ソフィー,3,"240,000","120,000"
2025年11月21日 金曜日,キーボード,周辺機器,東京,ハウル,3,"240,000","120,000"
2025年6月20日 金曜日,モニター,電子機器,埼玉,キキ,3,"900,000","600,000"
2025年10月10日 金曜日,キーボード,周辺機器,東京,ソフィー,5,"400,000","200,000"
2025年2月8日 土曜日,モニター,電子機器,東京,サン,5,"1,500,000","1,000,000"
2025年10月26日 日曜日,モニター,電子機器,埼玉,ハウル,4,"1,200,000","800,000"
2025年6月7日 土曜日,マウス,周辺機器,大阪,千尋,1,"30,000","15,000"
2025年12月16日 火曜日,モニター,電子機器,大阪,アシタカ,1,"300,000","200,000"
2025年11月14日 金曜日,モニター,電子機器,埼玉,ハク,2,"600,000","400,000"
2025年7月31日 木曜日,ノートパソコン,電子機器,大阪,アシタカ,2,"2,400,000","1,800,000"
2025年12月9日 火曜日,モニター,電子機器,埼玉,ソフィー,3,"900,000","600,000"
2025年7月15日 火曜日,ノートパソコン,電子機器,埼玉,千尋,4,"4,800,000","3,600,000"
2025年8月24日 日曜日,マウス,周辺機器,埼玉,千尋,3,"90,000","45,000"
2025年1月13日 月曜日,モニター,電子機器,大阪,パズー,4,"1,200,000","800,000"
2025年2月5日 水曜日,マウス,周辺機器,名古屋,アシタカ,3,"90,000","45,000"
2025年12月14日 日曜日,マウス,周辺機器,東京,パズー,1,"30,000","15,000"
2025年4月2日 水曜日,マウス,周辺機器,東京,アシタカ,1,"30,000","15,000"
2025年6月26日 木曜日,マウス,周辺機器,名古屋,ソフィー,4,"120,000","60,000"
2025年7月17日 木曜日,モニター,電子機器,東京,アシタカ,3,"900,000","600,000"
2025年1月1日 水曜日,モニター,電子機器,横浜,ソフィー,3,"900,000","600,000"
2025年12月7日 日曜日,マウス,周辺機器,大阪,ソフィー,5,"150,000","75,000"
2025年6月3日 火曜日,マウス,周辺機器,大阪,アシタカ,4,"120,000","60,000"
2025年12月23日 火曜日,マウス,周辺機器,埼玉,千尋,5,"150,000","75,000"
2025年8月4日 月曜日,キーボード,周辺機器,名古屋,パズー,2,"160,000","80,000"
2025年7月27日 日曜日,ノートパソコン,電子機器,大阪,千尋,3,"3,600,000","2,700,000"
2025年8月9日 土曜日,マウス,周辺機器,横浜,キキ,4,"120,000","60,000"
2025年12月12日 金曜日,モニター,電子機器,横浜,ハク,5,"1,500,000","1,000,000"
2025年12月4日 木曜日,ノートパソコン,電子機器,名古屋,サン,3,"3,600,000","2,700,000"
2025年2月17日 月曜日,モニター,電子機器,埼玉,千尋,3,"900,000","600,000"
2025年3月17日 月曜日,ノートパソコン,電子機器,埼玉,キキ,1,"1,200,000","900,000"
2025年11月9日 日曜日,ノートパソコン,電子機器,横浜,千尋,4,"4,800,000","3,600,000"
2025年12月23日 火曜日,キーボード,周辺機器,横浜,千尋,4,"320,000","160,000"
2025年3月17日 月曜日,ノートパソコン,電子機器,横浜,千尋,1,"1,200,000","900,000"
2025年4月1日 火曜日,キーボード,周辺機器,名古屋,千尋,1,"80,000","40,000"
2025年3月4日 火曜日,キーボード,周辺機器,横浜,サン,2,"160,000","80,000"
2025年8月15日 金曜日,キーボード,周辺機器,横浜,ハク,5,"400,000","200,000"
2025年9月1日 月曜日,キーボード,周辺機器,埼玉,パズー,3,"240,000","120,000"
2025年9月24日 水曜日,キーボード,周辺機器,大阪,キキ,2,"160,000","80,000"
2025年2月9日 日曜日,マウス,周辺機器,大阪,サン,2,"60,000","30,000"
2025年6月13日 金曜日,ノートパソコン,電子機器,埼玉,千尋,2,"2,400,000","1,800,000"
2025年7月16日 水曜日,モニター,電子機器,東京,アシタカ,2,"600,000","400,000"
2025年7月28日 月曜日,マウス,周辺機器,横浜,アシタカ,5,"150,000","75,000"
2025年2月1日 土曜日,モニター,電子機器,横浜,ハウル,4,"1,200,000","800,000"
2025年10月22日 水曜日,キーボード,周辺機器,東京,サン,4,"320,000","160,000"
2025年6月2日 月曜日,キーボード,周辺機器,名古屋,千尋,4,"320,000","160,000"
2025年9月7日 日曜日,モニター,電子機器,横浜,キキ,3,"900,000","600,000"
2025年1月15日 水曜日,キーボード,周辺機器,横浜,ハク,3,"240,000","120,000"
2025年8月28日 木曜日,モニター,電子機器,名古屋,ハウル,5,"1,500,000","1,000,000"
2025年7月21日 月曜日,ノートパソコン,電子機器,横浜,ハク,1,"1,200,000","900,000"
2025年8月25日 月曜日,モニター,電子機器,大阪,アシタカ,1,"300,000","200,000"
2025年6月17日 火曜日,モニター,電子機器,大阪,サン,4,"1,200,000","800,000"
2025年7月14日 月曜日,マウス,周辺機器,大阪,ソフィー,4,"120,000","60,000"
2025年8月29日 金曜日,ノートパソコン,電子機器,東京,サン,5,"6,000,000","4,500,000"
2025年4月25日 金曜日,ノートパソコン,電子機器,東京,千尋,1,"1,200,000","900,000"
2025年4月13日 日曜日,ノートパソコン,電子機器,埼玉,千尋,5,"6,000,000","4,500,000"
2025年3月6日 木曜日,キーボード,周辺機器,名古屋,千尋,1,"80,000","40,000"
2025年8月27日 水曜日,マウス,周辺機器,埼玉,ソフィー,3,"90,000","45,000"
2025年3月25日 火曜日,マウス,周辺機器,名古屋,ハウル,1,"30,000","15,000"
2025年6月9日 月曜日,キーボード,周辺機器,埼玉,ソフィー,4,"320,000","160,000"
2025年10月31日 金曜日,モニター,電子機器,大阪,ソフィー,1,"300,000","200,000"
2025年10月17日 金曜日,ノートパソコン,電子機器,名古屋,アシタカ,3,"3,600,000","2,700,000"
2025年12月5日 金曜日,マウス,周辺機器,名古屋,サン,1,"30,000","15,000"
2025年1月7日 火曜日,キーボード,周辺機器,東京,アシタカ,4,"320,000","160,000"
2025年7月5日 土曜日,キーボード,周辺機器,横浜,ハク,2,"160,000","80,000"
2025年9月25日 木曜日,マウス,周辺機器,名古屋,キキ,5,"150,000","75,000"
2025年8月27日 水曜日,キーボード,周辺機器,大阪,サン,5,"400,000","200,000"
2025年5月6日 火曜日,ノートパソコン,電子機器,横浜,千尋,3,"3,600,000","2,700,000"
2025年8月26日 火曜日,キーボード,周辺機器,東京,キキ,3,"240,000","120,000"
2025年6月16日 月曜日,モニター,電子機器,埼玉,サン,4,"1,200,000","800,000"
2025年5月13日 火曜日,マウス,周辺機器,名古屋,パズー,3,"90,000","45,000"
2025年10月12日 日曜日,ノートパソコン,電子機器,埼玉,ソフィー,5,"6,000,000","4,500,000"
2025年5月4日 日曜日,キーボード,周辺機器,名古屋,千尋,4,"320,000","160,000"
2025年12月20日 土曜日,キーボード,周辺機器,横浜,ハウル,4,"320,000","160,000"
2025年2月17日 月曜日,マウス,周辺機器,横浜,千尋,2,"60,000","30,000"
2025年6月6日 金曜日,マウス,周辺機器,名古屋,サン,4,"120,000","60,000"
2025年8月6日 水曜日,マウス,周辺機器,横浜,パズー,3,"90,000","45,000"
2025年6月6日 金曜日,マウス,周辺機器,東京,千尋,2,"60,000","30,000"
2025年6月11日 水曜日,ノートパソコン,電子機器,埼玉,千尋,5,"6,000,000","4,500,000"
2025年4月21日 月曜日,キーボード,周辺機器,名古屋,パズー,3,"240,000","120,000"
2025年2月21日 金曜日,モニター,電子機器,埼玉,サン,3,"900,000","600,000"
2025年4月2日 水曜日,マウス,周辺機器,名古屋,ハク,1,"30,000","15,000"
2025年5月21日 水曜日,ノートパソコン,電子機器,名古屋,パズー,1,"1,200,000","900,000"
2025年12月24日 水曜日,モニター,電子機器,東京,ハウル,4,"1,200,000","800,000"
2025年10月21日 火曜日,マウス,周辺機器,横浜,キキ,4,"120,000","60,000"
2025年6月24日 火曜日,モニター,電子機器,大阪,キキ,1,"300,000","200,000"
2025年2月28日 金曜日,ノートパソコン,電子機器,横浜,ソフィー,4,"4,800,000","3,600,000"
2025年10月23日 木曜日,ノートパソコン,電子機器,埼玉,パズー,2,"2,400,000","1,800,000"
2025年2月13日 木曜日,モニター,電子機器,名古屋,アシタカ,1,"300,000","200,000"
2025年11月7日 金曜日,モニター,電子機器,横浜,キキ,5,"1,500,000","1,000,000"
2025年8月15日 金曜日,マウス,周辺機器,横浜,パズー,5,"150,000","75,000"
2025年10月19日 日曜日,ノートパソコン,電子機器,東京,千尋,5,"6,000,000","4,500,000"
2025年11月17日 月曜日,モニター,電子機器,東京,ハク,3,"900,000","600,000"
2025年5月3日 土曜日,モニター,電子機器,東京,ハク,5,"1,500,000","1,000,000"
2025年1月2日 木曜日,キーボード,周辺機器,名古屋,キキ,4,"320,000","160,000"
2025年5月30日 金曜日,ノートパソコン,電子機器,大阪,パズー,2,"2,400,000","1,800,000"
2025年12月26日 金曜日,キーボード,周辺機器,埼玉,パズー,1,"80,000","40,000"
2025年11月17日 月曜日,モニター,電子機器,東京,千尋,4,"1,200,000","800,000"
2025年11月28日 金曜日,モニター,電子機器,埼玉,ソフィー,3,"900,000","600,000"
2025年1月31日 金曜日,モニター,電子機器,名古屋,パズー,3,"900,000","600,000"
2025年8月13日 水曜日,ノートパソコン,電子機器,大阪,アシタカ,4,"4,800,000","3,600,000"
2025年5月20日 火曜日,キーボード,周辺機器,東京,ハウル,4,"320,000","160,000"
2025年8月10日 日曜日,マウス,周辺機器,大阪,ハウル,5,"150,000","75,000"
2025年2月16日 日曜日,モニター,電子機器,名古屋,ハウル,5,"1,500,000","1,000,000"
2025年12月11日 木曜日,マウス,周辺機器,東京,ハク,5,"150,000","75,000"
2025年8月29日 金曜日,キーボード,周辺機器,埼玉,アシタカ,3,"240,000","120,000"
2025年11月22日 土曜日,キーボード,周辺機器,横浜,サン,1,"80,000","40,000"
2025年7月29日 火曜日,マウス,周辺機器,東京,ハク,3,"90,000","45,000"
2025年6月18日 水曜日,キーボード,周辺機器,大阪,アシタカ,4,"320,000","160,000"
2025年10月9日 木曜日,ノートパソコン,電子機器,東京,サン,4,"4,800,000","3,600,000"
2025年5月10日 土曜日,マウス,周辺機器,横浜,ハウル,1,"30,000","15,000"
2025年12月3日 水曜日,キーボード,周辺機器,東京,千尋,4,"320,000","160,000"
2025年9月23日 火曜日,マウス,周辺機器,横浜,キキ,5,"150,000","75,000"
2025年1月27日 月曜日,モニター,電子機器,名古屋,ハク,3,"900,000","600,000"
2025年5月28日 水曜日,キーボード,周辺機器,東京,ハウル,4,"320,000","160,000"
2025年11月19日 水曜日,モニター,電子機器,大阪,ハウル,2,"600,000","400,000"
2025年10月10日 金曜日,キーボード,周辺機器,埼玉,ソフィー,1,"80,000","40,000"
2025年8月25日 月曜日,ノートパソコン,電子機器,横浜,パズー,2,"2,400,000","1,800,000"
2025年9月18日 木曜日,マウス,周辺機器,横浜,キキ,4,"120,000","60,000"
2025年5月5日 月曜日,キーボード,周辺機器,埼玉,アシタカ,5,"400,000","200,000"
2025年4月8日 火曜日,モニター,電子機器,大阪,アシタカ,1,"300,000","200,000"
2025年6月24日 火曜日,マウス,周辺機器,大阪,パズー,1,"30,000","15,000"
2025年10月28日 火曜日,キーボード,周辺機器,横浜,キキ,2,"160,000","80,000"
2025年6月26日 木曜日,マウス,周辺機器,名古屋,アシタカ,5,"150,000","75,000"
2025年8月22日 金曜日,マウス,周辺機器,埼玉,アシタカ,2,"60,000","30,000"
2025年4月30日 水曜日,キーボード,周辺機器,大阪,キキ,1,"80,000","40,000"
2025年12月28日 日曜日,キーボード,周辺機器,埼玉,キキ,4,"320,000","160,000"
2025年1月19日 日曜日,モニター,電子機器,名古屋,サン,5,"1,500,000","1,000,000"
2025年2月21日 金曜日,キーボード,周辺機器,名古屋,キキ,1,"80,000","40,000"
2025年1月8日 水曜日,モニター,電子機器,埼玉,ソフィー,4,"1,200,000","800,000"
2025年8月29日 金曜日,マウス,周辺機器,名古屋,アシタカ,3,"90,000","45,000"
2025年11月29日 土曜日,ノートパソコン,電子機器,名古屋,アシタカ,3,"3,600,000","2,700,000"
2025年6月12日 木曜日,キーボード,周辺機器,東京,ソフィー,5,"400,000","200,000"
2025年5月1日 木曜日,マウス,周辺機器,東京,アシタカ,2,"60,000","30,000"
2025年2月20日 木曜日,ノートパソコン,電子機器,埼玉,パズー,4,"4,800,000","3,600,000"
2025年1月15日 水曜日,ノートパソコン,電子機器,東京,パズー,3,"3,600,000","2,700,000"
2025年7月3日 木曜日,マウス,周辺機器,埼玉,千尋,4,"120,000","60,000"
2025年9月29日 月曜日,キーボード,周辺機器,埼玉,ハク,5,"400,000","200,000"
2025年3月31日 月曜日,ノートパソコン,電子機器,横浜,千尋,5,"6,000,000","4,500,000"
2025年9月12日 金曜日,モニター,電子機器,横浜,パズー,2,"600,000","400,000"
2025年8月24日 日曜日,マウス,周辺機器,横浜,パズー,1,"30,000","15,000"
2025年12月13日 土曜日,モニター,電子機器,横浜,サン,1,"300,000","200,000"
2025年10月28日 火曜日,マウス,周辺機器,大阪,キキ,4,"120,000","60,000"
2025年6月4日 水曜日,モニター,電子機器,横浜,ソフィー,4,"1,200,000","800,000"
2025年5月2日 金曜日,キーボード,周辺機器,大阪,パズー,5,"400,000","200,000"
2025年12月25日 木曜日,マウス,周辺機器,横浜,パズー,1,"30,000","15,000"
2025年1月5日 日曜日,ノートパソコン,電子機器,横浜,パズー,5,"6,000,000","4,500,000"
2025年4月28日 月曜日,マウス,周辺機器,埼玉,パズー,2,"60,000","30,000"
2025年12月14日 日曜日,モニター,電子機器,東京,パズー,1,"300,000","200,000"
2025年8月14日 木曜日,ノートパソコン,電子機器,大阪,ハク,5,"6,000,000","4,500,000"
2025年2月16日 日曜日,マウス,周辺機器,横浜,ハク,3,"90,000","45,000"
2025年4月13日 日曜日,モニター,電子機器,大阪,パズー,5,"1,500,000","1,000,000"
2025年3月26日 水曜日,マウス,周辺機器,大阪,サン,4,"120,000","60,000"
2025年2月28日 金曜日,キーボード,周辺機器,埼玉,千尋,1,"80,000","40,000"
2025年12月13日 土曜日,キーボード,周辺機器,大阪,ソフィー,5,"400,000","200,000"
2025年7月22日 火曜日,ノートパソコン,電子機器,名古屋,ソフィー,3,"3,600,000","2,700,000"
2025年8月21日 木曜日,マウス,周辺機器,名古屋,アシタカ,3,"90,000","45,000"
2025年11月23日 日曜日,マウス,周辺機器,埼玉,キキ,1,"30,000","15,000"
2025年1月13日 月曜日,マウス,周辺機器,埼玉,ソフィー,5,"150,000","75,000"
2025年11月22日 土曜日,キーボード,周辺機器,横浜,ソフィー,3,"240,000","120,000"
2025年3月13日 木曜日,ノートパソコン,電子機器,大阪,キキ,1,"1,200,000","900,000"
2025年3月1日 土曜日,ノートパソコン,電子機器,名古屋,ハク,2,"2,400,000","1,800,000"
2025年7月18日 金曜日,キーボード,周辺機器,名古屋,アシタカ,3,"240,000","120,000"
2025年10月28日 火曜日,モニター,電子機器,東京,キキ,4,"1,200,000","800,000"
2025年11月12日 水曜日,キーボード,周辺機器,東京,サン,3,"240,000","120,000"
2025年4月22日 火曜日,キーボード,周辺機器,埼玉,サン,4,"320,000","160,000"
2025年2月20日 木曜日,マウス,周辺機器,大阪,ハウル,5,"150,000","75,000"
2025年7月23日 水曜日,マウス,周辺機器,東京,キキ,2,"60,000","30,000"
2025年2月16日 日曜日,モニター,電子機器,東京,ハウル,5,"1,500,000","1,000,000"
2025年6月20日 金曜日,モニター,電子機器,名古屋,千尋,2,"600,000","400,000"
2025年2月5日 水曜日,モニター,電子機器,埼玉,千尋,5,"1,500,000","1,000,000"
2025年6月18日 水曜日,モニター,電子機器,東京,パズー,5,"1,500,000","1,000,000"
2025年3月16日 日曜日,モニター,電子機器,大阪,ハク,5,"1,500,000","1,000,000"
2025年2月26日 水曜日,ノートパソコン,電子機器,東京,サン,2,"2,400,000","1,800,000"
2025年5月2日 金曜日,マウス,周辺機器,埼玉,パズー,1,"30,000","15,000"
2025年1月27日 月曜日,モニター,電子機器,名古屋,ソフィー,4,"1,200,000","800,000"
2025年2月2日 日曜日,キーボード,周辺機器,大阪,ソフィー,4,"320,000","160,000"
2025年8月20日 水曜日,モニター,電子機器,東京,パズー,5,"1,500,000","1,000,000"
2025年8月23日 土曜日,ノートパソコン,電子機器,横浜,アシタカ,1,"1,200,000","900,000"
2025年8月7日 木曜日,ノートパソコン,電子機器,横浜,ソフィー,4,"4,800,000","3,600,000"
2025年2月11日 火曜日,マウス,周辺機器,埼玉,ソフィー,5,"150,000","75,000"
2025年3月6日 木曜日,マウス,周辺機器,名古屋,サン,5,"150,000","75,000"
2025年7月15日 火曜日,マウス,周辺機器,名古屋,アシタカ,4,"120,000","60,000"
2025年2月20日 木曜日,ノートパソコン,電子機器,埼玉,アシタカ,5,"6,000,000","4,500,000"
2025年8月20日 水曜日,モニター,電子機器,大阪,キキ,4,"1,200,000","800,000"
2025年7月24日 木曜日,キーボード,周辺機器,大阪,アシタカ,1,"80,000","40,000"
2025年6月10日 火曜日,マウス,周辺機器,埼玉,キキ,3,"90,000","45,000"
2025年2月4日 火曜日,ノートパソコン,電子機器,東京,アシタカ,1,"1,200,000","900,000"
2025年2月19日 水曜日,マウス,周辺機器,名古屋,ハウル,2,"60,000","30,000"
2025年10月28日 火曜日,マウス,周辺機器,横浜,サン,1,"30,000","15,000"
2025年12月7日 日曜日,キーボード,周辺機器,大阪,パズー,1,"80,000","40,000"
2025年6月30日 月曜日,ノートパソコン,電子機器,名古屋,千尋,5,"6,000,000","4,500,000"
2025年3月21日 金曜日,キーボード,周辺機器,東京,サン,2,"160,000","80,000"
2025年10月12日 日曜日,マウス,周辺機器,大阪,千尋,1,"30,000","15,000"
2025年8月8日 金曜日,ノートパソコン,電子機器,大阪,ハウル,5,"6,000,000","4,500,000"
2025年4月3日 木曜日,マウス,周辺機器,大阪,サン,3,"90,000","45,000"
2025年1月4日 土曜日,モニター,電子機器,名古屋,アシタカ,2,"600,000","400,000"
2025年2月5日 水曜日,モニター,電子機器,東京,千尋,1,"300,000","200,000"
2025年7月12日 土曜日,キーボード,周辺機器,大阪,ハク,4,"320,000","160,000"
2025年7月9日 水曜日,マウス,周辺機器,名古屋,ソフィー,3,"90,000","45,000"
2025年1月27日 月曜日,モニター,電子機器,名古屋,ハウル,2,"600,000","400,000"
2025年12月12日 金曜日,ノートパソコン,電子機器,横浜,アシタカ,3,"3,600,000","2,700,000"
2025年9月6日 土曜日,キーボード,周辺機器,大阪,千尋,4,"320,000","160,000"
2025年9月20日 土曜日,ノートパソコン,電子機器,横浜,ソフィー,3,"3,600,000","2,700,000"
2025年5月26日 月曜日,キーボード,周辺機器,大阪,ハウル,5,"400,000","200,000"
2025年4月23日 水曜日,キーボード,周辺機器,東京,ハウル,5,"400,000","200,000"
2025年4月15日 火曜日,マウス,周辺機器,埼玉,パズー,2,"60,000","30,000"
2025年5月29日 木曜日,マウス,周辺機器,東京,キキ,1,"30,000","15,000"
2025年8月9日 土曜日,モニター,電子機器,横浜,千尋,2,"600,000","400,000"
2025年9月14日 日曜日,マウス,周辺機器,横浜,ハウル,1,"30,000","15,000"
2025年8月12日 火曜日,ノートパソコン,電子機器,東京,サン,4,"4,800,000","3,600,000"
2025年10月22日 水曜日,キーボード,周辺機器,横浜,アシタカ,5,"400,000","200,000"
2025年5月29日 木曜日,ノートパソコン,電子機器,東京,サン,4,"4,800,000","3,600,000"
2025年3月29日 土曜日,キーボード,周辺機器,東京,アシタカ,3,"240,000","120,000"
2025年2月24日 月曜日,モニター,電子機器,名古屋,アシタカ,4,"1,200,000","800,000"
2025年9月26日 金曜日,ノートパソコン,電子機器,大阪,サン,4,"4,800,000","3,600,000"
2025年4月24日 木曜日,マウス,周辺機器,東京,ソフィー,2,"60,000","30,000"
2025年9月29日 月曜日,モニター,電子機器,大阪,ハク,3,"900,000","600,000"
2025年5月1日 木曜日,ノートパソコン,電子機器,大阪,千尋,2,"2,400,000","1,800,000"
2025年3月30日 日曜日,モニター,電子機器,埼玉,キキ,1,"300,000","200,000"
2025年8月26日 火曜日,キーボード,周辺機器,名古屋,サン,5,"400,000","200,000"
2025年11月18日 火曜日,マウス,周辺機器,横浜,ソフィー,2,"60,000","30,000"
2025年8月29日 金曜日,キーボード,周辺機器,大阪,ハウル,3,"240,000","120,000"
2025年6月30日 月曜日,ノートパソコン,電子機器,横浜,キキ,3,"3,600,000","2,700,000"
2025年1月20日 月曜日,ノートパソコン,電子機器,大阪,ソフィー,3,"3,600,000","2,700,000"
2025年11月27日 木曜日,ノートパソコン,電子機器,名古屋,アシタカ,5,"6,000,000","4,500,000"
2025年8月25日 月曜日,ノートパソコン,電子機器,名古屋,千尋,4,"4,800,000","3,600,000"
2025年6月14日 土曜日,キーボード,周辺機器,埼玉,ハウル,5,"400,000","200,000"
2025年8月19日 火曜日,ノートパソコン,電子機器,東京,ハク,3,"3,600,000","2,700,000"
2025年1月21日 火曜日,モニター,電子機器,横浜,ハク,4,"1,200,000","800,000"
2025年7月6日 日曜日,マウス,周辺機器,横浜,アシタカ,3,"90,000","45,000"
2025年6月23日 月曜日,ノートパソコン,電子機器,東京,サン,3,"3,600,000","2,700,000"
2025年2月18日 火曜日,キーボード,周辺機器,大阪,ハク,3,"240,000","120,000"
2025年6月20日 金曜日,ノートパソコン,電子機器,埼玉,サン,5,"6,000,000","4,500,000"
