title,length,remaining_length
JET NEIGHBORS,59,110537
LEGEND JEDI,59,110478
MINORITY KISS,59,110419
VISION TORQUE,59,110360
WHISPERER GIANT,59,110301
BUBBLE GROSSE,60,110242
JERSEY SASSY,60,110182
MOCKINGBIRD HOLLYWOOD,60,110122
PHANTOM GLORY,60,110062
PITY BOUND,60,110002
ROOM ROMAN,60,109942
SHAKESPEARE SADDLE,60,109882
SMILE EARRING,60,109822
BIRDS PERDITION,61,109762
BULWORTH COMMANDMENTS,61,109701
CAMELOT VACATION,61,109640
CASSIDY WYOMING,61,109579
CHINATOWN GLADIATOR,61,109518
DRIFTER COMMANDMENTS,61,109457
POLISH BROOKLYN,61,109396
RESERVOIR ADAPTATION,61,109335
TROUBLE DATE,61,109274
WATERFRONT DELIVERANCE,61,109213
AIRPLANE SIERRA,62,109152
ARABIA DOGMA,62,109090
HANGING DEEP,62,109028
MARS ROMAN,62,108966
SNOWMAN ROLLERCOASTER,62,108904
UNBREAKABLE KARATE,62,108842
ALADDIN CALENDAR,63,108780
BONNIE HOLOCAUST,63,108717
BORROWERS BEDAZZLED,63,108654
BOULEVARD MOB,63,108591
BUNCH MINDS,63,108528
DINOSAUR SECRETARY,63,108465
FORREST SONS,63,108402
INTOLERABLE INTENTIONS,63,108339
REUNION WITCHES,63,108276
CRAFT OUTFIELD,64,108213
DESERT POSEIDON,64,108149
METROPOLIS COMA,64,108085
MILE MULAN,64,108021
NOVOCAINE FLIGHT,64,107957
SLEEPLESS MONSOON,64,107893
TAXI KICK,64,107829
TRIP NEWTON,64,107765
VICTORY ACADEMY,64,107701
BARBARELLA STREETCAR,65,107637
CLUB GRAFFITI,65,107572
CONFESSIONS MAGUIRE,65,107507
FREDDY STORM,65,107442
HUNTING MUSKETEERS,65,107377
LOVELY JINGLE,65,107312
PATRIOT ROMAN,65,107247
CHARADE DUFFEL,66,107182
EVE RESURRECTION,66,107116
BUTCH PANTHER,67,107050
COMANCHEROS ENEMY,67,106983
EGG IGBY,67,106916
LADY STAGE,67,106849
LONELY ELEPHANT,67,106782
NORTH TEQUILA,67,106715
SHOOTIST SUPERFLY,67,106648
SILENCE KANE,67,106581
ARK RIDGEMONT,68,106514
DIVIDE MONSTER,68,106446
DOOM DANCING,68,106378
HUMAN GRAFFITI,68,106310
TOMATOES HELLFIGHTERS,68,106242
CRUELTY UNFORGIVEN,69,106174
FLYING HOOK,69,106105
HEAD STRANGER,69,106036
HOLLYWOOD ANONYMOUS,69,105967
LEBOWSKI SOLDIERS,69,105898
TIMBERLAND SKY,69,105829
CANDIDATE PERDITION,70,105760
CHANCE RESURRECTION,70,105690
CLUE GRAIL,70,105620
COLDBLOODED DARLING,70,105550
GUNFIGHT MOON,70,105480
LOUISIANA HARRY,70,105410
WEDDING APOLLO,70,105340
BLOOD ARGONAUTS,71,105270
CHARIOTS CONSPIRACY,71,105199
KNOCK WARLOCK,71,105128
MANNEQUIN WORST,71,105057
PRINCESS GIANT,71,104986
TEMPLE ATTRACTION,71,104915
TRAIN BUNCH,71,104844
BOWFINGER GABLES,72,104773
FICTION CHRISTMAS,72,104701
HARDLY ROBBERS,72,104629
MAUDE MOD,72,104557
BEDAZZLED MARRIED,73,104485
BRIGHT ENCOUNTERS,73,104412
BROTHERHOOD BLANKET,73,104339
FRIDA SLIPPER,73,104266
GODFATHER DIARY,73,104193
MUSKETEERS WAIT,73,104120
RANDOM GO,73,104047
REBEL AIRPORT,73,103974
SALUTE APOLLO,73,103901
STREETCAR INTENTIONS,73,103828
VALLEY PACKER,73,103755
WAKE JAWS,73,103682
ANGELS LIFE,74,103609
INFORMER DOUBLE,74,103535
JUMPING WRATH,74,103461
LUKE MUMMY,74,103387
MAGUIRE APACHE,74,103313
MODERN DORADO,74,103239
PEARL DESTINY,74,103165
RAINBOW SHOCK,74,103091
SILVERADO GOLDFINGER,74,103017
SNATCHERS MONTEZUMA,74,102943
TEEN APOLLO,74,102869
WORKING MICROCOSMOS,74,102795
BALLOON HOMEWARD,75,102721
CALIFORNIA BIRDS,75,102646
FIDDLER LOST,75,102571
HELLFIGHTERS SIERRA,75,102496
LOVER TRUMAN,75,102421
NETWORK PEAK,75,102346
NEWTON LABYRINTH,75,102271
SATISFACTION CONFIDENTIAL,75,102196
STAMPEDE DISTURBING,75,102121
WIZARD COLDBLOODED,75,102046
BOONDOCK BALLROOM,76,101971
COMFORTS RUSH,76,101895
DESIRE ALIEN,76,101819
DESTINATION JERK,76,101743
HAUNTED ANTITRUST,76,101667
ORANGE GRAPES,76,101591
VILLAIN DESPERATE,76,101515
BERETS AGENT,77,101439
ENEMY ODDS,77,101362
FELLOWSHIP AUTUMN,77,101285
MEMENTO ZOOLANDER,77,101208
MOD SECRETARY,77,101131
PICKUP DRIVING,77,101054
HOLIDAY GAMES,78,100977
INSIDER ARIZONA,78,100899
LANGUAGE COWBOY,78,100821
UNFAITHFUL KILL,78,100743
VOYAGE LEGALLY,78,100665
WATCH TRACY,78,100587
AMELIE HELLFIGHTERS,79,100509
ISHTAR ROCKETEER,79,100430
MOULIN WAKE,79,100351
SHOCK CABIN,79,100272
SPIKING ELEMENT,79,100193
WEREWOLF LOLA,79,100114
FLAMINGOS CONNECTICUT,80,100035
GARDEN ISLAND,80,99955
LOSER HUSTLER,80,99875
MEET CHOCOLATE,80,99795
PEAK FOREVER,80,99715
SADDLE ANTITRUST,80,99635
SEA VIRGIN,80,99555
SHAWSHANK BUBBLE,80,99475
TURN STAR,80,99395
WAR NOTTING,80,99315
CLASH FREDDY,81,99235
DESPERATE TRAINSPOTTING,81,99154
ROMAN PUNK,81,99073
ALONE TRIP,82,98992
ANYTHING SAVANNAH,82,98910
FROST HEAD,82,98828
PERFECT GROOVE,82,98746
RAIDERS ANTITRUST,82,98664
REIGN GENTLEMEN,82,98582
TYCOON GATHERING,82,98500
ATTRACTION NEWTON,83,98418
FUGITIVE MAGUIRE,83,98335
HUSTLER PARTY,83,98252
MOON BUNCH,83,98169
NONE SPIKING,83,98086
WARLOCK WEREWOLF,83,98003
DAISY MENAGERIE,84,97920
GONE TROUBLE,84,97836
GUYS FALCON,84,97752
HIGH ENCINO,84,97668
HONEY TIES,84,97584
IDOLS SNATCHERS,84,97500
ISLAND EXORCIST,84,97416
JEEPERS WEDDING,84,97332
PACKER MADIGAN,84,97248
PLUTO OLEANDER,84,97164
SAVANNAH TOWN,84,97080
SLING LUKE,84,96996
UPTOWN YOUNG,84,96912
AMISTAD MIDSUMMER,85,96828
BEVERLY OUTLAW,85,96743
BLACKOUT PRIVATE,85,96658
CANYON STOCK,85,96573
CASABLANCA SUPER,85,96488
EARTH VISION,85,96403
EGYPT TENENBAUMS,85,96318
ENDING CROWDS,85,96233
GHOST GROUNDHOG,85,96148
GRAIL FRANKENSTEIN,85,96063
LOLA AGENT,85,95978
OZ LIAISONS,85,95893
STAGE WORLD,85,95808
VARSITY TRIP,85,95723
WASTELAND DIVINE,85,95638
WINDOW SIDE,85,95553
WONKA SEA,85,95468
ACADEMY DINOSAUR,86,95383
ANNIE IDENTITY,86,95297
GANDHI KWAI,86,95211
MIDNIGHT WESTWARD,86,95125
YENTL IDAHO,86,95039
BANG KWAI,87,94953
CHEAPER CLYDE,87,94866
CONGENIALITY QUEST,87,94779
DEVIL DESIRE,87,94692
SLEUTH ORIENT,87,94605
TREATMENT JEKYLL,87,94518
DETAILS PACKER,88,94431
HOLY TADPOLE,88,94343
PURPLE MOVIE,88,94255
TERMINATOR CLUB,88,94167
BEAST HUNCHBACK,89,94079
BUTTERFLY CHOCOLAT,89,93990
DARES PLUTO,89,93901
GLEAMING JAWBREAKER,89,93812
PULP BEVERLY,89,93723
ROOTS REMEMBER,89,93634
BASIC EASY,90,93545
CIRCUS YOUTH,90,93455
FORWARD TEMPLE,90,93365
SECRET GROUNDHOG,90,93275
VERTIGO NORTHWEST,90,93185
ANTHEM LUKE,91,93095
FATAL HAUNTED,91,93004
FIGHT JAWBREAKER,91,92913
LICENSE WEEKEND,91,92822
TARZAN VIDEOTAPE,91,92731
TITANS JERK,91,92640
ANACONDA CONFESSIONS,92,92549
APACHE DIVINE,92,92457
CARIBBEAN LIBERTY,92,92365
CORE SUIT,92,92273
ENCOUNTERS CURTAIN,92,92181
KANE EXORCIST,92,92089
MYSTIC TRUMAN,92,91997
NATIONAL STORY,92,91905
OPPOSITE NECKLACE,92,91813
SUNDANCE INVASION,92,91721
TRUMAN CRAZY,92,91629
BILL OTHERS,93,91537
GOLDFINGER SENSIBILITY,93,91444
GREATEST NORTH,93,91351
HILLS NEIGHBORS,93,91258
PANKY SUBMARINE,93,91165
SHANE DARKNESS,93,91072
STING PERSONAL,93,90979
SUICIDES SILENCE,93,90886
ALICE FANTASIA,94,90793
DISTURBING SCARFACE,94,90699
FULL FLATLINERS,94,90605
STONE FIRE,94,90511
CLUELESS BUCKET,95,90417
HORN WORKING,95,90322
DRUMS DYNAMITE,96,90227
EARLY HOME,96,90131
EXPENDABLE STALLION,97,90035
INVASION CYCLONE,97,89938
LUCKY FLYING,97,89841
REAR TRADING,97,89744
BOUND CHEAPER,98,89647
EARRING INSTINCT,98,89549
FEUD FROGMEN,98,89451
LOST BIRD,98,89353
MADRE GABLES,98,89255
PREJUDICE OLEANDER,98,89157
SENSIBILITY REAR,98,89059
WISDOM WORKER,98,88961
ARMAGEDDON LOST,99,88863
DARKNESS WAR,99,88764
FRENCH HOLIDAY,99,88665
PATIENT SISTER,99,88566
PERDITION FARGO,99,88467
PET HAUNTING,99,88368
SABRINA MIDNIGHT,99,88269
TENENBAUMS COMMAND,99,88170
BEHAVIOR RUNAWAY,100,88071
BILKO ANONYMOUS,100,87971
DELIVERANCE MULHOLLAND,100,87871
DIVINE RESURRECTION,100,87771
FLATLINERS KILLER,100,87671
GUN BONNIE,100,87571
HAPPINESS UNITED,100,87471
HYDE DOCTOR,100,87371
PIRATES ROXANNE,100,87271
PUNK DIVORCE,100,87171
WITCHES PANIC,100,87071
WYOMING STORM,100,86971
CHOCOLAT HARRY,101,86871
CIDER DESIRE,101,86770
DWARFS ALTER,101,86669
GHOSTBUSTERS ELF,101,86568
ROOF CHAMPION,101,86467
RUNNER MADIGAN,101,86366
ZOOLANDER FICTION,101,86265
BOILED DARES,102,86164
FALCON VOLUME,102,86062
GIANT TROOPERS,102,85960
HEAVYWEIGHTS BEAST,102,85858
JEOPARDY ENCINO,102,85756
OPUS ICE,102,85654
PANIC CLUB,102,85552
ROBBERS JOON,102,85450
ROCK INSTINCT,102,85348
SCARFACE BANG,102,85246
TREASURE COMMAND,102,85144
BIRDCAGE CASPER,103,85042
BLINDNESS GUN,103,84939
FIREHOUSE VIETNAM,103,84836
GLASS DYING,103,84733
HOMEWARD CIDER,103,84630
IMPOSSIBLE PREJUDICE,103,84527
MOTHER OLEANDER,103,84424
PINOCCHIO SIMON,103,84321
STRANGELOVE DESIRE,103,84218
CROW GREASE,104,84115
DATE SPEED,104,84011
FEATHERS METAL,104,83907
MERMAID INSECTS,104,83803
SHIP WONDERLAND,104,83699
TITANIC BOONDOCK,104,83595
HUNGER ROOF,105,83491
JOON NORTHWEST,105,83386
MICROCOSMOS PARADISE,105,83281
MOB DUFFEL,105,83176
WON DARES,105,83071
ZHIVAGO CORE,105,82966
BED HIGHBALL,106,82861
DALMATIONS SWEDEN,106,82755
DEER VIRGINIAN,106,82649
GASLIGHT CRUSADE,106,82543
PRIVATE DROP,106,82437
SAGEBRUSH CLUELESS,106,82331
CHITTY LOCK,107,82225
DIARY PANIC,107,82118
EFFECT GLADIATOR,107,82011
HANKY OCTOBER,107,81904
HATE HANDICAP,107,81797
INTENTIONS EMPIRE,107,81690
MONSTER SPARTACUS,107,81583
PARTY KNOCK,107,81476
UNDEFEATED DALMATIONS,107,81369
WANDA CHAMBER,107,81262
AUTUMN CROW,108,81155
GORGEOUS BINGO,108,81047
HANDICAP BOONDOCK,108,80939
LORD ARIZONA,108,80831
SWEETHEARTS SUSPECTS,108,80723
COMA HEAD,109,80615
HOUSE DYNAMITE,109,80506
PANTHER REDS,109,80397
PARK CITIZEN,109,80288
RUGRATS SHAKESPEARE,109,80179
SECRETS PARADISE,109,80070
WHALE BIKINI,109,79961
CELEBRITY HORN,110,79852
DRUMLINE CYCLONE,110,79742
HIGHBALL POTTER,110,79632
LEAGUE HELLFIGHTERS,110,79522
REMEMBER DIARY,110,79412
SAMURAI LION,110,79302
SEATTLE EXPECATIONS,110,79192
SNATCH SLIPPER,110,79082
TRAP GUYS,110,78972
FROGMEN BREAKING,111,78862
GROOVE FICTION,111,78751
SIEGE MADRE,111,78640
SUIT WALLS,111,78529
TIES HUNGER,111,78418
WIND PHANTOM,111,78307
WONDERLAND CHRISTMAS,111,78196
CAT CONEHEADS,112,78085
CONEHEADS SMOOCHY,112,77973
CONVERSATION DOWNHILL,112,77861
CROWDS TELEMARK,112,77749
CRUSADE HONEY,112,77637
FORRESTER COMANCHEROS,112,77525
JAWS HARRY,112,77413
QUILLS BULL,112,77301
SEABISCUIT PUNK,112,77189
SPY MILE,112,77077
STAGECOACH ARMAGEDDON,112,76965
WAIT CIDER,112,76853
WATERSHIP FRONTIER,112,76741
AMADEUS HOLY,113,76629
ATTACKS HATE,113,76516
BANGER PINOCCHIO,113,76403
DAY UNFAITHFUL,113,76290
LADYBUGS ARMAGEDDON,113,76177
LEGALLY SECRETARY,113,76064
SHEPHERD MIDSUMMER,113,75951
STATE WASTELAND,113,75838
ALABAMA DEVIL,114,75725
BLADE POLISH,114,75611
CARRIE BUNCH,114,75497
CHAINSAW UPTOWN,114,75383
CHASING FIGHT,114,75269
GILBERT PELICAN,114,75155
MARRIED GO,114,75041
PRIDE ALAMO,114,74927
SUGAR WONKA,114,74813
SUPERFLY TRIP,114,74699
CONNECTION MICROCOSMOS,115,74585
ELEMENT FREDDY,115,74470
GLORY TRACY,115,74355
OSCAR GOLD,115,74240
POTTER CONNECTICUT,115,74125
PRIX UNDEFEATED,115,74010
TROOPERS METAL,115,73895
DUCK RACER,116,73780
INSTINCT AIRPORT,116,73664
MADIGAN DORADO,116,73548
WORDS HUNTER,116,73432
AFFAIR PREJUDICE,117,73316
CHAMBER ITALIAN,117,73199
GRAFFITI LOVE,117,73082
MAGIC MALLRATS,117,72965
RESURRECTION SILVERADO,117,72848
BACKLASH UNDEFEATED,118,72731
FIDELITY DEVIL,118,72613
JAWBREAKER BROOKLYN,118,72495
ORIENT CLOSER,118,72377
OTHERS SOUP,118,72259
PATHS CONTROL,118,72141
PERSONAL LADYBUGS,118,72023
ROUGE SQUAD,118,71905
APOCALYPSE FLAMINGOS,119,71787
BUGSY SONG,119,71668
DUMBO LUST,119,71549
GAMES BOWFINGER,119,71430
IDENTITY LOVER,119,71311
STRANGERS GRAFFITI,119,71192
CALENDAR GUNFIGHT,120,71073
COMMAND DARLING,120,70953
DAZED PUNK,120,70833
DOLLS RAGE,120,70713
KARATE MOON,120,70593
LOCK REAR,120,70473
ORDER BETRAYED,120,70353
RAGE GAMES,120,70233
UNTOUCHABLES SUNRISE,120,70113
ARIZONA BANG,121,69993
BOOGIE AMELIE,121,69872
BRANNIGAN SUNRISE,121,69751
DANGEROUS UPTOWN,121,69630
HARRY IDAHO,121,69509
JUMANJI BLADE,121,69388
PARIS WEEKEND,121,69267
PURE RUNNER,121,69146
BEACH HEARTBREAKERS,122,69025
BETRAYED REAR,122,68903
CHICKEN HELLFIGHTERS,122,68781
CONFUSED CANDLES,122,68659
DECEIVER BETRAYED,122,68537
DOGMA FAMILY,122,68415
EXTRAORDINARY CONQUERER,122,68293
HOURS RAGE,122,68171
ILLUSION AMELIE,122,68049
MIGHTY LUCK,122,67927
VANILLA DAY,122,67805
BREAKFAST GOLDFINGER,123,67683
FLASH WARS,123,67560
INSECTS STONE,123,67437
MASK PEACH,123,67314
REEF SALUTE,123,67191
SWARM GOLD,123,67068
VANISHING ROCKY,123,66945
CHISUM BEHAVIOR,124,66822
CLONES PINOCCHIO,124,66698
JINGLE SAGEBRUSH,124,66574
SPEED SUIT,124,66450
BULL SHAWSHANK,125,66326
DONNIE ALLEY,125,66201
FISH OPUS,125,66076
GENTLEMEN STAGE,125,65951
HUNTER ALTER,125,65826
SAINTS BRIDE,125,65701
SHINING ROSES,125,65576
ALAMO VIDEOTAPE,126,65451
ELEPHANT TROJAN,126,65325
FREAKY POCUS,126,65199
MONTEZUMA COMMAND,126,65073
PAJAMA JAWBREAKER,126,64947
SINNERS ATLANTIS,126,64821
VAMPIRE WHALE,126,64695
WOMEN DORADO,126,64569
WONDERFUL DROP,126,64443
ARGONAUTS TOWN,127,64317
GUNFIGHTER MUSSOLINI,127,64190
MALTESE HOPE,127,64063
SEVEN SWARM,127,63936
SUBMARINE BED,127,63809
GALAXY SWEETHEARTS,128,63682
HOLES BRANNIGAN,128,63554
JEDI BENEATH,128,63426
NOTORIOUS REUNION,128,63298
PAPI NECKLACE,128,63170
USUAL UNTOUCHABLES,128,63042
WARS PLUTO,128,62914
AMERICAN CIRCUS,129,62786
BAREFOOT MANCHURIAN,129,62657
GOSFORD DONNIE,129,62528
MUSIC BOONDOCK,129,62399
OUTFIELD MASSACRE,129,62270
SLEEPING SUSPECTS,129,62141
UNFORGIVEN ZOOLANDER,129,62012
AFRICAN EGG,130,61883
DARKO DORADO,130,61753
FARGO GANDHI,130,61623
JASON TRAP,130,61493
MAJESTIC FLOATS,130,61363
STALLION SUNDANCE,130,61233
FANTASIA PARK,131,61103
FOREVER CANDIDATE,131,60972
ICE CROSSING,131,60841
NEMO CAMPUS,131,60710
OPEN AFRICAN,131,60579
CHOCOLATE DUCK,132,60448
DUDE BLINDNESS,132,60316
NECKLACE OUTBREAK,132,60184
PLATOON INSTINCT,132,60052
SKY MIRACLE,132,59920
STREAK RIDGEMONT,132,59788
TRAINSPOTTING STRANGERS,132,59656
VOLUME HOUSE,132,59524
BUCKET BROTHERHOOD,133,59392
CURTAIN VIDEOTAPE,133,59259
DRAGONFLY STRANGERS,133,59126
FREEDOM CLEOPATRA,133,58993
MALLRATS UNITED,133,58860
JUNGLE CLOSER,134,58727
PITTSBURGH HUNCHBACK,134,58593
ROBBERY BRIGHT,134,58459
SPLENDOR PATTON,134,58325
WEEKEND PERSONAL,134,58191
CANDLES GRAPES,135,58057
DREAM PICKUP,135,57922
GREASE YOUTH,135,57787
INDIAN LOVE,135,57652
JAPANESE RUN,135,57517
MONEY HAROLD,135,57382
SIERRA DIVIDE,135,57247
SUNRISE LEAGUE,135,57112
THIEF PELICAN,135,56977
WALLS ARTIST,135,56842
ALASKA PHANTOM,136,56707
BRINGING HYSTERICAL,136,56571
CRAZY HOME,136,56435
HOLLOW JEOPARDY,136,56299
MAKER GABLES,136,56163
PIANIST OUTFIELD,136,56027
REAP UNFAITHFUL,136,55891
SQUAD FISH,136,55755
TOWN ARK,136,55619
ARSENIC INDEPENDENCE,137,55483
GRIT CLOCKWORK,137,55346
LIFE TWISTED,137,55209
LOSE INCH,137,55072
PHILADELPHIA WIFE,137,54935
POLLOCK DELIVERANCE,137,54798
SCORPION APOLLO,137,54661
SLEEPY JAPANESE,137,54524
WILLOW TRACY,137,54387
EXPECATIONS NATURAL,138,54250
LIBERTY MAGNIFICENT,138,54112
MAIDEN HOME,138,53974
POCUS PULP,138,53836
SPINAL ROCKY,138,53698
SPIRITED CASUALTIES,138,53560
CLYDE THEORY,139,53422
CREATURES SHAKESPEARE,139,53283
DORADO NOTTING,139,53144
GROUNDHOG UNCUT,139,53005
HOPE TOOTSIE,139,52866
HORROR REIGN,139,52727
SHRUNK DIVINE,139,52588
STRANGER STRANGERS,139,52449
TRAFFIC HOBBIT,139,52310
VOICE PEACH,139,52171
WORKER TARZAN,139,52032
EAGLES PANKY,140,51893
GRACELAND DYNAMITE,140,51753
LIAISONS SWEET,140,51613
LOATHING LEGALLY,140,51473
STEERS ARMAGEDDON,140,51333
DISCIPLE MOTHER,141,51193
DYNAMITE TARZAN,141,51052
HOCUS FRIDA,141,50911
HOMICIDE PEACH,141,50770
KISSING DOLLS,141,50629
SPICE SORORITY,141,50488
SUN CONFESSIONS,141,50347
BIKINI BORROWERS,142,50206
CHILL LUCK,142,50064
FERRIS MOTHER,142,49922
MILLION ACE,142,49780
TOMORROW HUSTLER,142,49638
TRACY CIDER,142,49496
VANISHED GARDEN,142,49354
CINCINATTI WHISPERER,143,49212
CLOCKWORK PARADISE,143,49069
CROOKED FROGMEN,143,48926
DETECTIVE VISION,143,48783
ENCINO ELF,143,48640
SOUTH WAIT,143,48497
STEEL SANTA,143,48354
DANCING FEVER,144,48211
FACTORY DRAGON,144,48067
LAMBS CINCINATTI,144,47923
PACIFIC AMISTAD,144,47779
PRESIDENT BANG,144,47635
STRICTLY SCARFACE,144,47491
TOWERS HURRICANE,144,47347
VIRTUAL SPOILERS,144,47203
FLOATS GARDEN,145,47059
NUTS TIES,145,46914
PAYCHECK WAIT,145,46769
ROCKY WAR,145,46624
RUN PACIFIC,145,46479
VACATION BOONDOCK,145,46334
VIDEOTAPE ARSENIC,145,46189
CHAPLIN LICENSE,146,46044
COWBOY DOOM,146,45898
HALF OUTFIELD,146,45752
HAMLET WISDOM,146,45606
MOURNING PURPLE,146,45460
ARACHNOPHOBIA ROLLERCOASTER,147,45314
DIRTY ACE,147,45167
LIES TREATMENT,147,45020
MADISON TRAP,147,44873
MENAGERIE RUSHMORE,147,44726
RACER EGG,147,44579
RANGE MOONWALKER,147,44432
SCISSORHANDS SLUMS,147,44285
SLUMS DUCK,147,44138
ARMY FLINTSTONES,148,43991
BLANKET BEVERLY,148,43843
EASY GLADIATOR,148,43695
FIREBALL PHILADELPHIA,148,43547
FLINTSTONES HAPPINESS,148,43399
OUTLAW HANKY,148,43251
TELEGRAPH VOYAGE,148,43103
COLOR PHILADELPHIA,149,42955
HOLOCAUST HIGHBALL,149,42806
MINDS TRUMAN,149,42657
NIGHTMARE CHILL,149,42508
RIVER OUTLAW,149,42359
SPIRIT FLINTSTONES,149,42210
ALI FOREVER,150,42061
BINGO TALENTED,150,41911
CHRISTMAS MOONSHINE,150,41761
CLEOPATRA DEVIL,150,41611
GRINCH MASSAGE,150,41461
HYSTERICAL GRAIL,150,41311
RUSHMORE MERMAID,150,41161
SATURDAY LAMBS,150,41011
BEETHOVEN EXORCIST,151,40861
CAROL TEXAS,151,40710
HUNCHBACK IMPOSSIBLE,151,40559
MASKED BUBBLE,151,40408
SCHOOL JACKET,151,40257
SPOILERS HELLFIGHTERS,151,40106
STRAIGHT HOURS,151,39955
CENTER DINOSAUR,152,39804
ELIZABETH SHANE,152,39652
LUCK OPUS,152,39500
SISTER FREDDY,152,39348
TELEMARK HEARTBREAKERS,152,39196
TOURIST PELICAN,152,39044
TUXEDO MILE,152,38892
TWISTED PIRATES,152,38740
WAGON JAWS,152,38588
APOLLO TEEN,153,38436
BABY HALL,153,38283
CROSSROADS CASUALTIES,153,38130
EDGE KISSING,153,37977
GOLDMINE TYCOON,153,37824
LEATHERNECKS DWARFS,153,37671
RIGHT CRANES,153,37518
ROLLERCOASTER BRINGING,153,37365
RULES HUMAN,153,37212
DOUBTFIRE LABYRINTH,154,37059
DURHAM PANKY,154,36905
GOLD RIVER,154,36751
RAGING AIRPLANE,154,36597
SANTA PARIS,154,36443
SASSY PACKER,154,36289
SHREK LICENSE,154,36135
ELF MURDER,155,35981
FAMILY SWEET,155,35826
GRAPES FURY,155,35671
LOLITA WORLD,155,35516
PSYCHO SHRUNK,155,35361
TADPOLE PARK,155,35206
FINDING ANACONDA,156,35051
GRADUATE LORD,156,34895
OPERATION OPERATION,156,34739
SLIPPER FIDELITY,156,34583
HOBBIT ALIEN,157,34427
INDEPENDENCE HOTEL,157,34270
MULHOLLAND BEAST,157,34113
PAST SUICIDES,157,33956
TOOTSIE PILOT,157,33799
VOLCANO TEXAS,157,33642
ENOUGH RAGING,158,33485
FEVER EMPIRE,158,33327
FOOL MOCKINGBIRD,158,33169
MONTEREY LABYRINTH,158,33011
ROAD ROXANNE,158,32853
SECRETARY ROUGE,158,32695
DRIVER ANNIE,159,32537
FRANKENSTEIN STRANGER,159,32378
MALKOVICH PET,159,32219
NEWSIES STORY,159,32060
POSEIDON FOREVER,159,31901
WEST LION,159,31742
BEAR GRACELAND,160,31583
IGBY MAKER,160,31423
MULAN MOON,160,31263
MUMMY CREATURES,160,31103
PEACH INNOCENT,160,30943
STOCK GLASS,160,30783
BROOKLYN DESERT,161,30623
DADDY PITTSBURGH,161,30462
GABLES METROPOLIS,161,30301
KILLER INNOCENT,161,30140
MASSAGE IMAGE,161,29979
METAL ARMAGEDDON,161,29818
NEIGHBORS CHARADE,161,29657
OLEANDER CLUE,161,29496
