title,length,neighbor_avg
DEER VIRGINIAN,106,106.0000
GASLIGHT CRUSADE,106,106.0000
PRIVATE DROP,106,106.0000
SAGEBRUSH CLUELESS,106,106.3333
CHITTY LOCK,107,106.6667
DIARY PANIC,107,107.0000
EFFECT GLADIATOR,107,107.0000
HANKY OCTOBER,107,107.0000
HATE HANDICAP,107,107.0000
INTENTIONS EMPIRE,107,107.0000
MONSTER SPARTACUS,107,107.0000
PARTY KNOCK,107,107.0000
UNDEFEATED DALMATIONS,107,107.0000
WANDA CHAMBER,107,107.3333
AUTUMN CROW,108,107.6667
GORGEOUS BINGO,108,108.0000
HANDICAP BOONDOCK,108,108.0000
LORD ARIZONA,108,108.0000
SWEETHEARTS SUSPECTS,108,108.3333
COMA HEAD,109,108.6667
HOUSE DYNAMITE,109,109.0000
PANTHER REDS,109,109.0000
PARK CITIZEN,109,109.0000
RUGRATS SHAKESPEARE,109,109.0000
SECRETS PARADISE,109,109.0000
WHALE BIKINI,109,109.3333
CELEBRITY HORN,110,109.6667
DRUMLINE CYCLONE,110,110.0000
HIGHBALL POTTER,110,110.0000
LEAGUE HELLFIGHTERS,110,110.0000
REMEMBER DIARY,110,110.0000
SAMURAI LION,110,110.0000
SEATTLE EXPECATIONS,110,110.0000
SNATCH SLIPPER,110,110.0000
TRAP GUYS,110,110.3333
FROGMEN BREAKING,111,110.6667
GROOVE FICTION,111,111.0000
SIEGE MADRE,111,111.0000
SUIT WALLS,111,111.0000
TIES HUNGER,111,111.0000
WIND PHANTOM,111,111.0000
WONDERLAND CHRISTMAS,111,111.3333
CAT CONEHEADS,112,111.6667
CONEHEADS SMOOCHY,112,112.0000
CONVERSATION DOWNHILL,112,112.0000
CROWDS TELEMARK,112,112.0000
CRUSADE HONEY,112,112.0000
FORRESTER COMANCHEROS,112,112.0000
JAWS HARRY,112,112.0000
QUILLS BULL,112,112.0000
SEABISCUIT PUNK,112,112.0000
SPY MILE,112,112.0000
STAGECOACH ARMAGEDDON,112,112.0000
WAIT CIDER,112,112.0000
WATERSHIP FRONTIER,112,112.3333
AMADEUS HOLY,113,112.6667
ATTACKS HATE,113,113.0000
BANGER PINOCCHIO,113,113.0000
DAY UNFAITHFUL,113,113.0000
LADYBUGS ARMAGEDDON,113,113.0000
LEGALLY SECRETARY,113,113.0000
SHEPHERD MIDSUMMER,113,113.0000
STATE WASTELAND,113,113.3333
ALABAMA DEVIL,114,113.6667
BLADE POLISH,114,114.0000
CARRIE BUNCH,114,114.0000
CHAINSAW UPTOWN,114,114.0000
CHASING FIGHT,114,114.0000
GILBERT PELICAN,114,114.0000
MARRIED GO,114,114.0000
PRIDE ALAMO,114,114.0000
SUGAR WONKA,114,114.0000
SUPERFLY TRIP,114,114.3333
CONNECTION MICROCOSMOS,115,114.6667
ELEMENT FREDDY,115,115.0000
GLORY TRACY,115,115.0000
OSCAR GOLD,115,115.0000
POTTER CONNECTICUT,115,115.0000
PRIX UNDEFEATED,115,115.0000
TROOPERS METAL,115,115.3333
DUCK RACER,116,115.6667
INSTINCT AIRPORT,116,116.0000
MADIGAN DORADO,116,116.0000
WORDS HUNTER,116,116.3333
AFFAIR PREJUDICE,117,116.6667
CHAMBER ITALIAN,117,117.0000
GRAFFITI LOVE,117,117.0000
MAGIC MALLRATS,117,117.0000
RESURRECTION SILVERADO,117,117.3333
BACKLASH UNDEFEATED,118,117.6667
FIDELITY DEVIL,118,118.0000
JAWBREAKER BROOKLYN,118,118.0000
ORIENT CLOSER,118,118.0000
OTHERS SOUP,118,118.0000
PATHS CONTROL,118,118.0000
PERSONAL LADYBUGS,118,118.0000
ROUGE SQUAD,118,118.3333
APOCALYPSE FLAMINGOS,119,118.6667
BUGSY SONG,119,119.0000
DUMBO LUST,119,119.0000
GAMES BOWFINGER,119,119.0000
IDENTITY LOVER,119,119.0000
STRANGERS GRAFFITI,119,119.3333
CALENDAR GUNFIGHT,120,119.6667
COMMAND DARLING,120,120.0000
DAZED PUNK,120,120.0000
DOLLS RAGE,120,120.0000
KARATE MOON,120,120.0000
LOCK REAR,120,120.0000
ORDER BETRAYED,120,120.0000
RAGE GAMES,120,120.0000
UNTOUCHABLES SUNRISE,120,120.3333
ARIZONA BANG,121,120.6667
BOOGIE AMELIE,121,121.0000
BRANNIGAN SUNRISE,121,121.0000
DANGEROUS UPTOWN,121,121.0000
HARRY IDAHO,121,121.0000
JUMANJI BLADE,121,121.0000
PARIS WEEKEND,121,121.0000
PURE RUNNER,121,121.3333
BEACH HEARTBREAKERS,122,121.6667
BETRAYED REAR,122,122.0000
CHICKEN HELLFIGHTERS,122,122.0000
CONFUSED CANDLES,122,122.0000
DECEIVER BETRAYED,122,122.0000
DOGMA FAMILY,122,122.0000
EXTRAORDINARY CONQUERER,122,122.0000
HOURS RAGE,122,122.0000
ILLUSION AMELIE,122,122.0000
MIGHTY LUCK,122,122.0000
VANILLA DAY,122,122.3333
BREAKFAST GOLDFINGER,123,122.6667
FLASH WARS,123,123.0000
INSECTS STONE,123,123.0000
MASK PEACH,123,123.0000
REEF SALUTE,123,123.0000
SWARM GOLD,123,123.0000
VANISHING ROCKY,123,123.3333
CHISUM BEHAVIOR,124,123.6667
CLONES PINOCCHIO,124,124.0000
JINGLE SAGEBRUSH,124,124.0000
SPEED SUIT,124,124.3333
BULL SHAWSHANK,125,124.6667
DONNIE ALLEY,125,125.0000
FISH OPUS,125,125.0000
GENTLEMEN STAGE,125,125.0000
HUNTER ALTER,125,125.0000
SAINTS BRIDE,125,125.0000
SHINING ROSES,125,125.3333
ALAMO VIDEOTAPE,126,125.6667
ELEPHANT TROJAN,126,126.0000
FREAKY POCUS,126,126.0000
MONTEZUMA COMMAND,126,126.0000
PAJAMA JAWBREAKER,126,126.0000
SINNERS ATLANTIS,126,126.0000
VAMPIRE WHALE,126,126.0000
WOMEN DORADO,126,126.0000
WONDERFUL DROP,126,126.3333
ARGONAUTS TOWN,127,126.6667
GUNFIGHTER MUSSOLINI,127,127.0000
MALTESE HOPE,127,127.0000
SEVEN SWARM,127,127.0000
SUBMARINE BED,127,127.3333
GALAXY SWEETHEARTS,128,127.6667
HOLES BRANNIGAN,128,128.0000
JEDI BENEATH,128,128.0000
NOTORIOUS REUNION,128,128.0000
PAPI NECKLACE,128,128.0000
USUAL UNTOUCHABLES,128,128.0000
WARS PLUTO,128,128.3333
AMERICAN CIRCUS,129,128.6667
BAREFOOT MANCHURIAN,129,129.0000
GOSFORD DONNIE,129,129.0000
MUSIC BOONDOCK,129,129.0000
OUTFIELD MASSACRE,129,129.0000
SLEEPING SUSPECTS,129,129.0000
UNFORGIVEN ZOOLANDER,129,129.3333
AFRICAN EGG,130,129.6667
DARKO DORADO,130,130.0000
FARGO GANDHI,130,130.0000
JASON TRAP,130,130.0000
MAJESTIC FLOATS,130,130.0000
STALLION SUNDANCE,130,130.3333
FANTASIA PARK,131,130.6667
FOREVER CANDIDATE,131,131.0000
ICE CROSSING,131,131.0000
NEMO CAMPUS,131,131.0000
OPEN AFRICAN,131,131.3333
CHOCOLATE DUCK,132,131.6667
DUDE BLINDNESS,132,132.0000
NECKLACE OUTBREAK,132,132.0000
PLATOON INSTINCT,132,132.0000
SKY MIRACLE,132,132.0000
STREAK RIDGEMONT,132,132.0000
TRAINSPOTTING STRANGERS,132,132.0000
VOLUME HOUSE,132,132.3333
BUCKET BROTHERHOOD,133,132.6667
CURTAIN VIDEOTAPE,133,133.0000
DRAGONFLY STRANGERS,133,133.0000
FREEDOM CLEOPATRA,133,133.0000
MALLRATS UNITED,133,133.3333
JUNGLE CLOSER,134,133.6667
PITTSBURGH HUNCHBACK,134,134.0000
ROBBERY BRIGHT,134,134.0000
SPLENDOR PATTON,134,134.0000
WEEKEND PERSONAL,134,134.3333
CANDLES GRAPES,135,134.6667
DREAM PICKUP,135,135.0000
GREASE YOUTH,135,135.0000
INDIAN LOVE,135,135.0000
JAPANESE RUN,135,135.0000
MONEY HAROLD,135,135.0000
SIERRA DIVIDE,135,135.0000
SUNRISE LEAGUE,135,135.0000
THIEF PELICAN,135,135.0000
WALLS ARTIST,135,135.3333
ALASKA PHANTOM,136,135.6667
BRINGING HYSTERICAL,136,136.0000
CRAZY HOME,136,136.0000
HOLLOW JEOPARDY,136,136.0000
MAKER GABLES,136,136.0000
PIANIST OUTFIELD,136,136.0000
REAP UNFAITHFUL,136,136.0000
SQUAD FISH,136,136.0000
TOWN ARK,136,136.3333
ARSENIC INDEPENDENCE,137,136.6667
GRIT CLOCKWORK,137,137.0000
LIFE TWISTED,137,137.0000
LOSE INCH,137,137.0000
PHILADELPHIA WIFE,137,137.0000
POLLOCK DELIVERANCE,137,137.0000
SCORPION APOLLO,137,137.0000
SLEEPY JAPANESE,137,137.0000
WILLOW TRACY,137,137.3333
EXPECATIONS NATURAL,138,137.6667
LIBERTY MAGNIFICENT,138,138.0000
MAIDEN HOME,138,138.0000
POCUS PULP,138,138.0000
SPINAL ROCKY,138,138.0000
SPIRITED CASUALTIES,138,138.3333
CLYDE THEORY,139,138.6667
CREATURES SHAKESPEARE,139,139.0000
DORADO NOTTING,139,139.0000
GROUNDHOG UNCUT,139,139.0000
HOPE TOOTSIE,139,139.0000
HORROR REIGN,139,139.0000
SHRUNK DIVINE,139,139.0000
STRANGER STRANGERS,139,139.0000
TRAFFIC HOBBIT,139,139.0000
VOICE PEACH,139,139.0000
WORKER TARZAN,139,139.3333
EAGLES PANKY,140,139.6667
GRACELAND DYNAMITE,140,140.0000
LIAISONS SWEET,140,140.0000
LOATHING LEGALLY,140,140.0000
STEERS ARMAGEDDON,140,140.3333
DISCIPLE MOTHER,141,140.6667
DYNAMITE TARZAN,141,141.0000
HOCUS FRIDA,141,141.0000
HOMICIDE PEACH,141,141.0000
KISSING DOLLS,141,141.0000
SPICE SORORITY,141,141.0000
SUN CONFESSIONS,141,141.3333
BIKINI BORROWERS,142,141.6667
CHILL LUCK,142,142.0000
FERRIS MOTHER,142,142.0000
MILLION ACE,142,142.0000
TOMORROW HUSTLER,142,142.0000
TRACY CIDER,142,142.0000
VANISHED GARDEN,142,142.3333
CINCINATTI WHISPERER,143,142.6667
CLOCKWORK PARADISE,143,143.0000
CROOKED FROGMEN,143,143.0000
DETECTIVE VISION,143,143.0000
ENCINO ELF,143,143.0000
SOUTH WAIT,143,143.0000
STEEL SANTA,143,143.3333
DANCING FEVER,144,143.6667
FACTORY DRAGON,144,144.0000
LAMBS CINCINATTI,144,144.0000
PACIFIC AMISTAD,144,144.0000
PRESIDENT BANG,144,144.0000
STRICTLY SCARFACE,144,144.0000
TOWERS HURRICANE,144,144.0000
VIRTUAL SPOILERS,144,144.3333
FLOATS GARDEN,145,144.6667
NUTS TIES,145,145.0000
PAYCHECK WAIT,145,145.0000
ROCKY WAR,145,145.0000
RUN PACIFIC,145,145.0000
VACATION BOONDOCK,145,145.0000
VIDEOTAPE ARSENIC,145,145.3333
CHAPLIN LICENSE,146,145.6667
COWBOY DOOM,146,146.0000
HALF OUTFIELD,146,146.0000
HAMLET WISDOM,146,146.0000
MOURNING PURPLE,146,146.3333
ARACHNOPHOBIA ROLLERCOASTER,147,146.6667
DIRTY ACE,147,147.0000
LIES TREATMENT,147,147.0000
MADISON TRAP,147,147.0000
MENAGERIE RUSHMORE,147,147.0000
RACER EGG,147,147.0000
RANGE MOONWALKER,147,147.0000
SCISSORHANDS SLUMS,147,147.0000
SLUMS DUCK,147,147.3333
ARMY FLINTSTONES,148,147.6667
BLANKET BEVERLY,148,148.0000
EASY GLADIATOR,148,148.0000
FIREBALL PHILADELPHIA,148,148.0000
FLINTSTONES HAPPINESS,148,148.0000
OUTLAW HANKY,148,148.0000
