title,length,cumulative_length
SPY MILE,112,38307
STAGECOACH ARMAGEDDON,112,38419
WAIT CIDER,112,38531
WATERSHIP FRONTIER,112,38643
AMADEUS HOLY,113,38756
ATTACKS HATE,113,38869
BANGER PINOCCHIO,113,38982
DAY UNFAITHFUL,113,39095
LADYBUGS ARMAGEDDON,113,39208
LEGALLY SECRETARY,113,39321
SHEPHERD MIDSUMMER,113,39434
STATE WASTELAND,113,39547
ALABAMA DEVIL,114,39661
BLADE POLISH,114,39775
CARRIE BUNCH,114,39889
CHAINSAW UPTOWN,114,40003
CHASING FIGHT,114,40117
GILBERT PELICAN,114,40231
MARRIED GO,114,40345
PRIDE ALAMO,114,40459
SUGAR WONKA,114,40573
SUPERFLY TRIP,114,40687
CONNECTION MICROCOSMOS,115,40802
ELEMENT FREDDY,115,40917
GLORY TRACY,115,41032
OSCAR GOLD,115,41147
POTTER CONNECTICUT,115,41262
PRIX UNDEFEATED,115,41377
TROOPERS METAL,115,41492
DUCK RACER,116,41608
INSTINCT AIRPORT,116,41724
MADIGAN DORADO,116,41840
WORDS HUNTER,116,41956
AFFAIR PREJUDICE,117,42073
CHAMBER ITALIAN,117,42190
GRAFFITI LOVE,117,42307
MAGIC MALLRATS,117,42424
RESURRECTION SILVERADO,117,42541
BACKLASH UNDEFEATED,118,42659
FIDELITY DEVIL,118,42777
JAWBREAKER BROOKLYN,118,42895
ORIENT CLOSER,118,43013
OTHERS SOUP,118,43131
PATHS CONTROL,118,43249
PERSONAL LADYBUGS,118,43367
ROUGE SQUAD,118,43485
APOCALYPSE FLAMINGOS,119,43604
BUGSY SONG,119,43723
DUMBO LUST,119,43842
GAMES BOWFINGER,119,43961
IDENTITY LOVER,119,44080
STRANGERS GRAFFITI,119,44199
CALENDAR GUNFIGHT,120,44319
COMMAND DARLING,120,44439
DAZED PUNK,120,44559
DOLLS RAGE,120,44679
KARATE MOON,120,44799
LOCK REAR,120,44919
ORDER BETRAYED,120,45039
RAGE GAMES,120,45159
UNTOUCHABLES SUNRISE,120,45279
ARIZONA BANG,121,45400
BOOGIE AMELIE,121,45521
BRANNIGAN SUNRISE,121,45642
DANGEROUS UPTOWN,121,45763
HARRY IDAHO,121,45884
JUMANJI BLADE,121,46005
PARIS WEEKEND,121,46126
PURE RUNNER,121,46247
BEACH HEARTBREAKERS,122,46369
BETRAYED REAR,122,46491
CHICKEN HELLFIGHTERS,122,46613
CONFUSED CANDLES,122,46735
DECEIVER BETRAYED,122,46857
DOGMA FAMILY,122,46979
EXTRAORDINARY CONQUERER,122,47101
HOURS RAGE,122,47223
ILLUSION AMELIE,122,47345
MIGHTY LUCK,122,47467
VANILLA DAY,122,47589
BREAKFAST GOLDFINGER,123,47712
FLASH WARS,123,47835
INSECTS STONE,123,47958
MASK PEACH,123,48081
REEF SALUTE,123,48204
SWARM GOLD,123,48327
VANISHING ROCKY,123,48450
CHISUM BEHAVIOR,124,48574
CLONES PINOCCHIO,124,48698
JINGLE SAGEBRUSH,124,48822
SPEED SUIT,124,48946
BULL SHAWSHANK,125,49071
DONNIE ALLEY,125,49196
FISH OPUS,125,49321
GENTLEMEN STAGE,125,49446
HUNTER ALTER,125,49571
SAINTS BRIDE,125,49696
SHINING ROSES,125,49821
ALAMO VIDEOTAPE,126,49947
ELEPHANT TROJAN,126,50073
FREAKY POCUS,126,50199
MONTEZUMA COMMAND,126,50325
PAJAMA JAWBREAKER,126,50451
SINNERS ATLANTIS,126,50577
VAMPIRE WHALE,126,50703
WOMEN DORADO,126,50829
WONDERFUL DROP,126,50955
ARGONAUTS TOWN,127,51082
GUNFIGHTER MUSSOLINI,127,51209
MALTESE HOPE,127,51336
SEVEN SWARM,127,51463
SUBMARINE BED,127,51590
GALAXY SWEETHEARTS,128,51718
HOLES BRANNIGAN,128,51846
JEDI BENEATH,128,51974
NOTORIOUS REUNION,128,52102
PAPI NECKLACE,128,52230
USUAL UNTOUCHABLES,128,52358
WARS PLUTO,128,52486
AMERICAN CIRCUS,129,52615
BAREFOOT MANCHURIAN,129,52744
GOSFORD DONNIE,129,52873
MUSIC BOONDOCK,129,53002
OUTFIELD MASSACRE,129,53131
SLEEPING SUSPECTS,129,53260
UNFORGIVEN ZOOLANDER,129,53389
AFRICAN EGG,130,53519
DARKO DORADO,130,53649
FARGO GANDHI,130,53779
JASON TRAP,130,53909
MAJESTIC FLOATS,130,54039
STALLION SUNDANCE,130,54169
FANTASIA PARK,131,54300
FOREVER CANDIDATE,131,54431
ICE CROSSING,131,54562
NEMO CAMPUS,131,54693
OPEN AFRICAN,131,54824
CHOCOLATE DUCK,132,54956
DUDE BLINDNESS,132,55088
NECKLACE OUTBREAK,132,55220
PLATOON INSTINCT,132,55352
SKY MIRACLE,132,55484
STREAK RIDGEMONT,132,55616
TRAINSPOTTING STRANGERS,132,55748
VOLUME HOUSE,132,55880
BUCKET BROTHERHOOD,133,56013
CURTAIN VIDEOTAPE,133,56146
DRAGONFLY STRANGERS,133,56279
FREEDOM CLEOPATRA,133,56412
MALLRATS UNITED,133,56545
JUNGLE CLOSER,134,56679
PITTSBURGH HUNCHBACK,134,56813
ROBBERY BRIGHT,134,56947
SPLENDOR PATTON,134,57081
WEEKEND PERSONAL,134,57215
CANDLES GRAPES,135,57350
DREAM PICKUP,135,57485
GREASE YOUTH,135,57620
INDIAN LOVE,135,57755
JAPANESE RUN,135,57890
MONEY HAROLD,135,58025
SIERRA DIVIDE,135,58160
SUNRISE LEAGUE,135,58295
THIEF PELICAN,135,58430
WALLS ARTIST,135,58565
ALASKA PHANTOM,136,58701
BRINGING HYSTERICAL,136,58837
CRAZY HOME,136,58973
HOLLOW JEOPARDY,136,59109
MAKER GABLES,136,59245
PIANIST OUTFIELD,136,59381
REAP UNFAITHFUL,136,59517
SQUAD FISH,136,59653
TOWN ARK,136,59789
ARSENIC INDEPENDENCE,137,59926
GRIT CLOCKWORK,137,60063
LIFE TWISTED,137,60200
LOSE INCH,137,60337
PHILADELPHIA WIFE,137,60474
POLLOCK DELIVERANCE,137,60611
SCORPION APOLLO,137,60748
SLEEPY JAPANESE,137,60885
WILLOW TRACY,137,61022
EXPECATIONS NATURAL,138,61160
LIBERTY MAGNIFICENT,138,61298
MAIDEN HOME,138,61436
POCUS PULP,138,61574
SPINAL ROCKY,138,61712
SPIRITED CASUALTIES,138,61850
CLYDE THEORY,139,61989
CREATURES SHAKESPEARE,139,62128
DORADO NOTTING,139,62267
GROUNDHOG UNCUT,139,62406
HOPE TOOTSIE,139,62545
HORROR REIGN,139,62684
SHRUNK DIVINE,139,62823
STRANGER STRANGERS,139,62962
TRAFFIC HOBBIT,139,63101
VOICE PEACH,139,63240
WORKER TARZAN,139,63379
EAGLES PANKY,140,63519
GRACELAND DYNAMITE,140,63659
LIAISONS SWEET,140,63799
LOATHING LEGALLY,140,63939
STEERS ARMAGEDDON,140,64079
DISCIPLE MOTHER,141,64220
DYNAMITE TARZAN,141,64361
HOCUS FRIDA,141,64502
HOMICIDE PEACH,141,64643
KISSING DOLLS,141,64784
SPICE SORORITY,141,64925
SUN CONFESSIONS,141,65066
BIKINI BORROWERS,142,65208
CHILL LUCK,142,65350
FERRIS MOTHER,142,65492
MILLION ACE,142,65634
TOMORROW HUSTLER,142,65776
TRACY CIDER,142,65918
VANISHED GARDEN,142,66060
CINCINATTI WHISPERER,143,66203
CLOCKWORK PARADISE,143,66346
CROOKED FROGMEN,143,66489
DETECTIVE VISION,143,66632
ENCINO ELF,143,66775
SOUTH WAIT,143,66918
STEEL SANTA,143,67061
DANCING FEVER,144,67205
FACTORY DRAGON,144,67349
LAMBS CINCINATTI,144,67493
PACIFIC AMISTAD,144,67637
PRESIDENT BANG,144,67781
STRICTLY SCARFACE,144,67925
TOWERS HURRICANE,144,68069
VIRTUAL SPOILERS,144,68213
FLOATS GARDEN,145,68358
NUTS TIES,145,68503
PAYCHECK WAIT,145,68648
ROCKY WAR,145,68793
RUN PACIFIC,145,68938
VACATION BOONDOCK,145,69083
VIDEOTAPE ARSENIC,145,69228
CHAPLIN LICENSE,146,69374
COWBOY DOOM,146,69520
HALF OUTFIELD,146,69666
HAMLET WISDOM,146,69812
MOURNING PURPLE,146,69958
ARACHNOPHOBIA ROLLERCOASTER,147,70105
DIRTY ACE,147,70252
LIES TREATMENT,147,70399
MADISON TRAP,147,70546
MENAGERIE RUSHMORE,147,70693
RACER EGG,147,70840
RANGE MOONWALKER,147,70987
SCISSORHANDS SLUMS,147,71134
SLUMS DUCK,147,71281
ARMY FLINTSTONES,148,71429
BLANKET BEVERLY,148,71577
EASY GLADIATOR,148,71725
FIREBALL PHILADELPHIA,148,71873
FLINTSTONES HAPPINESS,148,72021
OUTLAW HANKY,148,72169
TELEGRAPH VOYAGE,148,72317
COLOR PHILADELPHIA,149,72466
HOLOCAUST HIGHBALL,149,72615
MINDS TRUMAN,149,72764
NIGHTMARE CHILL,149,72913
RIVER OUTLAW,149,73062
SPIRIT FLINTSTONES,149,73211
ALI FOREVER,150,73361
BINGO TALENTED,150,73511
CHRISTMAS MOONSHINE,150,73661
CLEOPATRA DEVIL,150,73811
GRINCH MASSAGE,150,73961
HYSTERICAL GRAIL,150,74111
RUSHMORE MERMAID,150,74261
SATURDAY LAMBS,150,74411
BEETHOVEN EXORCIST,151,74562
CAROL TEXAS,151,74713
HUNCHBACK IMPOSSIBLE,151,74864
MASKED BUBBLE,151,75015
SCHOOL JACKET,151,75166
SPOILERS HELLFIGHTERS,151,75317
STRAIGHT HOURS,151,75468
CENTER DINOSAUR,152,75620
ELIZABETH SHANE,152,75772
LUCK OPUS,152,75924
SISTER FREDDY,152,76076
TELEMARK HEARTBREAKERS,152,76228
TOURIST PELICAN,152,76380
TUXEDO MILE,152,76532
TWISTED PIRATES,152,76684
WAGON JAWS,152,76836
APOLLO TEEN,153,76989
BABY HALL,153,77142
CROSSROADS CASUALTIES,153,77295
EDGE KISSING,153,77448
GOLDMINE TYCOON,153,77601
LEATHERNECKS DWARFS,153,77754
RIGHT CRANES,153,77907
ROLLERCOASTER BRINGING,153,78060
RULES HUMAN,153,78213
DOUBTFIRE LABYRINTH,154,78367
DURHAM PANKY,154,78521
GOLD RIVER,154,78675
RAGING AIRPLANE,154,78829
SANTA PARIS,154,78983
SASSY PACKER,154,79137
SHREK LICENSE,154,79291
ELF MURDER,155,79446
FAMILY SWEET,155,79601
GRAPES FURY,155,79756
LOLITA WORLD,155,79911
PSYCHO SHRUNK,155,80066
TADPOLE PARK,155,80221
FINDING ANACONDA,156,80377
GRADUATE LORD,156,80533
OPERATION OPERATION,156,80689
SLIPPER FIDELITY,156,80845
HOBBIT ALIEN,157,81002
INDEPENDENCE HOTEL,157,81159
MULHOLLAND BEAST,157,81316
PAST SUICIDES,157,81473
TOOTSIE PILOT,157,81630
VOLCANO TEXAS,157,81787
ENOUGH RAGING,158,81945
FEVER EMPIRE,158,82103
FOOL MOCKINGBIRD,158,82261
MONTEREY LABYRINTH,158,82419
ROAD ROXANNE,158,82577
SECRETARY ROUGE,158,82735
DRIVER ANNIE,159,82894
FRANKENSTEIN STRANGER,159,83053
MALKOVICH PET,159,83212
NEWSIES STORY,159,83371
POSEIDON FOREVER,159,83530
WEST LION,159,83689
BEAR GRACELAND,160,83849
IGBY MAKER,160,84009
MULAN MOON,160,84169
MUMMY CREATURES,160,84329
PEACH INNOCENT,160,84489
STOCK GLASS,160,84649
BROOKLYN DESERT,161,84810
DADDY PITTSBURGH,161,84971
GABLES METROPOLIS,161,85132
KILLER INNOCENT,161,85293
MASSAGE IMAGE,161,85454
METAL ARMAGEDDON,161,85615
NEIGHBORS CHARADE,161,85776
OLEANDER CLUE,161,85937
WASH HEAVENLY,161,86098
