연도,노선명,역명,승차총승객수,하차총승객수
2022,2호선,홍대입구,46517,47843
2022,2호선,신촌,29737,30693
2022,2호선,이대,11485,12493
2022,2호선,아현,9245,8964
2022,2호선,충정로(경기대입구),9327,9866
2022,2호선,용답,2440,2510
2022,2호선,신답,1544,1840
2022,2호선,신설동,2976,3215
2022,2호선,도림천,1379,1425
2022,2호선,양천구청,6433,6816
2022,2호선,신정네거리,9778,10164
2022,2호선,용두(동대문구청),2135,2265
2022,2호선,시청,23070,22229
2022,2호선,을지로입구,38512,38923
2022,2호선,을지로3가,22074,21874
2022,2호선,을지로4가,12787,12559
2022,2호선,동대문역사문화공원(DDP),10556,11804
2022,2호선,신당,12945,13351
2022,2호선,상왕십리,13619,13485
2022,2호선,왕십리(성동구청),14276,12336
2022,2호선,한양대,6505,6818
2022,2호선,뚝섬,21197,22717
2022,2호선,성수,37495,40038
2022,2호선,건대입구,32452,34172
2022,2호선,구의(광진구청),22797,22551
2022,2호선,강변(동서울터미널),28104,26741
2022,2호선,잠실나루,14197,13780
2022,2호선,잠실(송파구청),64568,64231
2022,2호선,잠실새내,20190,19848
2022,2호선,종합운동장,6612,7023
2022,2호선,삼성(무역센터),50807,50835
2022,2호선,선릉,56679,50209
2022,2호선,역삼,54233,59720
2022,2호선,강남,85529,82798
2022,2호선,교대(법원.검찰청),32445,36201
2022,2호선,서초,20690,20106
2022,2호선,방배,15859,16496
2022,2호선,사당,34043,36815
2022,2호선,낙성대(강감찬),25784,25657
2022,2호선,서울대입구(관악구청),45023,41320
2022,2호선,봉천,22886,21599
2022,2호선,신림,60080,59323
2022,2호선,신대방,25371,24933
2022,2호선,구로디지털단지,58965,59323
2022,2호선,대림(구로구청),23123,23660
2022,2호선,신도림,45116,44238
2022,2호선,문래,21153,21415
2022,2호선,영등포구청,22593,22925
2022,2호선,당산,17526,20400
2022,2호선,합정,29103,29992
2022,2호선,홍대입구,49289,49959
2022,2호선,신촌,30824,31535
2022,2호선,이대,11844,12715
2022,2호선,충정로(경기대입구),9570,10005
2022,2호선,용답,2558,2563
2022,2호선,신답,1618,1915
2022,2호선,신설동,3011,3166
2022,2호선,도림천,1391,1465
2022,2호선,양천구청,6620,7013
2022,2호선,신정네거리,10058,10468
2022,2호선,용두(동대문구청),2278,2314
2022,2호선,아현,9557,9266
2022,2호선,영등포구청,22749,23126
2022,2호선,당산,17847,20544
2022,2호선,합정,29420,30363
2022,2호선,홍대입구,50074,51299
2022,2호선,신촌,30378,31188
2022,2호선,이대,12165,12863
2022,2호선,아현,9670,9322
2022,2호선,충정로(경기대입구),9583,10242
2022,2호선,용답,2544,2648
2022,2호선,신답,1656,1899
2022,2호선,신설동,3043,3168
2022,2호선,도림천,1438,1433
2022,2호선,양천구청,6528,6946
2022,2호선,신정네거리,10021,10409
2022,2호선,용두(동대문구청),2287,2329
2022,2호선,시청,23273,22453
2022,2호선,을지로입구,38468,39075
2022,2호선,을지로3가,22568,22245
2022,2호선,을지로4가,12630,12434
2022,2호선,동대문역사문화공원(DDP),11270,12288
2022,2호선,신당,13019,13689
2022,2호선,상왕십리,13680,13352
2022,2호선,왕십리(성동구청),14859,12789
2022,2호선,한양대,6340,6656
2022,2호선,뚝섬,21554,23189
2022,2호선,성수,37655,40372
2022,2호선,건대입구,33043,35323
2022,2호선,구의(광진구청),23145,23105
2022,2호선,강변(동서울터미널),28475,26833
2022,2호선,잠실나루,13910,13614
2022,2호선,잠실(송파구청),64727,64090
2022,2호선,잠실새내,20336,20349
2022,2호선,종합운동장,6678,7048
2022,2호선,삼성(무역센터),51327,51487
2022,2호선,선릉,57173,50828
2022,2호선,역삼,54128,59889
2022,2호선,강남,85391,82379
2022,2호선,교대(법원.검찰청),32733,36418
2022,2호선,서초,20910,20222
2022,2호선,방배,15866,16619
2022,2호선,사당,34666,37483
2022,2호선,낙성대(강감찬),25887,25551
2022,2호선,서울대입구(관악구청),45341,45364
2022,2호선,봉천,23214,21790
2022,2호선,신림,60772,59804
2022,2호선,신대방,25306,24891
2022,2호선,구로디지털단지,59242,59546
2022,2호선,대림(구로구청),23052,23603
2022,2호선,신도림,45212,44424
2022,2호선,문래,21009,21382
2022,2호선,시청,23059,22320
2022,2호선,을지로입구,38778,39500
2022,2호선,을지로3가,22071,21925
2022,2호선,을지로4가,13009,12941
2022,2호선,동대문역사문화공원(DDP),11503,12788
2022,2호선,신당,13257,13645
2022,2호선,상왕십리,13966,13690
2022,2호선,왕십리(성동구청),14976,12878
2022,2호선,한양대,6562,6864
2022,2호선,뚝섬,21789,23260
2022,2호선,성수,37858,40830
2022,2호선,건대입구,33545,35694
2022,2호선,구의(광진구청),23268,22898
2022,2호선,강변(동서울터미널),28693,27082
2022,2호선,잠실나루,14187,13784
2022,2호선,잠실(송파구청),66777,66556
2022,2호선,잠실새내,20452,20278
2022,2호선,종합운동장,6923,7337
2022,2호선,삼성(무역센터),51897,52051
2022,2호선,선릉,57573,51419
2022,2호선,역삼,54099,59750
2022,2호선,강남,86215,84876
2022,2호선,교대(법원.검찰청),32862,36863
2022,2호선,서초,21016,20475
2022,2호선,방배,15974,16705
2022,2호선,사당,35198,38257
2022,2호선,낙성대(강감찬),26386,26019
2022,2호선,서울대입구(관악구청),45738,45341
2022,2호선,봉천,23149,21742
2022,2호선,신림,61525,60435
2022,2호선,신대방,25768,25322
2022,2호선,구로디지털단지,59838,59844
2022,2호선,대림(구로구청),22873,23441
2022,2호선,신도림,45958,45152
2022,2호선,문래,21285,21568
2022,2호선,영등포구청,22693,23193
2022,2호선,당산,17993,20798
2022,2호선,합정,30267,31207
2022,2호선,홍대입구,52648,53736
2022,2호선,신촌,31426,32056
2022,2호선,이대,11983,12783
2022,2호선,아현,9623,9234
2022,2호선,충정로(경기대입구),9581,10007
2022,2호선,용답,2556,2561
2022,2호선,신답,1631,1879
2022,2호선,신설동,3150,3304
2022,2호선,도림천,1366,1414
2022,2호선,양천구청,6599,7084
2022,2호선,신정네거리,10014,10393
2022,2호선,용두(동대문구청),2369,2475
2022,2호선,강남,90564,89305
2022,2호선,강변(동서울터미널),30382,29500
2022,2호선,건대입구,35800,38542
2022,2호선,교대(법원.검찰청),33746,37815
2022,2호선,구로디지털단지,60359,60335
2022,2호선,구의(광진구청),23939,23552
2022,2호선,낙성대(강감찬),27262,25906
2022,2호선,당산,18231,21128
2022,2호선,대림(구로구청),23470,23930
2022,2호선,도림천,1402,1436
2022,2호선,동대문역사문화공원(DDP),11715,13114
2022,2호선,뚝섬,22117,23461
2022,2호선,문래,21239,21538
2022,2호선,방배,16036,16883
2022,2호선,봉천,23682,21644
2022,2호선,사당,36489,39801
2022,2호선,삼성(무역센터),52489,51923
2022,2호선,상왕십리,14213,13699
2022,2호선,서울대입구(관악구청),47992,46891
2022,2호선,서초,20789,19949
2022,2호선,선릉,57994,51049
2022,2호선,성수,37819,40772
2022,2호선,시청,22937,22052
2022,2호선,신답,1687,1876
2022,2호선,신당,13587,14258
2022,2호선,신대방,26247,25659
2022,2호선,신도림,47620,47339
2022,2호선,신림,62877,61917
2022,2호선,신설동,3522,3708
2022,2호선,신정네거리,10327,10859
2022,2호선,신촌,32789,33582
2022,2호선,아현,9899,9562
2022,2호선,양천구청,6775,7161
2022,2호선,역삼,52991,58173
2022,2호선,영등포구청,22864,23363
2022,2호선,왕십리(성동구청),15674,13798
2022,2호선,용답,2621,2577
2022,2호선,용두(동대문구청),2419,2510
2022,2호선,을지로3가,21978,21980
2022,2호선,을지로4가,13069,13020
2022,2호선,을지로입구,39302,39862
2022,2호선,이대,12498,13094
2022,2호선,잠실(송파구청),69885,69051
2022,2호선,잠실나루,14385,13647
2022,2호선,잠실새내,21514,21877
2022,2호선,종합운동장,7366,7834
2022,2호선,충정로(경기대입구),9560,10091
2022,2호선,한양대,6739,6869
2022,2호선,합정,31769,33136
2022,2호선,홍대입구,57310,59625
2022,2호선,시청,7036,6120
2022,2호선,을지로입구,20983,20590
2022,2호선,을지로3가,9928,9819
2022,2호선,을지로4가,7145,6973
2022,2호선,동대문역사문화공원(DDP),9530,10453
2022,2호선,신당,10320,10886
2022,2호선,상왕십리,9222,8674
2022,2호선,왕십리(성동구청),12464,11065
2022,2호선,한양대,6538,6293
2022,2호선,뚝섬,12587,12859
2022,2호선,성수,17929,19777
2022,2호선,건대입구,32797,34819
2022,2호선,구의(광진구청),15359,15137
2022,2호선,강변(동서울터미널),23294,23124
2022,2호선,잠실나루,6888,6758
2022,2호선,잠실(송파구청),60847,58266
2022,2호선,잠실새내,15595,16228
2022,2호선,종합운동장,4951,5426
2022,2호선,삼성(무역센터),27958,27740
2022,2호선,선릉,22333,19574
2022,2호선,역삼,18233,19880
2022,2호선,강남,60515,59780
2022,2호선,교대(법원.검찰청),15895,17914
2022,2호선,서초,10377,8809
2022,2호선,방배,9138,9411
2022,2호선,사당,28402,31021
2022,2호선,낙성대(강감찬),19755,18538
2022,2호선,서울대입구(관악구청),36134,34927
2022,2호선,봉천,16146,15061
2022,2호선,신림,47240,45940
2022,2호선,신대방,18637,18169
2022,2호선,구로디지털단지,32316,31994
2022,2호선,대림(구로구청),16817,17773
2022,2호선,신도림,36645,37148
2022,2호선,문래,11239,11732
2022,2호선,영등포구청,11818,12321
2022,2호선,당산,11426,12499
2022,2호선,합정,26459,28046
2022,2호선,홍대입구,58826,62640
2022,2호선,신촌,27651,27604
2022,2호선,이대,9073,9691
2022,2호선,아현,6545,6335
2022,2호선,충정로(경기대입구),5107,5317
2022,2호선,용답,1993,1994
2022,2호선,신답,932,1027
2022,2호선,신설동,3201,3326
2022,2호선,도림천,718,800
2022,2호선,양천구청,4102,4253
2022,2호선,신정네거리,6923,6912
2022,2호선,용두(동대문구청),1696,1639
2022,2호선,시청,5038,4060
2022,2호선,을지로입구,14927,13853
2022,2호선,을지로3가,7390,6971
2022,2호선,을지로4가,3152,2996
2022,2호선,동대문역사문화공원(DDP),6773,8202
2022,2호선,신당,7318,7725
2022,2호선,상왕십리,6231,6251
2022,2호선,왕십리(성동구청),8510,7814
2022,2호선,한양대,1987,2154
2022,2호선,뚝섬,9329,9360
2022,2호선,성수,12457,13292
2022,2호선,건대입구,24608,25544
2022,2호선,구의(광진구청),10463,10625
2022,2호선,강변(동서울터미널),18185,17425
2022,2호선,잠실나루,4569,4816
2022,2호선,잠실(송파구청),44557,41825
2022,2호선,잠실새내,10103,10363
2022,2호선,종합운동장,4006,4599
2022,2호선,삼성(무역센터),20078,19485
2022,2호선,선릉,12572,10627
2022,2호선,역삼,11034,12091
2022,2호선,강남,33870,32354
2022,2호선,교대(법원.검찰청),9310,10445
2022,2호선,서초,10610,9796
2022,2호선,방배,6284,6667
2022,2호선,사당,19329,21450
2022,2호선,낙성대(강감찬),14282,14736
2022,2호선,서울대입구(관악구청),25168,26033
2022,2호선,봉천,11298,11176
2022,2호선,신림,34676,33117
2022,2호선,신대방,13847,13732
2022,2호선,구로디지털단지,21940,21522
2022,2호선,대림(구로구청),12846,13140
2022,2호선,신도림,25126,25449
2022,2호선,문래,6785,7046
2022,2호선,영등포구청,7202,7598
2022,2호선,당산,7604,8252
2022,2호선,합정,19238,19963
2022,2호선,홍대입구,45921,44982
2022,2호선,신촌,20239,19566
2022,2호선,이대,6310,6983
2022,2호선,아현,4693,4731
2022,2호선,충정로(경기대입구),3400,3725
2022,2호선,용답,1521,1500
2022,2호선,신답,701,759
2022,2호선,신설동,2837,3072
2022,2호선,도림천,407,402
2022,2호선,양천구청,2941,3085
2022,2호선,신정네거리,4777,4884
2022,2호선,용두(동대문구청),959,937
2022,2호선,용두(동대문구청),2335,2423
2022,2호선,신정네거리,10033,10417
2022,2호선,양천구청,6670,7054
2022,2호선,도림천,1389,1461
2022,2호선,신설동,3143,3238
2022,2호선,신답,1647,1907
2022,2호선,용답,2527,2617
2022,2호선,충정로(경기대입구),9610,10025
2022,2호선,이대,11878,12798
2022,2호선,신촌,30818,31574
2022,2호선,홍대입구,49806,50788
2022,2호선,합정,29018,29899
2022,2호선,당산,17617,20631
2022,2호선,영등포구청,22973,23544
2022,2호선,문래,21304,21584
2022,2호선,신도림,44858,44104
2022,2호선,대림(구로구청),23362,23746
2022,2호선,구로디지털단지,59721,60233
2022,2호선,신대방,25638,25207
2022,2호선,신림,60732,57854
2022,2호선,봉천,23478,22286
2022,2호선,서울대입구(관악구청),45273,45262
2022,2호선,낙성대(강감찬),25884,25552
2022,2호선,사당,34247,37503
2022,2호선,방배,15813,16478
2022,2호선,서초,20922,20208
2022,2호선,교대(법원.검찰청),33745,37667
2022,2호선,강남,86972,84796
2022,2호선,역삼,54281,60073
2022,2호선,선릉,58395,51412
2022,2호선,삼성(무역센터),50835,51226
2022,2호선,종합운동장,6766,7430
2022,2호선,잠실새내,20365,20491
2022,2호선,잠실(송파구청),64779,64626
2022,2호선,잠실나루,14176,13873
2022,2호선,강변(동서울터미널),28965,27517
2022,2호선,구의(광진구청),23013,23157
2022,2호선,건대입구,32965,34829
2022,2호선,성수,36921,39531
2022,2호선,뚝섬,20742,22246
2022,2호선,한양대,6502,6873
2022,2호선,왕십리(성동구청),14365,12333
2022,2호선,상왕십리,13596,13349
2022,2호선,신당,13102,13557
2022,2호선,동대문역사문화공원(DDP),10729,11951
2022,2호선,을지로4가,12898,12759
2022,2호선,을지로3가,21930,21833
2022,2호선,을지로입구,37862,38295
2022,2호선,시청,22481,21847
2022,2호선,아현,9578,9292
2022,2호선,용두(동대문구청),2258,2377
2022,2호선,신정네거리,9944,10403
2022,2호선,양천구청,6690,7114
2022,2호선,도림천,1412,1504
2022,2호선,신설동,3225,3225
2022,2호선,신답,1620,1862
2022,2호선,용답,2461,2519
2022,2호선,충정로(경기대입구),9885,10301
2022,2호선,아현,9978,9814
2022,2호선,이대,12099,12874
2022,2호선,신촌,31621,32118
2022,2호선,홍대입구,51041,51762
2022,2호선,합정,29837,30798
2022,2호선,당산,17596,20540
2022,2호선,영등포구청,23515,23729
2022,2호선,문래,21732,21966
2022,2호선,신도림,45109,44212
2022,2호선,대림(구로구청),22680,23428
2022,2호선,구로디지털단지,60101,60296
2022,2호선,신대방,25584,25168
2022,2호선,신림,61582,60628
2022,2호선,봉천,23283,22028
2022,2호선,서울대입구(관악구청),46100,45564
2022,2호선,낙성대(강감찬),26331,25885
2022,2호선,사당,35225,38314
2022,2호선,방배,16287,16982
2022,2호선,서초,21757,21027
2022,2호선,교대(법원.검찰청),34511,38936
2022,2호선,강남,89258,87157
2022,2호선,역삼,56681,61648
2022,2호선,선릉,58922,52472
2022,2호선,삼성(무역센터),52846,52687
2022,2호선,종합운동장,7443,7874
2022,2호선,잠실새내,20892,20772
2022,2호선,잠실(송파구청),66829,66520
2022,2호선,잠실나루,14215,14055
2022,2호선,강변(동서울터미널),27964,26547
2022,2호선,구의(광진구청),23454,23366
2022,2호선,건대입구,33189,34920
2022,2호선,성수,38340,40973
2022,2호선,뚝섬,21718,23229
2022,2호선,한양대,6698,7035
2022,2호선,왕십리(성동구청),15001,12693
2022,2호선,상왕십리,13856,13681
2022,2호선,신당,13148,13825
2022,2호선,동대문역사문화공원(DDP),11135,12295
2022,2호선,을지로4가,12774,12479
2022,2호선,을지로3가,22540,22165
2022,2호선,을지로입구,38296,39285
2022,2호선,시청,23778,22743
2022,2호선,시청,23644,22461
2022,2호선,을지로입구,38799,39363
2022,2호선,을지로3가,22675,22200
2022,2호선,을지로4가,12731,12322
2022,2호선,동대문역사문화공원(DDP),11302,12387
2022,2호선,신당,12979,13643
2022,2호선,상왕십리,13705,13556
2022,2호선,왕십리(성동구청),14997,12498
2022,2호선,한양대,6882,7276
2022,2호선,뚝섬,21727,23392
2022,2호선,성수,38123,40786
2022,2호선,건대입구,33270,35293
2022,2호선,구의(광진구청),23183,22949
2022,2호선,강변(동서울터미널),28552,27023
2022,2호선,잠실나루,14140,13580
2022,2호선,잠실(송파구청),67271,67606
2022,2호선,잠실새내,20648,20412
2022,2호선,종합운동장,6858,7414
2022,2호선,삼성(무역센터),52432,52235
2022,2호선,선릉,57818,51313
2022,2호선,역삼,55474,60647
2022,2호선,강남,87834,85411
2022,2호선,교대(법원.검찰청),34409,38731
2022,2호선,서초,21500,20659
2022,2호선,방배,16089,16860
2022,2호선,사당,35068,38291
2022,2호선,낙성대(강감찬),26189,25682
2022,2호선,서울대입구(관악구청),45617,45075
2022,2호선,봉천,22923,21656
2022,2호선,신림,61441,60475
2022,2호선,신대방,25215,24792
2022,2호선,구로디지털단지,59366,59222
2022,2호선,대림(구로구청),22714,23250
2022,2호선,신도림,45623,44751
2022,2호선,문래,21150,21525
2022,2호선,영등포구청,22668,23203
2022,2호선,당산,17593,20400
2022,2호선,합정,30220,30838
2022,2호선,홍대입구,51272,52155
2022,2호선,신촌,31179,31788
2022,2호선,이대,12061,12662
2022,2호선,아현,9560,9166
2022,2호선,충정로(경기대입구),9740,10259
2022,2호선,용답,2521,2565
2022,2호선,신답,1596,1939
2022,2호선,신설동,3237,3363
2022,2호선,도림천,1416,1451
2022,2호선,양천구청,6599,7022
2022,2호선,신정네거리,9869,10351
2022,2호선,용두(동대문구청),2200,2273
2022,2호선,용두(동대문구청),2259,2330
2022,2호선,신정네거리,9880,10380
2022,2호선,양천구청,6605,7078
2022,2호선,도림천,1365,1443
2022,2호선,신설동,3367,3392
2022,2호선,신답,1572,1895
2022,2호선,용답,2525,2582
2022,2호선,충정로(경기대입구),9663,10144
2022,2호선,아현,9618,9537
2022,2호선,이대,12298,12871
2022,2호선,신촌,31604,32315
2022,2호선,홍대입구,53135,54210
2022,2호선,합정,30694,31763
2022,2호선,당산,17490,20448
2022,2호선,영등포구청,23034,23257
2022,2호선,문래,21365,21690
2022,2호선,신도림,46183,45513
2022,2호선,대림(구로구청),22617,23078
2022,2호선,구로디지털단지,59515,59456
2022,2호선,신대방,25380,25027
2022,2호선,신림,61880,60695
2022,2호선,봉천,22802,21541
2022,2호선,서울대입구(관악구청),46029,45163
2022,2호선,낙성대(강감찬),26426,25964
2022,2호선,사당,35641,38657
2022,2호선,방배,15889,16837
2022,2호선,서초,21672,20956
2022,2호선,교대(법원.검찰청),34352,38733
2022,2호선,강남,88800,86176
2022,2호선,역삼,55616,60562
2022,2호선,선릉,57998,51795
2022,2호선,삼성(무역센터),51985,52135
2022,2호선,종합운동장,6582,7215
2022,2호선,잠실새내,20632,20382
2022,2호선,잠실(송파구청),67588,67405
2022,2호선,잠실나루,14198,13822
2022,2호선,강변(동서울터미널),28413,27283
2022,2호선,구의(광진구청),23147,23129
2022,2호선,건대입구,33964,36095
2022,2호선,성수,38518,41057
2022,2호선,뚝섬,22088,23662
2022,2호선,한양대,6760,6853
2022,2호선,왕십리(성동구청),15055,12718
2022,2호선,상왕십리,13851,13833
2022,2호선,신당,12914,13585
2022,2호선,동대문역사문화공원(DDP),11315,12391
2022,2호선,을지로4가,13066,12785
2022,2호선,을지로3가,22475,22352
2022,2호선,을지로입구,39062,39814
2022,2호선,시청,23992,22778
2022,2호선,시청,23053,22076
2022,2호선,을지로입구,39190,39726
2022,2호선,을지로3가,22556,22689
2022,2호선,을지로4가,13161,12934
2022,2호선,동대문역사문화공원(DDP),11446,13031
2022,2호선,신당,13709,14421
2022,2호선,상왕십리,14259,13930
2022,2호선,왕십리(성동구청),15777,13430
2022,2호선,한양대,6764,6975
2022,2호선,성수,38263,41347
2022,2호선,건대입구,35679,38014
2022,2호선,구의(광진구청),23552,23510
2022,2호선,강변(동서울터미널),30978,29889
2022,2호선,잠실나루,14157,13648
2022,2호선,잠실(송파구청),69692,69282
2022,2호선,잠실새내,21680,21941
2022,2호선,종합운동장,7078,7512
2022,2호선,삼성(무역센터),51995,51864
2022,2호선,선릉,57531,51023
2022,2호선,역삼,53225,58295
2022,2호선,강남,92109,89913
2022,2호선,교대(법원.검찰청),34541,39052
2022,2호선,서초,21426,20497
2022,2호선,방배,16412,16989
2022,2호선,사당,36555,39892
2022,2호선,낙성대(강감찬),27023,25862
2022,2호선,서울대입구(관악구청),47768,46476
2022,2호선,봉천,23410,21848
2022,2호선,신림,63065,61543
2022,2호선,신대방,26186,25311
2022,2호선,구로디지털단지,59640,59669
2022,2호선,대림(구로구청),23083,23589
2022,2호선,신도림,47111,46943
2022,2호선,문래,21296,21586
2022,2호선,영등포구청,22801,23284
2022,2호선,당산,18078,20907
2022,2호선,합정,32668,34199
2022,2호선,홍대입구,57559,59788
2022,2호선,신촌,32779,33398
2022,2호선,이대,12802,13430
2022,2호선,아현,9924,9579
2022,2호선,충정로(경기대입구),9688,10179
2022,2호선,용답,2593,2617
2022,2호선,신답,1642,1897
2022,2호선,신설동,3571,3605
2022,2호선,도림천,1371,1385
2022,2호선,양천구청,6683,7223
2022,2호선,용두(동대문구청),2459,2509
2022,2호선,뚝섬,22022,23586
2022,2호선,신정네거리,10205,10613
2022,2호선,용두(동대문구청),1749,1777
2022,2호선,신정네거리,7080,7216
2022,2호선,양천구청,4190,4298
2022,2호선,도림천,790,796
2022,2호선,신설동,3255,3267
2022,2호선,신답,964,1100
2022,2호선,용답,2008,2012
2022,2호선,충정로(경기대입구),5111,5547
2022,2호선,아현,6761,6644
2022,2호선,이대,9262,9650
2022,2호선,신촌,27741,27791
2022,2호선,홍대입구,63354,66211
2022,2호선,합정,27867,29613
2022,2호선,당산,11694,12807
2022,2호선,영등포구청,12719,13282
2022,2호선,문래,11697,12307
2022,2호선,신도림,37671,38059
2022,2호선,대림(구로구청),16604,17688
2022,2호선,구로디지털단지,32413,31999
2022,2호선,신대방,18666,18174
2022,2호선,신림,48103,46495
2022,2호선,봉천,16295,15314
2022,2호선,서울대입구(관악구청),35833,34722
2022,2호선,낙성대(강감찬),20144,18983
2022,2호선,사당,28815,31814
2022,2호선,방배,9099,9284
2022,2호선,서초,9988,8503
2022,2호선,교대(법원.검찰청),16184,18197
2022,2호선,강남,61843,60249
2022,2호선,역삼,18875,20783
2022,2호선,선릉,23308,20365
2022,2호선,삼성(무역센터),28176,28283
2022,2호선,종합운동장,4444,4732
2022,2호선,잠실새내,15786,16071
2022,2호선,잠실(송파구청),60696,58670
2022,2호선,잠실나루,6753,6702
2022,2호선,강변(동서울터미널),24067,23498
2022,2호선,구의(광진구청),15604,15382
2022,2호선,건대입구,33201,35238
2022,2호선,성수,19032,21324
2022,2호선,뚝섬,13308,12946
2022,2호선,한양대,3350,3440
2022,2호선,왕십리(성동구청),12259,10647
2022,2호선,상왕십리,9184,8953
2022,2호선,신당,10331,10976
2022,2호선,동대문역사문화공원(DDP),10174,11352
2022,2호선,을지로4가,7091,7263
2022,2호선,을지로3가,10079,10075
