title,rating
WASH HEAVENLY,R
WEEKEND PERSONAL,R
WILD APOLLO,R
WILLOW TRACY,R
WIND PHANTOM,R
WINDOW SIDE,R
WISDOM WORKER,R
WOMEN DORADO,R
WORKER TARZAN,R
WORKING MICROCOSMOS,R
YENTL IDAHO,R
ZOOLANDER FICTION,R
ACADEMY DINOSAUR,PG
AGENT TRUMAN,PG
ALASKA PHANTOM,PG
ALI FOREVER,PG
AMADEUS HOLY,PG
ARIZONA BANG,PG
ARSENIC INDEPENDENCE,PG
BEDAZZLED MARRIED,PG
BEHAVIOR RUNAWAY,PG
BILL OTHERS,PG
BIRCH ANTITRUST,PG
BLACKOUT PRIVATE,PG
BOILED DARES,PG
BORN SPINAL,PG
BOUND CHEAPER,PG
BRANNIGAN SUNRISE,PG
BRINGING HYSTERICAL,PG
BUCKET BROTHERHOOD,PG
CAROL TEXAS,PG
CARRIE BUNCH,PG
CENTER DINOSAUR,PG
CHAINSAW UPTOWN,PG
CHAMPION FLATLINERS,PG
CHARADE DUFFEL,PG
CHASING FIGHT,PG
CHICKEN HELLFIGHTERS,PG
CHILL LUCK,PG
CHINATOWN GLADIATOR,PG
CIDER DESIRE,PG
COAST RAINBOW,PG
COWBOY DOOM,PG
CRAZY HOME,PG
CROW GREASE,PG
CYCLONE FAMILY,PG
DALMATIONS SWEDEN,PG
DANGEROUS UPTOWN,PG
DAWN POND,PG
DISCIPLE MOTHER,PG
DREAM PICKUP,PG
DRUMS DYNAMITE,PG
DYING MAKER,PG
EFFECT GLADIATOR,PG
EGG IGBY,PG
EGYPT TENENBAUMS,PG
EVERYONE CRAFT,PG
EXPENDABLE STALLION,PG
FATAL HAUNTED,PG
FERRIS MOTHER,PG
FICTION CHRISTMAS,PG
FIREBALL PHILADELPHIA,PG
FOOL MOCKINGBIRD,PG
FRENCH HOLIDAY,PG
FRISCO FORREST,PG
FROST HEAD,PG
FULL FLATLINERS,PG
GABLES METROPOLIS,PG
GASLIGHT CRUSADE,PG
GLADIATOR WESTWARD,PG
GOODFELLAS SALUTE,PG
GRAFFITI LOVE,PG
GREEK EVERYONE,PG
GRIT CLOCKWORK,PG
HATE HANDICAP,PG
HEAVEN FREEDOM,PG
HELLFIGHTERS SIERRA,PG
HOLES BRANNIGAN,PG
HOLLYWOOD ANONYMOUS,PG
HORN WORKING,PG
HURRICANE AFFAIR,PG
HYSTERICAL GRAIL,PG
INSTINCT AIRPORT,PG
INVASION CYCLONE,PG
IRON MOON,PG
JAWBREAKER BROOKLYN,PG
JEDI BENEATH,PG
JEKYLL FROGMEN,PG
JERSEY SASSY,PG
KENTUCKIAN GIANT,PG
LADY STAGE,PG
LEGALLY SECRETARY,PG
LEGEND JEDI,PG
LIAISONS SWEET,PG
LION UNCUT,PG
LOLA AGENT,PG
LOSER HUSTLER,PG
LOVELY JINGLE,PG
MAGIC MALLRATS,PG
MAIDEN HOME,PG
MAJESTIC FLOATS,PG
MALLRATS UNITED,PG
MANCHURIAN CURTAIN,PG
MASSAGE IMAGE,PG
MIGHTY LUCK,PG
MILE MULAN,PG
MOCKINGBIRD HOLLYWOOD,PG
MODERN DORADO,PG
MONEY HAROLD,PG
MONSOON CAUSE,PG
MONSTER SPARTACUS,PG
MOON BUNCH,PG
MOTIONS DETAILS,PG
MOURNING PURPLE,PG
MOVIE SHAKESPEARE,PG
MULHOLLAND BEAST,PG
MUPPET MILE,PG
MURDER ANTITRUST,PG
MUSKETEERS WAIT,PG
NECKLACE OUTBREAK,PG
NEWTON LABYRINTH,PG
NIGHTMARE CHILL,PG
NORTHWEST POLISH,PG
OKLAHOMA JUMANJI,PG
OLEANDER CLUE,PG
OPEN AFRICAN,PG
OPPOSITE NECKLACE,PG
OSCAR GOLD,PG
OTHERS SOUP,PG
PAPI NECKLACE,PG
PARTY KNOCK,PG
PATHS CONTROL,PG
PATRIOT ROMAN,PG
PATTON INTERVIEW,PG
PEAK FOREVER,PG
PELICAN COMFORTS,PG
PET HAUNTING,PG
PILOT HOOSIERS,PG
PINOCCHIO SIMON,PG
PIRATES ROXANNE,PG
POLISH BROOKLYN,PG
POLLOCK DELIVERANCE,PG
POTTER CONNECTICUT,PG
PRESIDENT BANG,PG
PRIVATE DROP,PG
PUNK DIVORCE,PG
QUEEN LUKE,PG
RAINBOW SHOCK,PG
RANGE MOONWALKER,PG
RECORDS ZORRO,PG
RESURRECTION SILVERADO,PG
RIDER CADDYSHACK,PG
ROOM ROMAN,PG
RUSH GOODFELLAS,PG
SABRINA MIDNIGHT,PG
SANTA PARIS,PG
SEA VIRGIN,PG
SECRET GROUNDHOG,PG
SECRETARY ROUGE,PG
SENSIBILITY REAR,PG
SHANE DARKNESS,PG
SHANGHAI TYCOON,PG
SHAWSHANK BUBBLE,PG
SILVERADO GOLDFINGER,PG
SKY MIRACLE,PG
SLEEPY JAPANESE,PG
SLUMS DUCK,PG
SNATCH SLIPPER,PG
SPLASH GUMP,PG
SQUAD FISH,PG
STAGE WORLD,PG
STAR OPERATION,PG
STEERS ARMAGEDDON,PG
STOCK GLASS,PG
SUGAR WONKA,PG
SUPER WYOMING,PG
SUPERFLY TRIP,PG
SUSPECTS QUILLS,PG
SWEDEN SHINING,PG
TADPOLE PARK,PG
TALENTED HOMICIDE,PG
TELEGRAPH VOYAGE,PG
TEMPLE ATTRACTION,PG
TEQUILA PAST,PG
TITANS JERK,PG
TOMATOES HELLFIGHTERS,PG
TOOTSIE PILOT,PG
TRADING PINOCCHIO,PG
TRAMP OTHERS,PG
TREATMENT JEKYLL,PG
TROJAN TOMORROW,PG
TROUBLE DATE,PG
TWISTED PIRATES,PG
UNFORGIVEN ZOOLANDER,PG
UPTOWN YOUNG,PG
VOLUME HOUSE,PG
WAGON JAWS,PG
WALLS ARTIST,PG
WASTELAND DIVINE,PG
WATCH TRACY,PG
WEDDING APOLLO,PG
WIZARD COLDBLOODED,PG
WON DARES,PG
WONDERLAND CHRISTMAS,PG
WORDS HUNTER,PG
WORST BANGER,PG
ACE GOLDFINGER,G
ADAPTATION HOLES,NC-17
AFFAIR PREJUDICE,G
AFRICAN EGG,G
AIRPLANE SIERRA,PG-13
ALABAMA DEVIL,PG-13
ALADDIN CALENDAR,NC-17
ALAMO VIDEOTAPE,G
ALICE FANTASIA,NC-17
ALIEN CENTER,NC-17
ALLEY EVOLUTION,NC-17
ALTER VICTORY,PG-13
AMISTAD MIDSUMMER,G
ANGELS LIFE,G
ANNIE IDENTITY,G
ANONYMOUS HUMAN,NC-17
ANTHEM LUKE,PG-13
ANTITRUST TOMATOES,NC-17
APACHE DIVINE,NC-17
APOLLO TEEN,PG-13
ARABIA DOGMA,NC-17
ARACHNOPHOBIA ROLLERCOASTER,PG-13
ARGONAUTS TOWN,PG-13
ARK RIDGEMONT,NC-17
ARMAGEDDON LOST,G
ARTIST COLDBLOODED,NC-17
ATLANTIS CAUSE,G
ATTACKS HATE,PG-13
ATTRACTION NEWTON,PG-13
AUTUMN CROW,G
BABY HALL,NC-17
BACKLASH UNDEFEATED,PG-13
BAKED CLEOPATRA,G
BALLOON HOMEWARD,NC-17
BALLROOM MOCKINGBIRD,G
BANG KWAI,NC-17
BARBARELLA STREETCAR,G
BAREFOOT MANCHURIAN,G
BASIC EASY,PG-13
BEACH HEARTBREAKERS,G
BEAUTY GREASE,G
BED HIGHBALL,NC-17
BEETHOVEN EXORCIST,PG-13
BENEATH RUSH,NC-17
BERETS AGENT,PG-13
BETRAYED REAR,NC-17
BIKINI BORROWERS,NC-17
BILKO ANONYMOUS,PG-13
BINGO TALENTED,PG-13
BIRD INDEPENDENCE,G
BIRDCAGE CASPER,NC-17
BIRDS PERDITION,G
BLADE POLISH,PG-13
BLANKET BEVERLY,G
BLINDNESS GUN,PG-13
BLOOD ARGONAUTS,G
BLUES INSTINCT,G
BONNIE HOLOCAUST,G
BOONDOCK BALLROOM,NC-17
BORROWERS BEDAZZLED,G
BOWFINGER GABLES,NC-17
BRAVEHEART HUMAN,PG-13
BREAKFAST GOLDFINGER,G
BREAKING HOME,PG-13
BRIDE INTRIGUE,G
BRIGHT ENCOUNTERS,PG-13
BUGSY SONG,G
BULL SHAWSHANK,NC-17
BULWORTH COMMANDMENTS,G
BUNCH MINDS,G
BUTCH PANTHER,PG-13
BUTTERFLY CHOCOLAT,G
CABIN FLASH,NC-17
CADDYSHACK JEDI,NC-17
CALENDAR GUNFIGHT,NC-17
CALIFORNIA BIRDS,NC-17
CAMELOT VACATION,NC-17
CANDLES GRAPES,NC-17
CAPER MOTIONS,G
CARIBBEAN LIBERTY,NC-17
CASABLANCA SUPER,G
CASPER DRAGONFLY,PG-13
CASSIDY WYOMING,NC-17
CASUALTIES ENCINO,G
CAT CONEHEADS,G
CATCH AMISTAD,G
CELEBRITY HORN,PG-13
CHAMBER ITALIAN,NC-17
CHAPLIN LICENSE,NC-17
CHEAPER CLYDE,G
CHICAGO NORTH,PG-13
CHISUM BEHAVIOR,G
CHITTY LOCK,G
CHOCOLAT HARRY,NC-17
CHRISTMAS MOONSHINE,NC-17
CINCINATTI WHISPERER,NC-17
CIRCUS YOUTH,PG-13
CITIZEN SHREK,G
CLASH FREDDY,G
CLEOPATRA DEVIL,PG-13
CLERKS ANGELS,G
CLOCKWORK PARADISE,PG-13
CLUB GRAFFITI,PG-13
CLUE GRAIL,NC-17
CLYDE THEORY,PG-13
COLDBLOODED DARLING,G
COLOR PHILADELPHIA,G
COMA HEAD,NC-17
COMFORTS RUSH,NC-17
COMMAND DARLING,PG-13
CONEHEADS SMOOCHY,NC-17
CONFESSIONS MAGUIRE,PG-13
CONFIDENTIAL INTERVIEW,NC-17
CONFUSED CANDLES,PG-13
CONGENIALITY QUEST,PG-13
CONNECTION MICROCOSMOS,G
CONQUERER NUTS,G
CONSPIRACY SPIRIT,PG-13
CONTACT ANONYMOUS,PG-13
CONTROL ANTHEM,G
CORE SUIT,PG-13
CRAFT OUTFIELD,NC-17
CRANES RESERVOIR,NC-17
CREATURES SHAKESPEARE,NC-17
CREEPERS KANE,NC-17
CROOKED FROGMEN,PG-13
CROSSROADS CASUALTIES,G
CRUELTY UNFORGIVEN,G
CRYSTAL BREAKING,NC-17
CURTAIN VIDEOTAPE,PG-13
DADDY PITTSBURGH,G
DAISY MENAGERIE,G
DANCES NONE,NC-17
DANCING FEVER,G
DARES PLUTO,PG-13
DARKNESS WAR,NC-17
DARKO DORADO,NC-17
DARLING BREAKING,PG-13
DARN FORRESTER,G
DAUGHTER MADIGAN,PG-13
DAY UNFAITHFUL,G
DAZED PUNK,G
DECEIVER BETRAYED,NC-17
DEEP CRUSADE,PG-13
DEER VIRGINIAN,NC-17
DESIRE ALIEN,NC-17
DESPERATE TRAINSPOTTING,G
DESTINATION JERK,PG-13
DESTINY SATURDAY,G
DETECTIVE VISION,PG-13
DIARY PANIC,G
DIRTY ACE,NC-17
DIVIDE MONSTER,PG-13
DIVORCE SHINING,G
DOCTOR GRAIL,G
DOGMA FAMILY,G
DOLLS RAGE,PG-13
DONNIE ALLEY,NC-17
DOORS PRESIDENT,NC-17
DORADO NOTTING,NC-17
DOWNHILL ENOUGH,G
DOZEN LION,NC-17
DRACULA CRYSTAL,G
DRAGON SQUAD,NC-17
DRAGONFLY STRANGERS,NC-17
DRIFTER COMMANDMENTS,PG-13
DRIVER ANNIE,PG-13
DRIVING POLISH,NC-17
DRUMLINE CYCLONE,G
DUCK RACER,NC-17
DUDE BLINDNESS,G
DUFFEL APOCALYPSE,G
DUMBO LUST,NC-17
DWARFS ALTER,G
DYNAMITE TARZAN,PG-13
EAGLES PANKY,NC-17
EARLY HOME,NC-17
EARTH VISION,NC-17
EASY GLADIATOR,G
EDGE KISSING,NC-17
ELEMENT FREDDY,NC-17
ELEPHANT TROJAN,PG-13
ELF MURDER,NC-17
ELIZABETH SHANE,NC-17
EMPIRE MALKOVICH,G
ENCINO ELF,G
ENCOUNTERS CURTAIN,NC-17
ENDING CROWDS,NC-17
ENEMY ODDS,NC-17
ENGLISH BULWORTH,PG-13
ENOUGH RAGING,NC-17
EVE RESURRECTION,G
EVOLUTION ALTER,PG-13
EXCITEMENT EVE,G
EXORCIST STING,G
EXPECATIONS NATURAL,PG-13
EXTRAORDINARY CONQUERER,G
EYES DRIVING,PG-13
FACTORY DRAGON,PG-13
FALCON VOLUME,PG-13
FANTASIA PARK,G
FANTASY TROOPERS,PG-13
FARGO GANDHI,G
FEATHERS METAL,PG-13
FELLOWSHIP AUTUMN,NC-17
FIDELITY DEVIL,G
FIREHOUSE VIETNAM,G
FLAMINGOS CONNECTICUT,PG-13
FLASH WARS,NC-17
FLATLINERS KILLER,G
FLINTSTONES HAPPINESS,PG-13
FLOATS GARDEN,PG-13
FLYING HOOK,NC-17
FOREVER CANDIDATE,NC-17
FORRESTER COMANCHEROS,NC-17
FORWARD TEMPLE,NC-17
FRANKENSTEIN STRANGER,NC-17
FREDDY STORM,NC-17
FREEDOM CLEOPATRA,PG-13
FRONTIER CABIN,PG-13
FURY MURDER,PG-13
GAMES BOWFINGER,PG-13
GANDHI KWAI,PG-13
GANGS PRIDE,PG-13
GARDEN ISLAND,G
GATHERING CALENDAR,PG-13
GENTLEMEN STAGE,NC-17
GHOST GROUNDHOG,G
GILBERT PELICAN,G
GLASS DYING,G
GLEAMING JAWBREAKER,NC-17
GLORY TRACY,PG-13
GODFATHER DIARY,NC-17
GOLDFINGER SENSIBILITY,G
GOSFORD DONNIE,G
GRADUATE LORD,G
GRAIL FRANKENSTEIN,NC-17
GRAPES FURY,G
GREASE YOUTH,G
GREATEST NORTH,NC-17
GROOVE FICTION,NC-17
GROUNDHOG UNCUT,PG-13
GUMP DATE,NC-17
GUN BONNIE,G
GUNFIGHT MOON,NC-17
GUNFIGHTER MUSSOLINI,PG-13
HALF OUTFIELD,PG-13
HALL CASSIDY,NC-17
HALLOWEEN NUTS,PG-13
HANGING DEEP,G
HANKY OCTOBER,NC-17
HANOVER GALAXY,NC-17
HAPPINESS UNITED,G
HAROLD FRENCH,NC-17
HARPER DYING,G
HARRY IDAHO,PG-13
HAUNTED ANTITRUST,NC-17
HAWK CHILL,PG-13
HEARTBREAKERS BRIGHT,G
HEAVENLY GUN,NC-17
HEAVYWEIGHTS BEAST,G
HEDWIG ALTER,NC-17
HILLS NEIGHBORS,G
HOBBIT ALIEN,PG-13
HOCUS FRIDA,G
HOLIDAY GAMES,PG-13
HOLLOW JEOPARDY,NC-17
HOMICIDE PEACH,PG-13
HOOK CHARIOTS,G
HOOSIERS BIRDCAGE,G
HOPE TOOTSIE,NC-17
HOTEL HAPPINESS,PG-13
HOURS RAGE,NC-17
HUMAN GRAFFITI,NC-17
HUNCHBACK IMPOSSIBLE,PG-13
HUNGER ROOF,G
HUNTER ALTER,PG-13
HUNTING MUSKETEERS,NC-17
HUSTLER PARTY,NC-17
HYDE DOCTOR,G
IDAHO LOVE,PG-13
IDENTITY LOVER,PG-13
IDOLS SNATCHERS,NC-17
IGBY MAKER,NC-17
IMAGE PRINCESS,PG-13
IMPACT ALADDIN,PG-13
IMPOSSIBLE PREJUDICE,NC-17
INCH JET,NC-17
INDEPENDENCE HOTEL,NC-17
INDIAN LOVE,NC-17
INFORMER DOUBLE,NC-17
INNOCENT USUAL,PG-13
INSECTS STONE,NC-17
INSIDER ARIZONA,NC-17
INTENTIONS EMPIRE,PG-13
INTOLERABLE INTENTIONS,PG-13
INTRIGUE WORST,G
ISLAND EXORCIST,NC-17
ITALIAN AFRICAN,G
JACKET FRISCO,PG-13
JADE BUNCH,NC-17
JAPANESE RUN,G
JASON TRAP,NC-17
JAWS HARRY,G
JERICHO MULAN,NC-17
JERK PAYCHECK,NC-17
JINGLE SAGEBRUSH,PG-13
JOON NORTHWEST,NC-17
JUGGLER HARDLY,PG-13
JUMANJI BLADE,G
JUMPING WRATH,NC-17
JUNGLE CLOSER,NC-17
KARATE MOON,PG-13
KICK SAVANNAH,PG-13
KILL BROTHERHOOD,G
KING EVOLUTION,NC-17
KISS GLORY,PG-13
KNOCK WARLOCK,PG-13
KWAI HOMEWARD,PG-13
LABYRINTH LEAGUE,PG-13
LADYBUGS ARMAGEDDON,NC-17
LAMBS CINCINATTI,PG-13
LANGUAGE COWBOY,NC-17
LAWLESS VISION,G
LAWRENCE LOVE,NC-17
LEAGUE HELLFIGHTERS,PG-13
LEATHERNECKS DWARFS,PG-13
LEBOWSKI SOLDIERS,PG-13
LESSON CLEOPATRA,NC-17
LIBERTY MAGNIFICENT,G
LICENSE WEEKEND,NC-17
LIES TREATMENT,NC-17
LIFE TWISTED,NC-17
LOLITA WORLD,NC-17
LONELY ELEPHANT,G
LORD ARIZONA,PG-13
LOST BIRD,PG-13
LOUISIANA HARRY,PG-13
LOVER TRUMAN,G
LOVERBOY ATTACKS,PG-13
LUCK OPUS,NC-17
LUCKY FLYING,PG-13
LUKE MUMMY,NC-17
LUST LOCK,G
MADNESS ATTACKS,PG-13
MADRE GABLES,PG-13
MAGNOLIA FORRESTER,PG-13
MAGUIRE APACHE,NC-17
MAKER GABLES,PG-13
MALKOVICH PET,G
MALTESE HOPE,PG-13
MANNEQUIN WORST,PG-13
MARRIED GO,G
MARS ROMAN,NC-17
MASK PEACH,NC-17
MASKED BUBBLE,PG-13
MATRIX SNOWMAN,PG-13
MEET CHOCOLATE,G
MEMENTO ZOOLANDER,NC-17
MENAGERIE RUSHMORE,G
MERMAID INSECTS,NC-17
METAL ARMAGEDDON,PG-13
METROPOLIS COMA,PG-13
MICROCOSMOS PARADISE,PG-13
MIDNIGHT WESTWARD,G
MIDSUMMER GROUNDHOG,G
MILLION ACE,PG-13
MINDS TRUMAN,PG-13
MINE TITANS,PG-13
MINORITY KISS,G
MIRACLE VIRTUAL,PG-13
MISSION ZOOLANDER,PG-13
MIXED DOORS,PG-13
MOB DUFFEL,G
MOD SECRETARY,NC-17
MODEL FISH,NC-17
MONTEREY LABYRINTH,G
MONTEZUMA COMMAND,NC-17
MOONSHINE CABIN,PG-13
MOONWALKER FOOL,G
MOSQUITO ARMAGEDDON,G
MOULIN WAKE,PG-13
MULAN MOON,G
MUMMY CREATURES,NC-17
MUSCLE BRIGHT,G
MUSSOLINI SPOILERS,G
MYSTIC TRUMAN,NC-17
NAME DETECTIVE,PG-13
NASH CHOCOLAT,PG-13
NATIONAL STORY,NC-17
NATURAL STOCK,PG-13
NEMO CAMPUS,NC-17
NETWORK PEAK,PG-13
NEWSIES STORY,G
NONE SPIKING,NC-17
NOON PAPI,G
NORTH TEQUILA,NC-17
NOTORIOUS REUNION,NC-17
NOTTING SPEAKEASY,PG-13
NOVOCAINE FLIGHT,G
NUTS TIES,NC-17
OCTOBER SUBMARINE,PG-13
ODDS BOOGIE,NC-17
OPERATION OPERATION,G
ORANGE GRAPES,PG-13
ORDER BETRAYED,PG-13
OUTBREAK DIVINE,NC-17
OUTFIELD MASSACRE,NC-17
OUTLAW HANKY,PG-13
PACIFIC AMISTAD,G
PACKER MADIGAN,PG-13
PANIC CLUB,G
PANKY SUBMARINE,G
PANTHER REDS,NC-17
PARADISE SABRINA,PG-13
PARIS WEEKEND,PG-13
PARK CITIZEN,PG-13
PAST SUICIDES,PG-13
PATIENT SISTER,NC-17
PAYCHECK WAIT,PG-13
PEACH INNOCENT,PG-13
PEARL DESTINY,NC-17
PERDITION FARGO,NC-17
PERFECT GROOVE,PG-13
PERSONAL LADYBUGS,PG-13
PHANTOM GLORY,NC-17
PHILADELPHIA WIFE,PG-13
PIANIST OUTFIELD,NC-17
PICKUP DRIVING,G
PITTSBURGH HUNCHBACK,PG-13
PITY BOUND,NC-17
PIZZA JUMANJI,NC-17
PLATOON INSTINCT,PG-13
POCUS PULP,NC-17
POND SEATTLE,PG-13
POSEIDON FOREVER,PG-13
POTLUCK MIXED,G
PREJUDICE OLEANDER,PG-13
PRIDE ALAMO,NC-17
PRIMARY GLASS,G
PRINCESS GIANT,NC-17
PSYCHO SHRUNK,PG-13
PULP BEVERLY,G
PURE RUNNER,NC-17
RACER EGG,NC-17
RAIDERS ANTITRUST,PG-13
RANDOM GO,NC-17
REAP UNFAITHFUL,PG-13
REAR TRADING,NC-17
REBEL AIRPORT,G
REDEMPTION COMFORTS,NC-17
REDS POCUS,PG-13
REEF SALUTE,NC-17
REIGN GENTLEMEN,PG-13
RESERVOIR ADAPTATION,PG-13
RIDGEMONT SUBMARINE,PG-13
RIGHT CRANES,PG-13
RINGS HEARTBREAKERS,G
RIVER OUTLAW,PG-13
ROBBERS JOON,PG-13
ROCK INSTINCT,G
ROCKETEER MOTHER,PG-13
ROCKY WAR,PG-13
ROLLERCOASTER BRINGING,PG-13
ROMAN PUNK,NC-17
ROOTS REMEMBER,PG-13
ROSES TREASURE,PG-13
ROUGE SQUAD,NC-17
RUGRATS SHAKESPEARE,PG-13
RUNAWAY TENENBAUMS,NC-17
RUNNER MADIGAN,NC-17
RUSHMORE MERMAID,PG-13
SADDLE ANTITRUST,PG-13
SAGEBRUSH CLUELESS,G
SAINTS BRIDE,G
SAMURAI LION,G
SASSY PACKER,G
SATISFACTION CONFIDENTIAL,G
SATURDAY LAMBS,G
SAVANNAH TOWN,PG-13
SCALAWAG DUCK,NC-17
SCARFACE BANG,PG-13
SCHOOL JACKET,PG-13
SCISSORHANDS SLUMS,G
SCORPION APOLLO,NC-17
SEABISCUIT PUNK,NC-17
SEARCHERS WAIT,NC-17
SEATTLE EXPECATIONS,PG-13
SECRETS PARADISE,G
SHAKESPEARE SADDLE,PG-13
SHINING ROSES,G
SHOCK CABIN,PG-13
SHOOTIST SUPERFLY,PG-13
SHOW LORD,PG-13
SHREK LICENSE,PG-13
SIDE ARK,G
SIERRA DIVIDE,NC-17
SIMON NORTH,NC-17
SINNERS ATLANTIS,PG-13
SISTER FREDDY,PG-13
SLEEPING SUSPECTS,PG-13
SLEEPLESS MONSOON,G
SLEUTH ORIENT,NC-17
SLIPPER FIDELITY,PG-13
SMILE EARRING,G
SMOKING BARBARELLA,PG-13
SNATCHERS MONTEZUMA,PG-13
SNOWMAN ROLLERCOASTER,G
SOMETHING DUCK,NC-17
SONG HEDWIG,PG-13
SONS INTERVIEW,NC-17
SORORITY QUEEN,NC-17
SPARTACUS CHEAPER,NC-17
SPEAKEASY DATE,PG-13
SPEED SUIT,PG-13
SPICE SORORITY,NC-17
SPIKING ELEMENT,G
SPINAL ROCKY,PG-13
SPIRITED CASUALTIES,PG-13
SPOILERS HELLFIGHTERS,G
SPY MILE,PG-13
STALLION SUNDANCE,PG-13
STATE WASTELAND,NC-17
STEEL SANTA,NC-17
STEPMOM DREAM,NC-17
STING PERSONAL,NC-17
STONE FIRE,G
STORM HAPPINESS,NC-17
STRANGELOVE DESIRE,NC-17
STRANGER STRANGERS,G
