title,length,movie_type
RIVER OUTLAW,149,長編
HOLOCAUST HIGHBALL,149,長編
CLEOPATRA DEVIL,150,長編
RUSHMORE MERMAID,150,長編
SATURDAY LAMBS,150,長編
HYSTERICAL GRAIL,150,長編
CHRISTMAS MOONSHINE,150,長編
BINGO TALENTED,150,長編
ALI FOREVER,150,長編
GRINCH MASSAGE,150,長編
MASKED BUBBLE,151,長編
SCHOOL JACKET,151,長編
STRAIGHT HOURS,151,長編
CAROL TEXAS,151,長編
BEETHOVEN EXORCIST,151,長編
HUNCHBACK IMPOSSIBLE,151,長編
SPOILERS HELLFIGHTERS,151,長編
SISTER FREDDY,152,長編
CENTER DINOSAUR,152,長編
ELIZABETH SHANE,152,長編
WAGON JAWS,152,長編
TUXEDO MILE,152,長編
TWISTED PIRATES,152,長編
TELEMARK HEARTBREAKERS,152,長編
TOURIST PELICAN,152,長編
LUCK OPUS,152,長編
RULES HUMAN,153,長編
APOLLO TEEN,153,長編
CROSSROADS CASUALTIES,153,長編
EDGE KISSING,153,長編
ROLLERCOASTER BRINGING,153,長編
GOLDMINE TYCOON,153,長編
RIGHT CRANES,153,長編
BABY HALL,153,長編
LEATHERNECKS DWARFS,153,長編
GOLD RIVER,154,長編
RAGING AIRPLANE,154,長編
DURHAM PANKY,154,長編
SHREK LICENSE,154,長編
SASSY PACKER,154,長編
SANTA PARIS,154,長編
DOUBTFIRE LABYRINTH,154,長編
ELF MURDER,155,長編
FAMILY SWEET,155,長編
TADPOLE PARK,155,長編
PSYCHO SHRUNK,155,長編
GRAPES FURY,155,長編
LOLITA WORLD,155,長編
SLIPPER FIDELITY,156,長編
OPERATION OPERATION,156,長編
FINDING ANACONDA,156,長編
GRADUATE LORD,156,長編
HOBBIT ALIEN,157,長編
MULHOLLAND BEAST,157,長編
TOOTSIE PILOT,157,長編
VOLCANO TEXAS,157,長編
PAST SUICIDES,157,長編
INDEPENDENCE HOTEL,157,長編
ROAD ROXANNE,158,長編
ENOUGH RAGING,158,長編
SECRETARY ROUGE,158,長編
FEVER EMPIRE,158,長編
MONTEREY LABYRINTH,158,長編
FOOL MOCKINGBIRD,158,長編
NEWSIES STORY,159,長編
POSEIDON FOREVER,159,長編
MALKOVICH PET,159,長編
DRIVER ANNIE,159,長編
FRANKENSTEIN STRANGER,159,長編
WEST LION,159,長編
MUMMY CREATURES,160,長編
PEACH INNOCENT,160,長編
MULAN MOON,160,長編
BEAR GRACELAND,160,長編
STOCK GLASS,160,長編
IGBY MAKER,160,長編
MASSAGE IMAGE,161,長編
BROOKLYN DESERT,161,長編
WASH HEAVENLY,161,長編
KILLER INNOCENT,161,長編
METAL ARMAGEDDON,161,長編
OLEANDER CLUE,161,長編
NEIGHBORS CHARADE,161,長編
GABLES METROPOLIS,161,長編
DADDY PITTSBURGH,161,長編
LOVERBOY ATTACKS,162,長編
MIRACLE VIRTUAL,162,長編
BIRCH ANTITRUST,162,長編
BADMAN DAWN,162,長編
ROSES TREASURE,162,長編
CASPER DRAGONFLY,163,長編
BIRD INDEPENDENCE,163,長編
EVERYONE CRAFT,163,長編
STORY SIDE,163,長編
GILMORE BOILED,163,長編
KISS GLORY,163,長編
QUEEN LUKE,163,長編
VIRGINIAN PLUTO,164,長編
MISSION ZOOLANDER,164,長編
CLERKS ANGELS,164,長編
UNITED PILOT,164,長編
SPEAKEASY DATE,165,長編
SONG HEDWIG,165,長編
CITIZEN SHREK,165,長編
DARLING BREAKING,165,長編
MASSACRE USUAL,165,長編
MURDER ANTITRUST,166,長編
MOTIONS DETAILS,166,長編
GREEDY ROOTS,166,長編
CONTACT ANONYMOUS,166,長編
MINE TITANS,166,長編
SHOW LORD,167,長編
CAMPUS REMEMBER,167,長編
ESCAPE METROPOLIS,167,長編
EXORCIST STING,167,長編
REQUIEM TYCOON,167,長編
INCH JET,167,長編
LESSON CLEOPATRA,167,長編
ANTITRUST TOMATOES,168,長編
HAROLD FRENCH,168,長編
DYING MAKER,168,長編
TRANSLATION SUMMER,168,長編
BREAKING HOME,169,長編
KENTUCKIAN GIANT,169,長編
SOUP WISDOM,169,長編
OUTBREAK DIVINE,169,長編
HEDWIG ALTER,169,長編
AGENT TRUMAN,169,長編
ARTIST COLDBLOODED,170,長編
TRADING PINOCCHIO,170,長編
ATLANTIS CAUSE,170,長編
DRAGON SQUAD,170,長編
MOONSHINE CABIN,171,長編
JERICHO MULAN,171,長編
KRAMER CHOCOLATE,171,長編
MAGNOLIA FORRESTER,171,長編
DUFFEL APOCALYPSE,171,長編
WORLD LEATHERNECKS,171,長編
ROXANNE REBEL,171,長編
TRAMP OTHERS,171,長編
NORTHWEST POLISH,172,長編
IDAHO LOVE,172,長編
CONNECTICUT TRAMP,172,長編
JERK PAYCHECK,172,長編
TIGHTS DAWN,172,長編
CREEPERS KANE,172,長編
EYES DRIVING,172,長編
UNCUT SUICIDES,172,長編
PIZZA JUMANJI,173,長編
VELVET TERMINATOR,173,長編
FIRE WOLVES,173,長編
GLADIATOR WESTWARD,173,長編
TALENTED HOMICIDE,173,長編
BALLROOM MOCKINGBIRD,173,長編
CONQUERER NUTS,173,長編
VIETNAM SMOOCHY,174,長編
JADE BUNCH,174,長編
EVOLUTION ALTER,174,長編
UPRISING UPTOWN,174,長編
LIGHTS DEER,174,長編
ITALIAN AFRICAN,174,長編
BEAUTY GREASE,175,長編
SPLASH GUMP,175,長編
PATTON INTERVIEW,175,長編
MODEL FISH,175,長編
DRIVING POLISH,175,長編
LAWRENCE LOVE,175,長編
GATHERING CALENDAR,176,長編
BRAVEHEART HUMAN,176,長編
DRACULA CRYSTAL,176,長編
ENTRAPMENT SATISFACTION,176,長編
WRATH MILE,176,長編
SWEDEN SHINING,176,長編
CAPER MOTIONS,176,長編
GREEK EVERYONE,176,長編
CYCLONE FAMILY,176,長編
HOOSIERS BIRDCAGE,176,長編
EMPIRE MALKOVICH,177,長編
RIDER CADDYSHACK,177,長編
MANCHURIAN CURTAIN,177,長編
DOUBLE WRATH,177,長編
QUEST MUSSOLINI,177,長編
DOZEN LION,177,長編
NAME DETECTIVE,178,長編
EXPRESS LONELY,178,長編
WARDROBE PHANTOM,178,長編
IMAGE PRINCESS,178,長編
INNOCENT USUAL,178,長編
MADNESS ATTACKS,178,長編
DROP WATERFRONT,178,長編
WRONG BEHAVIOR,178,長編
ROCKETEER MOTHER,178,長編
FURY MURDER,178,長編
TEXAS WATCH,179,長編
SLACKER LIAISONS,179,長編
CASUALTIES ENCINO,179,長編
YOUTH KICK,179,長編
VIRGIN DAISY,179,長編
KICK SAVANNAH,179,長編
FLIGHT LIES,179,長編
POTLUCK MIXED,179,長編
BORN SPINAL,179,長編
CAUSE DATE,179,長編
REDEMPTION COMFORTS,179,長編
TORQUE BOUND,179,長編
ANONYMOUS HUMAN,179,長編
MIXED DOORS,180,長編
CONFIDENTIAL INTERVIEW,180,長編
ALLEY EVOLUTION,180,長編
SOMETHING DUCK,180,長編
MUSSOLINI SPOILERS,180,長編
NASH CHOCOLAT,180,長編
IMPACT ALADDIN,180,長編
WILD APOLLO,181,長編
ANALYZE HOOSIERS,181,長編
LAWLESS VISION,181,長編
RUNAWAY TENENBAUMS,181,長編
LOVE SUICIDES,181,長編
STAR OPERATION,181,長編
JACKET FRISCO,181,長編
INTRIGUE WORST,181,長編
HOTEL HAPPINESS,181,長編
HAUNTING PIANIST,181,長編
BAKED CLEOPATRA,182,長編
SATURN NAME,182,長編
SEARCHERS WAIT,182,長編
RECORDS ZORRO,182,長編
REDS POCUS,182,長編
MONSOON CAUSE,182,長編
FRONTIER CABIN,183,長編
WIFE TURN,183,長編
SCALAWAG DUCK,183,長編
CATCH AMISTAD,183,長編
YOUNG LANGUAGE,183,長編
SMOOCHY CONTROL,184,長編
SORORITY QUEEN,184,長編
KING EVOLUTION,184,長編
CONSPIRACY SPIRIT,184,長編
CRYSTAL BREAKING,184,長編
MOONWALKER FOOL,184,長編
THEORY MERMAID,184,長編
SONS INTERVIEW,184,長編
WORST BANGER,185,長編
POND SEATTLE,185,長編
CONTROL ANTHEM,185,長編
DARN FORRESTER,185,長編
HOME PITY,185,長編
CHICAGO NORTH,185,長編
MUSCLE BRIGHT,185,長編
GANGS PRIDE,185,長編
SOLDIERS EVOLUTION,185,長編
SWEET BROTHERHOOD,185,長編
LABYRINTH LEAGUE,46,一般
IRON MOON,46,一般
RIDGEMONT SUBMARINE,46,一般
ALIEN CENTER,46,一般
KWAI HOMEWARD,46,一般
DOWNHILL ENOUGH,47,一般
HALLOWEEN NUTS,47,一般
DIVORCE SHINING,47,一般
HANOVER GALAXY,47,一般
SHANGHAI TYCOON,47,一般
SUSPECTS QUILLS,47,一般
HAWK CHILL,47,一般
HEAVEN FREEDOM,48,一般
PELICAN COMFORTS,48,一般
VALENTINE VANISHING,48,一般
NOTTING SPEAKEASY,48,一般
ODDS BOOGIE,48,一般
RUSH GOODFELLAS,48,一般
ACE GOLDFINGER,48,一般
MIDSUMMER GROUNDHOG,48,一般
SUNSET RACER,48,一般
STEPMOM DREAM,48,一般
PARADISE SABRINA,48,一般
HOOK CHARIOTS,49,一般
GROSSE WONDERFUL,49,一般
DOORS PRESIDENT,49,一般
HEAVENLY GUN,49,一般
HURRICANE AFFAIR,49,一般
BLUES INSTINCT,50,一般
MUPPET MILE,50,一般
ADAPTATION HOLES,50,一般
NATURAL STOCK,50,一般
CROSSING DIVORCE,50,一般
LION UNCUT,50,一般
SMOKING BARBARELLA,50,一般
PILOT HOOSIERS,50,一般
ZORRO ARK,50,一般
CHAMPION FLATLINERS,51,一般
HALL CASSIDY,51,一般
FRISCO FORREST,51,一般
SIMON NORTH,51,一般
EXCITEMENT EVE,51,一般
ENGLISH BULWORTH,51,一般
DEEP CRUSADE,51,一般
WESTWARD SEABISCUIT,52,一般
TROJAN TOMORROW,52,一般
LUST LOCK,52,一般
SIDE ARK,52,一般
CADDYSHACK JEDI,52,一般
HARPER DYING,52,一般
SPARTACUS CHEAPER,52,一般
MAGNIFICENT CHITTY,53,一般
SUMMER SCARFACE,53,一般
MOVIE SHAKESPEARE,53,一般
TEQUILA PAST,53,一般
CABIN FLASH,53,一般
THIN SAGEBRUSH,53,一般
GUMP DATE,53,一般
BENEATH RUSH,53,一般
PRIMARY GLASS,53,一般
KILL BROTHERHOOD,54,一般
GO PURPLE,54,一般
SENSE GREEK,54,一般
OCTOBER SUBMARINE,54,一般
AIRPORT POLLOCK,54,一般
JUGGLER HARDLY,54,一般
COAST RAINBOW,55,一般
WOLVES DESIRE,55,一般
DESTINY SATURDAY,56,一般
GOODFELLAS SALUTE,56,一般
BRIDE INTRIGUE,56,一般
MATRIX SNOWMAN,56,一般
CUPBOARD SINNERS,56,一般
NOON PAPI,57,一般
DOCTOR GRAIL,57,一般
STORM HAPPINESS,57,一般
ALTER VICTORY,57,一般
DAWN POND,57,一般
MOSQUITO ARMAGEDDON,57,一般
CRANES RESERVOIR,57,一般
FANTASY TROOPERS,58,一般
SUPER WYOMING,58,一般
JEKYLL FROGMEN,58,一般
RINGS HEARTBREAKERS,58,一般
CLOSER BANG,58,一般
DANCES NONE,58,一般
OKLAHOMA JUMANJI,58,一般
COMMANDMENTS EXPRESS,59,一般
VISION TORQUE,59,一般
DAUGHTER MADIGAN,59,一般
WHISPERER GIANT,59,一般
HEARTBREAKERS BRIGHT,59,一般
MINORITY KISS,59,一般
INTERVIEW LIAISONS,59,一般
JET NEIGHBORS,59,一般
LEGEND JEDI,59,一般
PHANTOM GLORY,60,一般
PITY BOUND,60,一般
BUBBLE GROSSE,60,一般
ROOM ROMAN,60,一般
JERSEY SASSY,60,一般
MOCKINGBIRD HOLLYWOOD,60,一般
SHAKESPEARE SADDLE,60,一般
SMILE EARRING,60,一般
BIRDS PERDITION,61,一般
CASSIDY WYOMING,61,一般
TROUBLE DATE,61,一般
DRIFTER COMMANDMENTS,61,一般
CAMELOT VACATION,61,一般
CHINATOWN GLADIATOR,61,一般
BULWORTH COMMANDMENTS,61,一般
WATERFRONT DELIVERANCE,61,一般
RESERVOIR ADAPTATION,61,一般
POLISH BROOKLYN,61,一般
AIRPLANE SIERRA,62,一般
SNOWMAN ROLLERCOASTER,62,一般
HANGING DEEP,62,一般
MARS ROMAN,62,一般
ARABIA DOGMA,62,一般
UNBREAKABLE KARATE,62,一般
ALADDIN CALENDAR,63,一般
BOULEVARD MOB,63,一般
BUNCH MINDS,63,一般
INTOLERABLE INTENTIONS,63,一般
FORREST SONS,63,一般
REUNION WITCHES,63,一般
DINOSAUR SECRETARY,63,一般
BORROWERS BEDAZZLED,63,一般
BONNIE HOLOCAUST,63,一般
NOVOCAINE FLIGHT,64,一般
CRAFT OUTFIELD,64,一般
SLEEPLESS MONSOON,64,一般
TRIP NEWTON,64,一般
METROPOLIS COMA,64,一般
MILE MULAN,64,一般
TAXI KICK,64,一般
DESERT POSEIDON,64,一般
VICTORY ACADEMY,64,一般
BARBARELLA STREETCAR,65,一般
CLUB GRAFFITI,65,一般
LOVELY JINGLE,65,一般
FREDDY STORM,65,一般
HUNTING MUSKETEERS,65,一般
PATRIOT ROMAN,65,一般
CONFESSIONS MAGUIRE,65,一般
EVE RESURRECTION,66,一般
CHARADE DUFFEL,66,一般
NORTH TEQUILA,67,一般
BUTCH PANTHER,67,一般
COMANCHEROS ENEMY,67,一般
LADY STAGE,67,一般
SHOOTIST SUPERFLY,67,一般
SILENCE KANE,67,一般
LONELY ELEPHANT,67,一般
EGG IGBY,67,一般
DOOM DANCING,68,一般
HUMAN GRAFFITI,68,一般
TOMATOES HELLFIGHTERS,68,一般
DIVIDE MONSTER,68,一般
ARK RIDGEMONT,68,一般
CRUELTY UNFORGIVEN,69,一般
LEBOWSKI SOLDIERS,69,一般
HEAD STRANGER,69,一般
HOLLYWOOD ANONYMOUS,69,一般
FLYING HOOK,69,一般
TIMBERLAND SKY,69,一般
LOUISIANA HARRY,70,一般
CLUE GRAIL,70,一般
COLDBLOODED DARLING,70,一般
CHANCE RESURRECTION,70,一般
CANDIDATE PERDITION,70,一般
WEDDING APOLLO,70,一般
GUNFIGHT MOON,70,一般
BLOOD ARGONAUTS,71,一般
MANNEQUIN WORST,71,一般
PRINCESS GIANT,71,一般
KNOCK WARLOCK,71,一般
TRAIN BUNCH,71,一般
TEMPLE ATTRACTION,71,一般
CHARIOTS CONSPIRACY,71,一般
FICTION CHRISTMAS,72,一般
HARDLY ROBBERS,72,一般
MAUDE MOD,72,一般
BOWFINGER GABLES,72,一般
GODFATHER DIARY,73,一般
BROTHERHOOD BLANKET,73,一般
BRIGHT ENCOUNTERS,73,一般
MUSKETEERS WAIT,73,一般
SALUTE APOLLO,73,一般
VALLEY PACKER,73,一般
STREETCAR INTENTIONS,73,一般
RANDOM GO,73,一般
WAKE JAWS,73,一般
FRIDA SLIPPER,73,一般
BEDAZZLED MARRIED,73,一般
REBEL AIRPORT,73,一般
ANGELS LIFE,74,一般
TEEN APOLLO,74,一般
SNATCHERS MONTEZUMA,74,一般
LUKE MUMMY,74,一般
RAINBOW SHOCK,74,一般
INFORMER DOUBLE,74,一般
PEARL DESTINY,74,一般
SILVERADO GOLDFINGER,74,一般
JUMPING WRATH,74,一般
WORKING MICROCOSMOS,74,一般
MODERN DORADO,74,一般
MAGUIRE APACHE,74,一般
SATISFACTION CONFIDENTIAL,75,一般
FIDDLER LOST,75,一般
STAMPEDE DISTURBING,75,一般
WIZARD COLDBLOODED,75,一般
BALLOON HOMEWARD,75,一般
CALIFORNIA BIRDS,75,一般
LOVER TRUMAN,75,一般
NETWORK PEAK,75,一般
NEWTON LABYRINTH,75,一般
HELLFIGHTERS SIERRA,75,一般
HAUNTED ANTITRUST,76,一般
ORANGE GRAPES,76,一般
BOONDOCK BALLROOM,76,一般
COMFORTS RUSH,76,一般
DESTINATION JERK,76,一般
VILLAIN DESPERATE,76,一般
DESIRE ALIEN,76,一般
PICKUP DRIVING,77,一般
FELLOWSHIP AUTUMN,77,一般
MEMENTO ZOOLANDER,77,一般
BERETS AGENT,77,一般
MOD SECRETARY,77,一般
ENEMY ODDS,77,一般
HOLIDAY GAMES,78,一般
WATCH TRACY,78,一般
LANGUAGE COWBOY,78,一般
UNFAITHFUL KILL,78,一般
VOYAGE LEGALLY,78,一般
INSIDER ARIZONA,78,一般
WEREWOLF LOLA,79,一般
MOULIN WAKE,79,一般
SHOCK CABIN,79,一般
SPIKING ELEMENT,79,一般
ISHTAR ROCKETEER,79,一般
AMELIE HELLFIGHTERS,79,一般
LOSER HUSTLER,80,一般
TURN STAR,80,一般
SADDLE ANTITRUST,80,一般
WAR NOTTING,80,一般
PEAK FOREVER,80,一般
MEET CHOCOLATE,80,一般
SHAWSHANK BUBBLE,80,一般
GARDEN ISLAND,80,一般
FLAMINGOS CONNECTICUT,80,一般
SEA VIRGIN,80,一般
CLASH FREDDY,81,一般
DESPERATE TRAINSPOTTING,81,一般
ROMAN PUNK,81,一般
ANYTHING SAVANNAH,82,一般
FROST HEAD,82,一般
PERFECT GROOVE,82,一般
TYCOON GATHERING,82,一般
RAIDERS ANTITRUST,82,一般
ALONE TRIP,82,一般
REIGN GENTLEMEN,82,一般
ATTRACTION NEWTON,83,一般
HUSTLER PARTY,83,一般
FUGITIVE MAGUIRE,83,一般
NONE SPIKING,83,一般
MOON BUNCH,83,一般
WARLOCK WEREWOLF,83,一般
IDOLS SNATCHERS,84,一般
ISLAND EXORCIST,84,一般
SLING LUKE,84,一般
PLUTO OLEANDER,84,一般
GUYS FALCON,84,一般
PACKER MADIGAN,84,一般
JEEPERS WEDDING,84,一般
HIGH ENCINO,84,一般
SAVANNAH TOWN,84,一般
DAISY MENAGERIE,84,一般
GONE TROUBLE,84,一般
HONEY TIES,84,一般
UPTOWN YOUNG,84,一般
STAGE WORLD,85,一般
CASABLANCA SUPER,85,一般
AMISTAD MIDSUMMER,85,一般
LOLA AGENT,85,一般
EARTH VISION,85,一般
CANYON STOCK,85,一般
GRAIL FRANKENSTEIN,85,一般
WONKA SEA,85,一般
WASTELAND DIVINE,85,一般
ENDING CROWDS,85,一般
VARSITY TRIP,85,一般
WINDOW SIDE,85,一般
GHOST GROUNDHOG,85,一般
EGYPT TENENBAUMS,85,一般
OZ LIAISONS,85,一般
BEVERLY OUTLAW,85,一般
BLACKOUT PRIVATE,85,一般
YENTL IDAHO,86,一般
ANNIE IDENTITY,86,一般
GANDHI KWAI,86,一般
MIDNIGHT WESTWARD,86,一般
ACADEMY DINOSAUR,86,一般
CHEAPER CLYDE,87,一般
TREATMENT JEKYLL,87,一般
DEVIL DESIRE,87,一般
SLEUTH ORIENT,87,一般
CONGENIALITY QUEST,87,一般
BANG KWAI,87,一般
PURPLE MOVIE,88,一般
HOLY TADPOLE,88,一般
DETAILS PACKER,88,一般
TERMINATOR CLUB,88,一般
BUTTERFLY CHOCOLAT,89,一般
PULP BEVERLY,89,一般
ROOTS REMEMBER,89,一般
GLEAMING JAWBREAKER,89,一般
BEAST HUNCHBACK,89,一般
DARES PLUTO,89,一般
FORWARD TEMPLE,90,一般
VERTIGO NORTHWEST,90,一般
CIRCUS YOUTH,90,一般
BASIC EASY,90,一般
SECRET GROUNDHOG,90,一般
TITANS JERK,91,一般
LICENSE WEEKEND,91,一般
FIGHT JAWBREAKER,91,一般
ANTHEM LUKE,91,一般
FATAL HAUNTED,91,一般
TARZAN VIDEOTAPE,91,一般
ENCOUNTERS CURTAIN,92,一般
KANE EXORCIST,92,一般
CORE SUIT,92,一般
APACHE DIVINE,92,一般
ANACONDA CONFESSIONS,92,一般
CARIBBEAN LIBERTY,92,一般
NATIONAL STORY,92,一般
TRUMAN CRAZY,92,一般
MYSTIC TRUMAN,92,一般
OPPOSITE NECKLACE,92,一般
SUNDANCE INVASION,92,一般
SUICIDES SILENCE,93,一般
GREATEST NORTH,93,一般
SHANE DARKNESS,93,一般
BILL OTHERS,93,一般
GOLDFINGER SENSIBILITY,93,一般
HILLS NEIGHBORS,93,一般
PANKY SUBMARINE,93,一般
STING PERSONAL,93,一般
DISTURBING SCARFACE,94,一般
ALICE FANTASIA,94,一般
STONE FIRE,94,一般
FULL FLATLINERS,94,一般
HORN WORKING,95,一般
CLUELESS BUCKET,95,一般
EARLY HOME,96,一般
DRUMS DYNAMITE,96,一般
INVASION CYCLONE,97,一般
EXPENDABLE STALLION,97,一般
LUCKY FLYING,97,一般
REAR TRADING,97,一般
LOST BIRD,98,一般
WISDOM WORKER,98,一般
MADRE GABLES,98,一般
FEUD FROGMEN,98,一般
SENSIBILITY REAR,98,一般
BOUND CHEAPER,98,一般
