title,length,flag
GUYS FALCON,84,0
HALL CASSIDY,51,0
HALLOWEEN NUTS,47,0
HANDICAP BOONDOCK,108,0
HANGING DEEP,62,0
HANKY OCTOBER,107,0
HANOVER GALAXY,47,0
HAPPINESS UNITED,100,0
HARDLY ROBBERS,72,0
HARPER DYING,52,0
HATE HANDICAP,107,0
HAUNTED ANTITRUST,76,0
HAWK CHILL,47,0
HEAD STRANGER,69,0
HEARTBREAKERS BRIGHT,59,0
HEAVEN FREEDOM,48,0
HEAVENLY GUN,49,0
HEAVYWEIGHTS BEAST,102,0
HELLFIGHTERS SIERRA,75,0
HIGH ENCINO,84,0
HIGHBALL POTTER,110,0
HILLS NEIGHBORS,93,0
HOLIDAY GAMES,78,0
HOLLYWOOD ANONYMOUS,69,0
HOLY TADPOLE,88,0
HOMEWARD CIDER,103,0
HONEY TIES,84,0
HOOK CHARIOTS,49,0
HORN WORKING,95,0
HOUSE DYNAMITE,109,0
HUMAN GRAFFITI,68,0
HUNGER ROOF,105,0
HUNTING MUSKETEERS,65,0
HURRICANE AFFAIR,49,0
HUSTLER PARTY,83,0
HYDE DOCTOR,100,0
IDENTITY LOVER,119,0
IDOLS SNATCHERS,84,0
IMPOSSIBLE PREJUDICE,103,0
INFORMER DOUBLE,74,0
INSIDER ARIZONA,78,0
INSTINCT AIRPORT,116,0
INTENTIONS EMPIRE,107,0
INTERVIEW LIAISONS,59,0
INTOLERABLE INTENTIONS,63,0
INVASION CYCLONE,97,0
IRON MOON,46,0
ISHTAR ROCKETEER,79,0
ISLAND EXORCIST,84,0
JAWBREAKER BROOKLYN,118,0
JAWS HARRY,112,0
JEEPERS WEDDING,84,0
JEKYLL FROGMEN,58,0
JEOPARDY ENCINO,102,0
JERSEY SASSY,60,0
JET NEIGHBORS,59,0
JOON NORTHWEST,105,0
JUGGLER HARDLY,54,0
JUMPING WRATH,74,0
KANE EXORCIST,92,0
KILL BROTHERHOOD,54,0
KNOCK WARLOCK,71,0
KWAI HOMEWARD,46,0
LABYRINTH LEAGUE,46,0
LADY STAGE,67,0
LADYBUGS ARMAGEDDON,113,0
LANGUAGE COWBOY,78,0
LEAGUE HELLFIGHTERS,110,0
LEBOWSKI SOLDIERS,69,0
LEGALLY SECRETARY,113,0
LEGEND JEDI,59,0
LICENSE WEEKEND,91,0
LION UNCUT,50,0
LOLA AGENT,85,0
LONELY ELEPHANT,67,0
LORD ARIZONA,108,0
LOSER HUSTLER,80,0
LOST BIRD,98,0
LOUISIANA HARRY,70,0
LOVELY JINGLE,65,0
LOVER TRUMAN,75,0
LUCKY FLYING,97,0
LUKE MUMMY,74,0
LUST LOCK,52,0
MADIGAN DORADO,116,0
MADRE GABLES,98,0
MAGIC MALLRATS,117,0
MAGNIFICENT CHITTY,53,0
MAGUIRE APACHE,74,0
MANNEQUIN WORST,71,0
MARRIED GO,114,0
MARS ROMAN,62,0
MATRIX SNOWMAN,56,0
MAUDE MOD,72,0
MEET CHOCOLATE,80,0
MEMENTO ZOOLANDER,77,0
MERMAID INSECTS,104,0
METROPOLIS COMA,64,0
MICROCOSMOS PARADISE,105,0
MIDNIGHT WESTWARD,86,0
MIDSUMMER GROUNDHOG,48,0
MILE MULAN,64,0
MINORITY KISS,59,0
MOB DUFFEL,105,0
MOCKINGBIRD HOLLYWOOD,60,0
MOD SECRETARY,77,0
MODERN DORADO,74,0
MONSTER SPARTACUS,107,0
MOON BUNCH,83,0
MOSQUITO ARMAGEDDON,57,0
MOTHER OLEANDER,103,0
MOULIN WAKE,79,0
MOVIE SHAKESPEARE,53,0
MUPPET MILE,50,0
MUSKETEERS WAIT,73,0
MYSTIC TRUMAN,92,0
NATIONAL STORY,92,0
NATURAL STOCK,50,0
NETWORK PEAK,75,0
NEWTON LABYRINTH,75,0
NONE SPIKING,83,0
NOON PAPI,57,0
NORTH TEQUILA,67,0
NOTTING SPEAKEASY,48,0
NOVOCAINE FLIGHT,64,0
OCTOBER SUBMARINE,54,0
ODDS BOOGIE,48,0
OKLAHOMA JUMANJI,58,0
OPPOSITE NECKLACE,92,0
OPUS ICE,102,0
ORANGE GRAPES,76,0
ORIENT CLOSER,118,0
OSCAR GOLD,115,0
OTHERS SOUP,118,0
OZ LIAISONS,85,0
PACKER MADIGAN,84,0
PANIC CLUB,102,0
PANKY SUBMARINE,93,0
PANTHER REDS,109,0
PARADISE SABRINA,48,0
PARK CITIZEN,109,0
PARTY KNOCK,107,0
PATHS CONTROL,118,0
PATIENT SISTER,99,0
PATRIOT ROMAN,65,0
PEAK FOREVER,80,0
PEARL DESTINY,74,0
PELICAN COMFORTS,48,0
PERDITION FARGO,99,0
PERFECT GROOVE,82,0
PERSONAL LADYBUGS,118,0
PET HAUNTING,99,0
PHANTOM GLORY,60,0
PICKUP DRIVING,77,0
PILOT HOOSIERS,50,0
PINOCCHIO SIMON,103,0
PIRATES ROXANNE,100,0
PITY BOUND,60,0
PLUTO OLEANDER,84,0
POLISH BROOKLYN,61,0
POTTER CONNECTICUT,115,0
PREJUDICE OLEANDER,98,0
PRIDE ALAMO,114,0
PRIMARY GLASS,53,0
PRINCESS GIANT,71,0
PRIVATE DROP,106,0
PRIX UNDEFEATED,115,0
PULP BEVERLY,89,0
PUNK DIVORCE,100,0
PURPLE MOVIE,88,0
QUILLS BULL,112,0
RAIDERS ANTITRUST,82,0
RAINBOW SHOCK,74,0
RANDOM GO,73,0
REAR TRADING,97,0
REBEL AIRPORT,73,0
REIGN GENTLEMEN,82,0
REMEMBER DIARY,110,0
RESERVOIR ADAPTATION,61,0
RESURRECTION SILVERADO,117,0
REUNION WITCHES,63,0
RIDGEMONT SUBMARINE,46,0
RINGS HEARTBREAKERS,58,0
ROBBERS JOON,102,0
ROCK INSTINCT,102,0
ROMAN PUNK,81,0
ROOF CHAMPION,101,0
ROOM ROMAN,60,0
ROOTS REMEMBER,89,0
ROUGE SQUAD,118,0
RUGRATS SHAKESPEARE,109,0
RUNNER MADIGAN,101,0
RUSH GOODFELLAS,48,0
SABRINA MIDNIGHT,99,0
SADDLE ANTITRUST,80,0
SAGEBRUSH CLUELESS,106,0
SALUTE APOLLO,73,0
SAMURAI LION,110,0
SATISFACTION CONFIDENTIAL,75,0
SAVANNAH TOWN,84,0
SCARFACE BANG,102,0
SEA VIRGIN,80,0
SEABISCUIT PUNK,112,0
SEATTLE EXPECATIONS,110,0
SECRET GROUNDHOG,90,0
SECRETS PARADISE,109,0
SENSE GREEK,54,0
SENSIBILITY REAR,98,0
SHAKESPEARE SADDLE,60,0
SHANE DARKNESS,93,0
SHANGHAI TYCOON,47,0
SHAWSHANK BUBBLE,80,0
SHEPHERD MIDSUMMER,113,0
SHIP WONDERLAND,104,0
SHOCK CABIN,79,0
SHOOTIST SUPERFLY,67,0
SIDE ARK,52,0
SIEGE MADRE,111,0
SILENCE KANE,67,0
SILVERADO GOLDFINGER,74,0
SIMON NORTH,51,0
SLEEPLESS MONSOON,64,0
SLEUTH ORIENT,87,0
SLING LUKE,84,0
SMILE EARRING,60,0
SMOKING BARBARELLA,50,0
SNATCH SLIPPER,110,0
SNATCHERS MONTEZUMA,74,0
SNOWMAN ROLLERCOASTER,62,0
SPARTACUS CHEAPER,52,0
SPIKING ELEMENT,79,0
SPY MILE,112,0
STAGE WORLD,85,0
STAGECOACH ARMAGEDDON,112,0
STAMPEDE DISTURBING,75,0
STATE WASTELAND,113,0
STEPMOM DREAM,48,0
STING PERSONAL,93,0
STONE FIRE,94,0
STORM HAPPINESS,57,0
STRANGELOVE DESIRE,103,0
STRANGERS GRAFFITI,119,0
STREETCAR INTENTIONS,73,0
SUGAR WONKA,114,0
SUICIDES SILENCE,93,0
SUIT WALLS,111,0
SUMMER SCARFACE,53,0
SUNDANCE INVASION,92,0
SUNSET RACER,48,0
SUPER WYOMING,58,0
SUPERFLY TRIP,114,0
SUSPECTS QUILLS,47,0
SWEETHEARTS SUSPECTS,108,0
TARZAN VIDEOTAPE,91,0
TAXI KICK,64,0
TEEN APOLLO,74,0
TEMPLE ATTRACTION,71,0
TENENBAUMS COMMAND,99,0
TEQUILA PAST,53,0
TERMINATOR CLUB,88,0
THIN SAGEBRUSH,53,0
TIES HUNGER,111,0
TIMBERLAND SKY,69,0
TITANIC BOONDOCK,104,0
TITANS JERK,91,0
TOMATOES HELLFIGHTERS,68,0
TRAIN BUNCH,71,0
TRAP GUYS,110,0
TREASURE COMMAND,102,0
TREATMENT JEKYLL,87,0
TRIP NEWTON,64,0
TROJAN TOMORROW,52,0
TROOPERS METAL,115,0
TROUBLE DATE,61,0
TRUMAN CRAZY,92,0
TURN STAR,80,0
TYCOON GATHERING,82,0
UNBREAKABLE KARATE,62,0
UNDEFEATED DALMATIONS,107,0
UNFAITHFUL KILL,78,0
UPTOWN YOUNG,84,0
VALENTINE VANISHING,48,0
VALLEY PACKER,73,0
VARSITY TRIP,85,0
VERTIGO NORTHWEST,90,0
VICTORY ACADEMY,64,0
VILLAIN DESPERATE,76,0
VISION TORQUE,59,0
VOYAGE LEGALLY,78,0
WAIT CIDER,112,0
WAKE JAWS,73,0
WANDA CHAMBER,107,0
WAR NOTTING,80,0
WARLOCK WEREWOLF,83,0
WASTELAND DIVINE,85,0
WATCH TRACY,78,0
WATERFRONT DELIVERANCE,61,0
WATERSHIP FRONTIER,112,0
WEDDING APOLLO,70,0
WEREWOLF LOLA,79,0
WESTWARD SEABISCUIT,52,0
WHALE BIKINI,109,0
WHISPERER GIANT,59,0
WIND PHANTOM,111,0
WINDOW SIDE,85,0
WISDOM WORKER,98,0
WITCHES PANIC,100,0
WIZARD COLDBLOODED,75,0
WOLVES DESIRE,55,0
WON DARES,105,0
WONDERLAND CHRISTMAS,111,0
WONKA SEA,85,0
WORDS HUNTER,116,0
WORKING MICROCOSMOS,74,0
WYOMING STORM,100,0
YENTL IDAHO,86,0
ZHIVAGO CORE,105,0
ZOOLANDER FICTION,101,0
ZORRO ARK,50,0
AFRICAN EGG,130,1
AGENT TRUMAN,169,1
ALAMO VIDEOTAPE,126,1
ALASKA PHANTOM,136,1
ALI FOREVER,150,1
ALLEY EVOLUTION,180,1
AMERICAN CIRCUS,129,1
ANALYZE HOOSIERS,181,1
ANONYMOUS HUMAN,179,1
ANTITRUST TOMATOES,168,1
APOLLO TEEN,153,1
ARACHNOPHOBIA ROLLERCOASTER,147,1
ARGONAUTS TOWN,127,1
ARIZONA BANG,121,1
ARMY FLINTSTONES,148,1
ARSENIC INDEPENDENCE,137,1
ARTIST COLDBLOODED,170,1
ATLANTIS CAUSE,170,1
BABY HALL,153,1
BADMAN DAWN,162,1
BAKED CLEOPATRA,182,1
BALLROOM MOCKINGBIRD,173,1
BAREFOOT MANCHURIAN,129,1
BEACH HEARTBREAKERS,122,1
BEAR GRACELAND,160,1
BEAUTY GREASE,175,1
BEETHOVEN EXORCIST,151,1
BETRAYED REAR,122,1
BIKINI BORROWERS,142,1
BINGO TALENTED,150,1
BIRCH ANTITRUST,162,1
BIRD INDEPENDENCE,163,1
BLANKET BEVERLY,148,1
BOOGIE AMELIE,121,1
BORN SPINAL,179,1
BRANNIGAN SUNRISE,121,1
BRAVEHEART HUMAN,176,1
BREAKFAST GOLDFINGER,123,1
BREAKING HOME,169,1
BRINGING HYSTERICAL,136,1
BROOKLYN DESERT,161,1
BUCKET BROTHERHOOD,133,1
BULL SHAWSHANK,125,1
CALENDAR GUNFIGHT,120,1
CAMPUS REMEMBER,167,1
CANDLES GRAPES,135,1
CAPER MOTIONS,176,1
CAROL TEXAS,151,1
CASPER DRAGONFLY,163,1
CASUALTIES ENCINO,179,1
CATCH AMISTAD,183,1
CAUSE DATE,179,1
CENTER DINOSAUR,152,1
CHAPLIN LICENSE,146,1
CHICAGO NORTH,185,1
CHICKEN HELLFIGHTERS,122,1
CHILL LUCK,142,1
CHISUM BEHAVIOR,124,1
CHOCOLATE DUCK,132,1
CHRISTMAS MOONSHINE,150,1
CINCINATTI WHISPERER,143,1
CITIZEN SHREK,165,1
CLEOPATRA DEVIL,150,1
CLERKS ANGELS,164,1
CLOCKWORK PARADISE,143,1
CLONES PINOCCHIO,124,1
CLYDE THEORY,139,1
COLOR PHILADELPHIA,149,1
COMMAND DARLING,120,1
CONFIDENTIAL INTERVIEW,180,1
CONFUSED CANDLES,122,1
CONNECTICUT TRAMP,172,1
CONQUERER NUTS,173,1
CONSPIRACY SPIRIT,184,1
CONTACT ANONYMOUS,166,1
CONTROL ANTHEM,185,1
COWBOY DOOM,146,1
CRAZY HOME,136,1
CREATURES SHAKESPEARE,139,1
CREEPERS KANE,172,1
CROOKED FROGMEN,143,1
CROSSROADS CASUALTIES,153,1
CRYSTAL BREAKING,184,1
CURTAIN VIDEOTAPE,133,1
CYCLONE FAMILY,176,1
DADDY PITTSBURGH,161,1
DANCING FEVER,144,1
DANGEROUS UPTOWN,121,1
DARKO DORADO,130,1
DARLING BREAKING,165,1
DARN FORRESTER,185,1
DAZED PUNK,120,1
DECEIVER BETRAYED,122,1
DETECTIVE VISION,143,1
DIRTY ACE,147,1
DISCIPLE MOTHER,141,1
DOGMA FAMILY,122,1
DOLLS RAGE,120,1
DONNIE ALLEY,125,1
DORADO NOTTING,139,1
DOUBLE WRATH,177,1
DOUBTFIRE LABYRINTH,154,1
DOZEN LION,177,1
DRACULA CRYSTAL,176,1
DRAGON SQUAD,170,1
DRAGONFLY STRANGERS,133,1
DREAM PICKUP,135,1
DRIVER ANNIE,159,1
DRIVING POLISH,175,1
DROP WATERFRONT,178,1
DUDE BLINDNESS,132,1
DUFFEL APOCALYPSE,171,1
DURHAM PANKY,154,1
DYING MAKER,168,1
DYNAMITE TARZAN,141,1
EAGLES PANKY,140,1
EASY GLADIATOR,148,1
EDGE KISSING,153,1
ELEPHANT TROJAN,126,1
ELF MURDER,155,1
ELIZABETH SHANE,152,1
EMPIRE MALKOVICH,177,1
ENCINO ELF,143,1
ENOUGH RAGING,158,1
ENTRAPMENT SATISFACTION,176,1
ESCAPE METROPOLIS,167,1
EVERYONE CRAFT,163,1
EVOLUTION ALTER,174,1
EXORCIST STING,167,1
EXPECATIONS NATURAL,138,1
EXPRESS LONELY,178,1
EXTRAORDINARY CONQUERER,122,1
EYES DRIVING,172,1
FACTORY DRAGON,144,1
FAMILY SWEET,155,1
FANTASIA PARK,131,1
FARGO GANDHI,130,1
FERRIS MOTHER,142,1
FEVER EMPIRE,158,1
FINDING ANACONDA,156,1
FIRE WOLVES,173,1
FIREBALL PHILADELPHIA,148,1
FISH OPUS,125,1
FLASH WARS,123,1
FLIGHT LIES,179,1
FLINTSTONES HAPPINESS,148,1
FLOATS GARDEN,145,1
FOOL MOCKINGBIRD,158,1
FOREVER CANDIDATE,131,1
FRANKENSTEIN STRANGER,159,1
FREAKY POCUS,126,1
FREEDOM CLEOPATRA,133,1
FRONTIER CABIN,183,1
FURY MURDER,178,1
GABLES METROPOLIS,161,1
GALAXY SWEETHEARTS,128,1
GANGS PRIDE,185,1
GATHERING CALENDAR,176,1
GENTLEMEN STAGE,125,1
GILMORE BOILED,163,1
GLADIATOR WESTWARD,173,1
GOLD RIVER,154,1
GOLDMINE TYCOON,153,1
GOSFORD DONNIE,129,1
GRACELAND DYNAMITE,140,1
GRADUATE LORD,156,1
GRAPES FURY,155,1
GREASE YOUTH,135,1
GREEDY ROOTS,166,1
GREEK EVERYONE,176,1
GRINCH MASSAGE,150,1
GRIT CLOCKWORK,137,1
GROUNDHOG UNCUT,139,1
GUNFIGHTER MUSSOLINI,127,1
HALF OUTFIELD,146,1
HAMLET WISDOM,146,1
HAROLD FRENCH,168,1
HARRY IDAHO,121,1
HAUNTING PIANIST,181,1
HEDWIG ALTER,169,1
HOBBIT ALIEN,157,1
HOCUS FRIDA,141,1
HOLES BRANNIGAN,128,1
HOLLOW JEOPARDY,136,1
HOLOCAUST HIGHBALL,149,1
HOME PITY,185,1
HOMICIDE PEACH,141,1
HOOSIERS BIRDCAGE,176,1
HOPE TOOTSIE,139,1
HORROR REIGN,139,1
HOTEL HAPPINESS,181,1
HOURS RAGE,122,1
HUNCHBACK IMPOSSIBLE,151,1
HUNTER ALTER,125,1
HYSTERICAL GRAIL,150,1
ICE CROSSING,131,1
IDAHO LOVE,172,1
IGBY MAKER,160,1
ILLUSION AMELIE,122,1
IMAGE PRINCESS,178,1
IMPACT ALADDIN,180,1
INCH JET,167,1
INDEPENDENCE HOTEL,157,1
INDIAN LOVE,135,1
INNOCENT USUAL,178,1
INSECTS STONE,123,1
INTRIGUE WORST,181,1
ITALIAN AFRICAN,174,1
JACKET FRISCO,181,1
JADE BUNCH,174,1
JAPANESE RUN,135,1
JASON TRAP,130,1
JEDI BENEATH,128,1
JERICHO MULAN,171,1
JERK PAYCHECK,172,1
JINGLE SAGEBRUSH,124,1
JUMANJI BLADE,121,1
JUNGLE CLOSER,134,1
KARATE MOON,120,1
KENTUCKIAN GIANT,169,1
KICK SAVANNAH,179,1
KILLER INNOCENT,161,1
KING EVOLUTION,184,1
KISS GLORY,163,1
KISSING DOLLS,141,1
KRAMER CHOCOLATE,171,1
LAMBS CINCINATTI,144,1
LAWLESS VISION,181,1
LAWRENCE LOVE,175,1
LEATHERNECKS DWARFS,153,1
LESSON CLEOPATRA,167,1
LIAISONS SWEET,140,1
LIBERTY MAGNIFICENT,138,1
LIES TREATMENT,147,1
LIFE TWISTED,137,1
LIGHTS DEER,174,1
LOATHING LEGALLY,140,1
LOCK REAR,120,1
LOLITA WORLD,155,1
LOSE INCH,137,1
LOVE SUICIDES,181,1
LOVERBOY ATTACKS,162,1
LUCK OPUS,152,1
MADISON TRAP,147,1
MADNESS ATTACKS,178,1
MAGNOLIA FORRESTER,171,1
MAIDEN HOME,138,1
MAJESTIC FLOATS,130,1
MAKER GABLES,136,1
MALKOVICH PET,159,1
MALLRATS UNITED,133,1
MALTESE HOPE,127,1
MANCHURIAN CURTAIN,177,1
MASK PEACH,123,1
MASKED BUBBLE,151,1
MASSACRE USUAL,165,1
MASSAGE IMAGE,161,1
MENAGERIE RUSHMORE,147,1
METAL ARMAGEDDON,161,1
MIGHTY LUCK,122,1
MILLION ACE,142,1
MINDS TRUMAN,149,1
MINE TITANS,166,1
MIRACLE VIRTUAL,162,1
MISSION ZOOLANDER,164,1
MIXED DOORS,180,1
MODEL FISH,175,1
MONEY HAROLD,135,1
MONSOON CAUSE,182,1
MONTEREY LABYRINTH,158,1
MONTEZUMA COMMAND,126,1
MOONSHINE CABIN,171,1
MOONWALKER FOOL,184,1
MOTIONS DETAILS,166,1
MOURNING PURPLE,146,1
MULAN MOON,160,1
MULHOLLAND BEAST,157,1
MUMMY CREATURES,160,1
MURDER ANTITRUST,166,1
MUSCLE BRIGHT,185,1
MUSIC BOONDOCK,129,1
MUSSOLINI SPOILERS,180,1
NAME DETECTIVE,178,1
NASH CHOCOLAT,180,1
NECKLACE OUTBREAK,132,1
NEIGHBORS CHARADE,161,1
NEMO CAMPUS,131,1
NEWSIES STORY,159,1
NIGHTMARE CHILL,149,1
NORTHWEST POLISH,172,1
NOTORIOUS REUNION,128,1
NUTS TIES,145,1
OLEANDER CLUE,161,1
OPEN AFRICAN,131,1
OPERATION OPERATION,156,1
ORDER BETRAYED,120,1
OUTBREAK DIVINE,169,1
OUTFIELD MASSACRE,129,1
OUTLAW HANKY,148,1
PACIFIC AMISTAD,144,1
PAJAMA JAWBREAKER,126,1
PAPI NECKLACE,128,1
PARIS WEEKEND,121,1
PAST SUICIDES,157,1
PATTON INTERVIEW,175,1
PAYCHECK WAIT,145,1
PEACH INNOCENT,160,1
PHILADELPHIA WIFE,137,1
PIANIST OUTFIELD,136,1
PITTSBURGH HUNCHBACK,134,1
PIZZA JUMANJI,173,1
PLATOON INSTINCT,132,1
POCUS PULP,138,1
POLLOCK DELIVERANCE,137,1
POND SEATTLE,185,1
POSEIDON FOREVER,159,1
POTLUCK MIXED,179,1
PRESIDENT BANG,144,1
PSYCHO SHRUNK,155,1
PURE RUNNER,121,1
QUEEN LUKE,163,1
QUEST MUSSOLINI,177,1
RACER EGG,147,1
RAGE GAMES,120,1
RAGING AIRPLANE,154,1
RANGE MOONWALKER,147,1
REAP UNFAITHFUL,136,1
RECORDS ZORRO,182,1
REDEMPTION COMFORTS,179,1
REDS POCUS,182,1
REEF SALUTE,123,1
REQUIEM TYCOON,167,1
RIDER CADDYSHACK,177,1
RIGHT CRANES,153,1
RIVER OUTLAW,149,1
ROAD ROXANNE,158,1
ROBBERY BRIGHT,134,1
ROCKETEER MOTHER,178,1
ROCKY WAR,145,1
ROLLERCOASTER BRINGING,153,1
ROSES TREASURE,162,1
ROXANNE REBEL,171,1
RULES HUMAN,153,1
RUN PACIFIC,145,1
RUNAWAY TENENBAUMS,181,1
RUSHMORE MERMAID,150,1
SAINTS BRIDE,125,1
SANTA PARIS,154,1
SASSY PACKER,154,1
SATURDAY LAMBS,150,1
SATURN NAME,182,1
