title,length,priority
GANGS PRIDE,185,1
GATHERING CALENDAR,176,1
GILMORE BOILED,163,1
GLADIATOR WESTWARD,173,1
GOLD RIVER,154,1
GOLDMINE TYCOON,153,1
GRADUATE LORD,156,1
GRAPES FURY,155,1
GREEDY ROOTS,166,1
GREEK EVERYONE,176,1
GRINCH MASSAGE,150,1
HAROLD FRENCH,168,1
HAUNTING PIANIST,181,1
HEDWIG ALTER,169,1
HOBBIT ALIEN,157,1
HOME PITY,185,1
HOOSIERS BIRDCAGE,176,1
HOTEL HAPPINESS,181,1
HUNCHBACK IMPOSSIBLE,151,1
HYSTERICAL GRAIL,150,1
IDAHO LOVE,172,1
IGBY MAKER,160,1
IMAGE PRINCESS,178,1
IMPACT ALADDIN,180,1
INCH JET,167,1
INDEPENDENCE HOTEL,157,1
INNOCENT USUAL,178,1
INTRIGUE WORST,181,1
ITALIAN AFRICAN,174,1
JACKET FRISCO,181,1
JADE BUNCH,174,1
JERICHO MULAN,171,1
JERK PAYCHECK,172,1
KENTUCKIAN GIANT,169,1
KICK SAVANNAH,179,1
KILLER INNOCENT,161,1
KING EVOLUTION,184,1
KISS GLORY,163,1
KRAMER CHOCOLATE,171,1
LAWLESS VISION,181,1
LAWRENCE LOVE,175,1
LEATHERNECKS DWARFS,153,1
LESSON CLEOPATRA,167,1
LIGHTS DEER,174,1
LOLITA WORLD,155,1
LOVE SUICIDES,181,1
LOVERBOY ATTACKS,162,1
LUCK OPUS,152,1
MADNESS ATTACKS,178,1
MAGNOLIA FORRESTER,171,1
MALKOVICH PET,159,1
MANCHURIAN CURTAIN,177,1
MASKED BUBBLE,151,1
MASSACRE USUAL,165,1
MASSAGE IMAGE,161,1
METAL ARMAGEDDON,161,1
MINE TITANS,166,1
MIRACLE VIRTUAL,162,1
MISSION ZOOLANDER,164,1
MIXED DOORS,180,1
MODEL FISH,175,1
MONSOON CAUSE,182,1
MONTEREY LABYRINTH,158,1
MOONSHINE CABIN,171,1
MOONWALKER FOOL,184,1
MOTIONS DETAILS,166,1
MULAN MOON,160,1
MULHOLLAND BEAST,157,1
MUMMY CREATURES,160,1
MURDER ANTITRUST,166,1
MUSCLE BRIGHT,185,1
MUSSOLINI SPOILERS,180,1
NAME DETECTIVE,178,1
NASH CHOCOLAT,180,1
NEIGHBORS CHARADE,161,1
NEWSIES STORY,159,1
NORTHWEST POLISH,172,1
OLEANDER CLUE,161,1
OPERATION OPERATION,156,1
OUTBREAK DIVINE,169,1
PAST SUICIDES,157,1
PATTON INTERVIEW,175,1
PEACH INNOCENT,160,1
PIZZA JUMANJI,173,1
POND SEATTLE,185,1
POSEIDON FOREVER,159,1
POTLUCK MIXED,179,1
PSYCHO SHRUNK,155,1
QUEEN LUKE,163,1
QUEST MUSSOLINI,177,1
RAGING AIRPLANE,154,1
RECORDS ZORRO,182,1
REDEMPTION COMFORTS,179,1
REDS POCUS,182,1
REQUIEM TYCOON,167,1
RIDER CADDYSHACK,177,1
RIGHT CRANES,153,1
ROAD ROXANNE,158,1
ROCKETEER MOTHER,178,1
ROLLERCOASTER BRINGING,153,1
ROSES TREASURE,162,1
ROXANNE REBEL,171,1
RULES HUMAN,153,1
RUNAWAY TENENBAUMS,181,1
RUSHMORE MERMAID,150,1
SANTA PARIS,154,1
SASSY PACKER,154,1
SATURDAY LAMBS,150,1
SATURN NAME,182,1
SCALAWAG DUCK,183,1
SCHOOL JACKET,151,1
SEARCHERS WAIT,182,1
SECRETARY ROUGE,158,1
SHOW LORD,167,1
SHREK LICENSE,154,1
SISTER FREDDY,152,1
SLACKER LIAISONS,179,1
SLIPPER FIDELITY,156,1
SMOOCHY CONTROL,184,1
SOLDIERS EVOLUTION,185,1
SOMETHING DUCK,180,1
SONG HEDWIG,165,1
SONS INTERVIEW,184,1
SORORITY QUEEN,184,1
SOUP WISDOM,169,1
SPEAKEASY DATE,165,1
SPLASH GUMP,175,1
SPOILERS HELLFIGHTERS,151,1
STAR OPERATION,181,1
STOCK GLASS,160,1
STORY SIDE,163,1
STRAIGHT HOURS,151,1
SWEDEN SHINING,176,1
SWEET BROTHERHOOD,185,1
TADPOLE PARK,155,1
TALENTED HOMICIDE,173,1
TELEMARK HEARTBREAKERS,152,1
TEXAS WATCH,179,1
THEORY MERMAID,184,1
TIGHTS DAWN,172,1
TOOTSIE PILOT,157,1
TORQUE BOUND,179,1
TOURIST PELICAN,152,1
TRADING PINOCCHIO,170,1
TRAMP OTHERS,171,1
TRANSLATION SUMMER,168,1
TUXEDO MILE,152,1
TWISTED PIRATES,152,1
UNCUT SUICIDES,172,1
UNITED PILOT,164,1
UPRISING UPTOWN,174,1
VELVET TERMINATOR,173,1
VIETNAM SMOOCHY,174,1
VIRGIN DAISY,179,1
VIRGINIAN PLUTO,164,1
VOLCANO TEXAS,157,1
WAGON JAWS,152,1
WARDROBE PHANTOM,178,1
WASH HEAVENLY,161,1
WEST LION,159,1
WIFE TURN,183,1
WILD APOLLO,181,1
WORLD LEATHERNECKS,171,1
WORST BANGER,185,1
WRATH MILE,176,1
WRONG BEHAVIOR,178,1
YOUNG LANGUAGE,183,1
YOUTH KICK,179,1
AFFAIR PREJUDICE,117,2
AFRICAN EGG,130,2
ALABAMA DEVIL,114,2
ALAMO VIDEOTAPE,126,2
ALASKA PHANTOM,136,2
AMADEUS HOLY,113,2
AMERICAN CIRCUS,129,2
APOCALYPSE FLAMINGOS,119,2
ARACHNOPHOBIA ROLLERCOASTER,147,2
ARGONAUTS TOWN,127,2
ARIZONA BANG,121,2
ARMY FLINTSTONES,148,2
ARSENIC INDEPENDENCE,137,2
ATTACKS HATE,113,2
AUTUMN CROW,108,2
BACKLASH UNDEFEATED,118,2
BANGER PINOCCHIO,113,2
BAREFOOT MANCHURIAN,129,2
BEACH HEARTBREAKERS,122,2
BED HIGHBALL,106,2
BEHAVIOR RUNAWAY,100,2
BETRAYED REAR,122,2
BIKINI BORROWERS,142,2
BILKO ANONYMOUS,100,2
BIRDCAGE CASPER,103,2
BLADE POLISH,114,2
BLANKET BEVERLY,148,2
BLINDNESS GUN,103,2
BOILED DARES,102,2
BOOGIE AMELIE,121,2
BRANNIGAN SUNRISE,121,2
BREAKFAST GOLDFINGER,123,2
BRINGING HYSTERICAL,136,2
BUCKET BROTHERHOOD,133,2
BUGSY SONG,119,2
BULL SHAWSHANK,125,2
CALENDAR GUNFIGHT,120,2
CANDLES GRAPES,135,2
CARRIE BUNCH,114,2
CAT CONEHEADS,112,2
CELEBRITY HORN,110,2
CHAINSAW UPTOWN,114,2
CHAMBER ITALIAN,117,2
CHAPLIN LICENSE,146,2
CHASING FIGHT,114,2
CHICKEN HELLFIGHTERS,122,2
CHILL LUCK,142,2
CHISUM BEHAVIOR,124,2
CHITTY LOCK,107,2
CHOCOLAT HARRY,101,2
CHOCOLATE DUCK,132,2
CIDER DESIRE,101,2
CINCINATTI WHISPERER,143,2
CLOCKWORK PARADISE,143,2
CLONES PINOCCHIO,124,2
CLYDE THEORY,139,2
COLOR PHILADELPHIA,149,2
COMA HEAD,109,2
COMMAND DARLING,120,2
CONEHEADS SMOOCHY,112,2
CONFUSED CANDLES,122,2
CONNECTION MICROCOSMOS,115,2
CONVERSATION DOWNHILL,112,2
COWBOY DOOM,146,2
CRAZY HOME,136,2
CREATURES SHAKESPEARE,139,2
CROOKED FROGMEN,143,2
CROW GREASE,104,2
CROWDS TELEMARK,112,2
CRUSADE HONEY,112,2
CURTAIN VIDEOTAPE,133,2
DALMATIONS SWEDEN,106,2
DANCING FEVER,144,2
DANGEROUS UPTOWN,121,2
DARKO DORADO,130,2
DATE SPEED,104,2
DAY UNFAITHFUL,113,2
DAZED PUNK,120,2
DECEIVER BETRAYED,122,2
DEER VIRGINIAN,106,2
DELIVERANCE MULHOLLAND,100,2
DETECTIVE VISION,143,2
DIARY PANIC,107,2
DIRTY ACE,147,2
DISCIPLE MOTHER,141,2
DIVINE RESURRECTION,100,2
DOGMA FAMILY,122,2
DOLLS RAGE,120,2
DONNIE ALLEY,125,2
DORADO NOTTING,139,2
DRAGONFLY STRANGERS,133,2
DREAM PICKUP,135,2
DRUMLINE CYCLONE,110,2
DUCK RACER,116,2
DUDE BLINDNESS,132,2
DUMBO LUST,119,2
DWARFS ALTER,101,2
DYNAMITE TARZAN,141,2
EAGLES PANKY,140,2
EASY GLADIATOR,148,2
EFFECT GLADIATOR,107,2
ELEMENT FREDDY,115,2
ELEPHANT TROJAN,126,2
ENCINO ELF,143,2
EXPECATIONS NATURAL,138,2
EXTRAORDINARY CONQUERER,122,2
FACTORY DRAGON,144,2
FALCON VOLUME,102,2
FANTASIA PARK,131,2
FARGO GANDHI,130,2
FEATHERS METAL,104,2
FERRIS MOTHER,142,2
FIDELITY DEVIL,118,2
FIREBALL PHILADELPHIA,148,2
FIREHOUSE VIETNAM,103,2
FISH OPUS,125,2
FLASH WARS,123,2
FLATLINERS KILLER,100,2
FLINTSTONES HAPPINESS,148,2
FLOATS GARDEN,145,2
FOREVER CANDIDATE,131,2
FORRESTER COMANCHEROS,112,2
FREAKY POCUS,126,2
FREEDOM CLEOPATRA,133,2
FROGMEN BREAKING,111,2
GALAXY SWEETHEARTS,128,2
GAMES BOWFINGER,119,2
GASLIGHT CRUSADE,106,2
GENTLEMEN STAGE,125,2
GHOSTBUSTERS ELF,101,2
GIANT TROOPERS,102,2
GILBERT PELICAN,114,2
GLASS DYING,103,2
GLORY TRACY,115,2
GORGEOUS BINGO,108,2
GOSFORD DONNIE,129,2
GRACELAND DYNAMITE,140,2
GRAFFITI LOVE,117,2
GREASE YOUTH,135,2
GRIT CLOCKWORK,137,2
GROOVE FICTION,111,2
GROUNDHOG UNCUT,139,2
GUN BONNIE,100,2
GUNFIGHTER MUSSOLINI,127,2
HALF OUTFIELD,146,2
HAMLET WISDOM,146,2
HANDICAP BOONDOCK,108,2
HANKY OCTOBER,107,2
HAPPINESS UNITED,100,2
HARRY IDAHO,121,2
HATE HANDICAP,107,2
HEAVYWEIGHTS BEAST,102,2
HIGHBALL POTTER,110,2
HOCUS FRIDA,141,2
HOLES BRANNIGAN,128,2
HOLLOW JEOPARDY,136,2
HOLOCAUST HIGHBALL,149,2
HOMEWARD CIDER,103,2
HOMICIDE PEACH,141,2
HOPE TOOTSIE,139,2
HORROR REIGN,139,2
HOURS RAGE,122,2
HOUSE DYNAMITE,109,2
HUNGER ROOF,105,2
HUNTER ALTER,125,2
HYDE DOCTOR,100,2
ICE CROSSING,131,2
IDENTITY LOVER,119,2
ILLUSION AMELIE,122,2
IMPOSSIBLE PREJUDICE,103,2
INDIAN LOVE,135,2
INSECTS STONE,123,2
INSTINCT AIRPORT,116,2
INTENTIONS EMPIRE,107,2
JAPANESE RUN,135,2
JASON TRAP,130,2
JAWBREAKER BROOKLYN,118,2
JAWS HARRY,112,2
JEDI BENEATH,128,2
JEOPARDY ENCINO,102,2
JINGLE SAGEBRUSH,124,2
JOON NORTHWEST,105,2
JUMANJI BLADE,121,2
JUNGLE CLOSER,134,2
KARATE MOON,120,2
KISSING DOLLS,141,2
LADYBUGS ARMAGEDDON,113,2
LAMBS CINCINATTI,144,2
LEAGUE HELLFIGHTERS,110,2
LEGALLY SECRETARY,113,2
LIAISONS SWEET,140,2
LIBERTY MAGNIFICENT,138,2
LIES TREATMENT,147,2
LIFE TWISTED,137,2
LOATHING LEGALLY,140,2
LOCK REAR,120,2
LORD ARIZONA,108,2
LOSE INCH,137,2
MADIGAN DORADO,116,2
MADISON TRAP,147,2
MAGIC MALLRATS,117,2
MAIDEN HOME,138,2
MAJESTIC FLOATS,130,2
MAKER GABLES,136,2
MALLRATS UNITED,133,2
MALTESE HOPE,127,2
MARRIED GO,114,2
MASK PEACH,123,2
MENAGERIE RUSHMORE,147,2
MERMAID INSECTS,104,2
MICROCOSMOS PARADISE,105,2
MIGHTY LUCK,122,2
MILLION ACE,142,2
MINDS TRUMAN,149,2
MOB DUFFEL,105,2
MONEY HAROLD,135,2
MONSTER SPARTACUS,107,2
MONTEZUMA COMMAND,126,2
MOTHER OLEANDER,103,2
MOURNING PURPLE,146,2
MUSIC BOONDOCK,129,2
NECKLACE OUTBREAK,132,2
NEMO CAMPUS,131,2
NIGHTMARE CHILL,149,2
NOTORIOUS REUNION,128,2
NUTS TIES,145,2
OPEN AFRICAN,131,2
OPUS ICE,102,2
ORDER BETRAYED,120,2
ORIENT CLOSER,118,2
OSCAR GOLD,115,2
OTHERS SOUP,118,2
OUTFIELD MASSACRE,129,2
OUTLAW HANKY,148,2
PACIFIC AMISTAD,144,2
PAJAMA JAWBREAKER,126,2
PANIC CLUB,102,2
PANTHER REDS,109,2
PAPI NECKLACE,128,2
PARIS WEEKEND,121,2
PARK CITIZEN,109,2
PARTY KNOCK,107,2
PATHS CONTROL,118,2
PAYCHECK WAIT,145,2
PERSONAL LADYBUGS,118,2
PHILADELPHIA WIFE,137,2
PIANIST OUTFIELD,136,2
PINOCCHIO SIMON,103,2
PIRATES ROXANNE,100,2
PITTSBURGH HUNCHBACK,134,2
PLATOON INSTINCT,132,2
POCUS PULP,138,2
POLLOCK DELIVERANCE,137,2
POTTER CONNECTICUT,115,2
PRESIDENT BANG,144,2
PRIDE ALAMO,114,2
PRIVATE DROP,106,2
PRIX UNDEFEATED,115,2
PUNK DIVORCE,100,2
PURE RUNNER,121,2
QUILLS BULL,112,2
RACER EGG,147,2
RAGE GAMES,120,2
RANGE MOONWALKER,147,2
REAP UNFAITHFUL,136,2
REEF SALUTE,123,2
REMEMBER DIARY,110,2
RESURRECTION SILVERADO,117,2
RIVER OUTLAW,149,2
ROBBERS JOON,102,2
ROBBERY BRIGHT,134,2
ROCK INSTINCT,102,2
ROCKY WAR,145,2
ROOF CHAMPION,101,2
ROUGE SQUAD,118,2
RUGRATS SHAKESPEARE,109,2
RUN PACIFIC,145,2
RUNNER MADIGAN,101,2
SAGEBRUSH CLUELESS,106,2
SAINTS BRIDE,125,2
SAMURAI LION,110,2
SCARFACE BANG,102,2
SCISSORHANDS SLUMS,147,2
SCORPION APOLLO,137,2
SEABISCUIT PUNK,112,2
SEATTLE EXPECATIONS,110,2
SECRETS PARADISE,109,2
SEVEN SWARM,127,2
SHEPHERD MIDSUMMER,113,2
SHINING ROSES,125,2
SHIP WONDERLAND,104,2
SHRUNK DIVINE,139,2
SIEGE MADRE,111,2
SIERRA DIVIDE,135,2
SINNERS ATLANTIS,126,2
SKY MIRACLE,132,2
SLEEPING SUSPECTS,129,2
SLEEPY JAPANESE,137,2
SLUMS DUCK,147,2
SNATCH SLIPPER,110,2
SOUTH WAIT,143,2
SPEED SUIT,124,2
SPICE SORORITY,141,2
SPINAL ROCKY,138,2
SPIRIT FLINTSTONES,149,2
SPIRITED CASUALTIES,138,2
SPLENDOR PATTON,134,2
SPY MILE,112,2
SQUAD FISH,136,2
STAGECOACH ARMAGEDDON,112,2
STALLION SUNDANCE,130,2
STATE WASTELAND,113,2
STEEL SANTA,143,2
STEERS ARMAGEDDON,140,2
STRANGELOVE DESIRE,103,2
STRANGER STRANGERS,139,2
STRANGERS GRAFFITI,119,2
STREAK RIDGEMONT,132,2
STRICTLY SCARFACE,144,2
SUBMARINE BED,127,2
SUGAR WONKA,114,2
SUIT WALLS,111,2
SUN CONFESSIONS,141,2
SUNRISE LEAGUE,135,2
SUPERFLY TRIP,114,2
SWARM GOLD,123,2
SWEETHEARTS SUSPECTS,108,2
TELEGRAPH VOYAGE,148,2
THIEF PELICAN,135,2
TIES HUNGER,111,2
TITANIC BOONDOCK,104,2
TOMORROW HUSTLER,142,2
TOWERS HURRICANE,144,2
TOWN ARK,136,2
TRACY CIDER,142,2
TRAFFIC HOBBIT,139,2
TRAINSPOTTING STRANGERS,132,2
TRAP GUYS,110,2
TREASURE COMMAND,102,2
TROOPERS METAL,115,2
UNDEFEATED DALMATIONS,107,2
UNFORGIVEN ZOOLANDER,129,2
UNTOUCHABLES SUNRISE,120,2
USUAL UNTOUCHABLES,128,2
VACATION BOONDOCK,145,2
VAMPIRE WHALE,126,2
VANILLA DAY,122,2
VANISHED GARDEN,142,2
VANISHING ROCKY,123,2
VIDEOTAPE ARSENIC,145,2
VIRTUAL SPOILERS,144,2
VOICE PEACH,139,2
VOLUME HOUSE,132,2
WAIT CIDER,112,2
WALLS ARTIST,135,2
WANDA CHAMBER,107,2
WARS PLUTO,128,2
WATERSHIP FRONTIER,112,2
WEEKEND PERSONAL,134,2
WHALE BIKINI,109,2
WILLOW TRACY,137,2
WIND PHANTOM,111,2
WITCHES PANIC,100,2
WOMEN DORADO,126,2
WON DARES,105,2
WONDERFUL DROP,126,2
WONDERLAND CHRISTMAS,111,2
WORDS HUNTER,116,2
WORKER TARZAN,139,2
WYOMING STORM,100,2
ZHIVAGO CORE,105,2
ZOOLANDER FICTION,101,2
ACADEMY DINOSAUR,86,3
ACE GOLDFINGER,48,3
ADAPTATION HOLES,50,3
AIRPLANE SIERRA,62,3
AIRPORT POLLOCK,54,3
ALADDIN CALENDAR,63,3
ALICE FANTASIA,94,3
ALIEN CENTER,46,3
ALONE TRIP,82,3
ALTER VICTORY,57,3
AMELIE HELLFIGHTERS,79,3
AMISTAD MIDSUMMER,85,3
ANACONDA CONFESSIONS,92,3
ANGELS LIFE,74,3
ANNIE IDENTITY,86,3
ANTHEM LUKE,91,3
ANYTHING SAVANNAH,82,3
APACHE DIVINE,92,3
ARABIA DOGMA,62,3
ARK RIDGEMONT,68,3
ARMAGEDDON LOST,99,3
ATTRACTION NEWTON,83,3
BALLOON HOMEWARD,75,3
BANG KWAI,87,3
BARBARELLA STREETCAR,65,3
BASIC EASY,90,3
BEAST HUNCHBACK,89,3
BEDAZZLED MARRIED,73,3
BENEATH RUSH,53,3
BERETS AGENT,77,3
BEVERLY OUTLAW,85,3
BILL OTHERS,93,3
BIRDS PERDITION,61,3
BLACKOUT PRIVATE,85,3
BLOOD ARGONAUTS,71,3
BLUES INSTINCT,50,3
BONNIE HOLOCAUST,63,3
BOONDOCK BALLROOM,76,3
BORROWERS BEDAZZLED,63,3
BOULEVARD MOB,63,3
BOUND CHEAPER,98,3
BOWFINGER GABLES,72,3
BRIDE INTRIGUE,56,3
BRIGHT ENCOUNTERS,73,3
BROTHERHOOD BLANKET,73,3
BUBBLE GROSSE,60,3
BULWORTH COMMANDMENTS,61,3
BUNCH MINDS,63,3
BUTCH PANTHER,67,3
BUTTERFLY CHOCOLAT,89,3
CABIN FLASH,53,3
CADDYSHACK JEDI,52,3
CALIFORNIA BIRDS,75,3
CAMELOT VACATION,61,3
CANDIDATE PERDITION,70,3
CANYON STOCK,85,3
CARIBBEAN LIBERTY,92,3
CASABLANCA SUPER,85,3
CASSIDY WYOMING,61,3
CHAMPION FLATLINERS,51,3
CHANCE RESURRECTION,70,3
CHARADE DUFFEL,66,3
CHARIOTS CONSPIRACY,71,3
CHEAPER CLYDE,87,3
CHINATOWN GLADIATOR,61,3
CIRCUS YOUTH,90,3
CLASH FREDDY,81,3
CLOSER BANG,58,3
CLUB GRAFFITI,65,3
CLUE GRAIL,70,3
CLUELESS BUCKET,95,3
COAST RAINBOW,55,3
COLDBLOODED DARLING,70,3
COMANCHEROS ENEMY,67,3
COMFORTS RUSH,76,3
COMMANDMENTS EXPRESS,59,3
CONFESSIONS MAGUIRE,65,3
CONGENIALITY QUEST,87,3
CORE SUIT,92,3
CRAFT OUTFIELD,64,3
CRANES RESERVOIR,57,3
CROSSING DIVORCE,50,3
CRUELTY UNFORGIVEN,69,3
CUPBOARD SINNERS,56,3
DAISY MENAGERIE,84,3
DANCES NONE,58,3
DARES PLUTO,89,3
DARKNESS WAR,99,3
DAUGHTER MADIGAN,59,3
DAWN POND,57,3
DEEP CRUSADE,51,3
DESERT POSEIDON,64,3
DESIRE ALIEN,76,3
DESPERATE TRAINSPOTTING,81,3
DESTINATION JERK,76,3
DESTINY SATURDAY,56,3
DETAILS PACKER,88,3
DEVIL DESIRE,87,3
DINOSAUR SECRETARY,63,3
DISTURBING SCARFACE,94,3
DIVIDE MONSTER,68,3
DIVORCE SHINING,47,3
DOCTOR GRAIL,57,3
DOOM DANCING,68,3
DOORS PRESIDENT,49,3
DOWNHILL ENOUGH,47,3
DRIFTER COMMANDMENTS,61,3
DRUMS DYNAMITE,96,3
EARLY HOME,96,3
EARRING INSTINCT,98,3
EARTH VISION,85,3
EGG IGBY,67,3
EGYPT TENENBAUMS,85,3
ENCOUNTERS CURTAIN,92,3
ENDING CROWDS,85,3
ENEMY ODDS,77,3
ENGLISH BULWORTH,51,3
EVE RESURRECTION,66,3
EXCITEMENT EVE,51,3
EXPENDABLE STALLION,97,3
FANTASY TROOPERS,58,3
FATAL HAUNTED,91,3
FELLOWSHIP AUTUMN,77,3
FEUD FROGMEN,98,3
FICTION CHRISTMAS,72,3
FIDDLER LOST,75,3
FIGHT JAWBREAKER,91,3
FLAMINGOS CONNECTICUT,80,3
FLYING HOOK,69,3
FORREST SONS,63,3
FORWARD TEMPLE,90,3
FREDDY STORM,65,3
FRENCH HOLIDAY,99,3
FRIDA SLIPPER,73,3
FRISCO FORREST,51,3
FROST HEAD,82,3
FUGITIVE MAGUIRE,83,3
FULL FLATLINERS,94,3
GANDHI KWAI,86,3
GARDEN ISLAND,80,3
GHOST GROUNDHOG,85,3
GLEAMING JAWBREAKER,89,3
GO PURPLE,54,3
GODFATHER DIARY,73,3
GOLDFINGER SENSIBILITY,93,3
GONE TROUBLE,84,3
GOODFELLAS SALUTE,56,3
GRAIL FRANKENSTEIN,85,3
GREATEST NORTH,93,3
GROSSE WONDERFUL,49,3
GUMP DATE,53,3
GUNFIGHT MOON,70,3
GUYS FALCON,84,3
HALL CASSIDY,51,3
HALLOWEEN NUTS,47,3
HANGING DEEP,62,3
HANOVER GALAXY,47,3
HARDLY ROBBERS,72,3
HARPER DYING,52,3
HAUNTED ANTITRUST,76,3
HAWK CHILL,47,3
HEAD STRANGER,69,3
HEARTBREAKERS BRIGHT,59,3
HEAVEN FREEDOM,48,3
HEAVENLY GUN,49,3
HELLFIGHTERS SIERRA,75,3
HIGH ENCINO,84,3
HILLS NEIGHBORS,93,3
HOLIDAY GAMES,78,3
HOLLYWOOD ANONYMOUS,69,3
HOLY TADPOLE,88,3
HONEY TIES,84,3
HOOK CHARIOTS,49,3
HORN WORKING,95,3
HUMAN GRAFFITI,68,3
HUNTING MUSKETEERS,65,3
HURRICANE AFFAIR,49,3
HUSTLER PARTY,83,3
IDOLS SNATCHERS,84,3
INFORMER DOUBLE,74,3
INSIDER ARIZONA,78,3
INTERVIEW LIAISONS,59,3
INTOLERABLE INTENTIONS,63,3
INVASION CYCLONE,97,3
IRON MOON,46,3
ISHTAR ROCKETEER,79,3
ISLAND EXORCIST,84,3
JEEPERS WEDDING,84,3
JEKYLL FROGMEN,58,3
JERSEY SASSY,60,3
JET NEIGHBORS,59,3
JUGGLER HARDLY,54,3
JUMPING WRATH,74,3
KANE EXORCIST,92,3
KILL BROTHERHOOD,54,3
KNOCK WARLOCK,71,3
KWAI HOMEWARD,46,3
LABYRINTH LEAGUE,46,3
LADY STAGE,67,3
LANGUAGE COWBOY,78,3
LEBOWSKI SOLDIERS,69,3
LEGEND JEDI,59,3
LICENSE WEEKEND,91,3
LION UNCUT,50,3
LOLA AGENT,85,3
LONELY ELEPHANT,67,3
LOSER HUSTLER,80,3
LOST BIRD,98,3
LOUISIANA HARRY,70,3
LOVELY JINGLE,65,3
LOVER TRUMAN,75,3
LUCKY FLYING,97,3
LUKE MUMMY,74,3
LUST LOCK,52,3
MADRE GABLES,98,3
MAGNIFICENT CHITTY,53,3
MAGUIRE APACHE,74,3
MANNEQUIN WORST,71,3
MARS ROMAN,62,3
MATRIX SNOWMAN,56,3
MAUDE MOD,72,3
MEET CHOCOLATE,80,3
MEMENTO ZOOLANDER,77,3
METROPOLIS COMA,64,3
MIDNIGHT WESTWARD,86,3
MIDSUMMER GROUNDHOG,48,3
MILE MULAN,64,3
MINORITY KISS,59,3
MOCKINGBIRD HOLLYWOOD,60,3
MOD SECRETARY,77,3
MODERN DORADO,74,3
MOON BUNCH,83,3
MOSQUITO ARMAGEDDON,57,3
MOULIN WAKE,79,3
MOVIE SHAKESPEARE,53,3
MUPPET MILE,50,3
MUSKETEERS WAIT,73,3
MYSTIC TRUMAN,92,3
NATIONAL STORY,92,3
NATURAL STOCK,50,3
NETWORK PEAK,75,3
NEWTON LABYRINTH,75,3
NONE SPIKING,83,3
NOON PAPI,57,3
NORTH TEQUILA,67,3
NOTTING SPEAKEASY,48,3
NOVOCAINE FLIGHT,64,3
OCTOBER SUBMARINE,54,3
ODDS BOOGIE,48,3
OKLAHOMA JUMANJI,58,3
OPPOSITE NECKLACE,92,3
ORANGE GRAPES,76,3
OZ LIAISONS,85,3
PACKER MADIGAN,84,3
PANKY SUBMARINE,93,3
PARADISE SABRINA,48,3
PATIENT SISTER,99,3
PATRIOT ROMAN,65,3
PEAK FOREVER,80,3
PEARL DESTINY,74,3
PELICAN COMFORTS,48,3
PERDITION FARGO,99,3
PERFECT GROOVE,82,3
PET HAUNTING,99,3
PHANTOM GLORY,60,3
