注文ID,日付,地域,商品,売上,数量,広告費,顧客数,目標売上,緯度,経度
O063,2025-03-17,東京,ノートパソコン,688053,4,38000,8,600000,35.6762,139.6503
O203,2025-03-18,那覇,スマートフォン,236147,1,46000,1,300000,26.2124,127.6809
O159,2025-03-20,さいたま,ノートパソコン,182219,1,20000,1,500000,35.8617,139.6455
O276,2025-03-20,さいたま,タブレット,2206848,4,80000,8,400000,35.8617,139.6455
O033,2025-03-21,横浜,タブレット,248414,2,17000,4,300000,35.4437,139.638
O192,2025-03-21,大阪,タブレット,305748,1,74000,2,300000,34.6937,135.5023
O101,2025-03-22,東京,スマートフォン,663175,4,70000,4,500000,35.6762,139.6503
O237,2025-03-22,さいたま,スマートフォン,649241,4,69000,6,400000,35.8617,139.6455
O073,2025-03-26,さいたま,モニター,668534,5,78000,11,300000,35.8617,139.6455
O279,2025-03-26,仙台,スマートフォン,256434,1,36000,1,600000,38.2682,140.8694
O031,2025-03-27,神戸,スマートフォン,595065,4,37000,9,400000,34.6901,135.1955
O128,2025-03-29,名古屋,ノートパソコン,896566,5,58000,8,400000,35.1815,136.9066
O234,2025-03-29,札幌,タブレット,411218,5,15000,5,500000,43.0618,141.3545
O271,2025-03-31,札幌,スマートフォン,680482,4,75000,4,300000,43.0618,141.3545
O108,2025-04-03,札幌,スマートフォン,881959,6,72000,10,600000,43.0618,141.3545
O096,2025-04-05,東京,タブレット,358564,4,24000,6,300000,35.6762,139.6503
O272,2025-04-05,名古屋,スマートフォン,433395,3,41000,4,400000,35.1815,136.9066
O294,2025-04-05,那覇,スマートフォン,344418,2,38000,4,400000,26.2124,127.6809
O027,2025-04-08,大阪,ノートパソコン,1078938,6,65000,9,600000,34.6937,135.5023
O296,2025-04-15,仙台,ノートパソコン,724619,4,57000,7,400000,38.2682,140.8694
O100,2025-04-17,横浜,タブレット,520585,6,20000,8,300000,35.4437,139.638
O012,2025-04-19,さいたま,スマートフォン,878726,6,68000,8,400000,35.8617,139.6455
O022,2025-04-19,那覇,モニター,744796,6,49000,14,500000,26.2124,127.6809
O075,2025-04-19,さいたま,タブレット,391471,3,58000,6,600000,35.8617,139.6455
O026,2025-04-20,那覇,モニター,776850,6,70000,13,600000,26.2124,127.6809
O243,2025-04-21,札幌,タブレット,126877,1,16000,1,600000,43.0618,141.3545
O072,2025-04-23,広島,スマートフォン,533468,4,13000,6,600000,34.3853,132.4553
O050,2025-04-24,横浜,スマートフォン,482331,3,49000,4,400000,35.4437,139.638
O177,2025-04-24,仙台,モニター,272445,1,75000,1,400000,38.2682,140.8694
O077,2025-04-25,大阪,ノートパソコン,248630,1,41000,2,400000,34.6937,135.5023
O011,2025-04-28,東京,タブレット,408675,4,44000,5,500000,35.6762,139.6503
O025,2025-04-28,大阪,ノートパソコン,534891,3,19000,4,600000,34.6937,135.5023
O134,2025-04-28,札幌,タブレット,247850,2,34000,4,400000,43.0618,141.3545
O129,2025-04-29,さいたま,タブレット,396231,4,42000,9,600000,35.8617,139.6455
O003,2025-04-30,那覇,ノートパソコン,878926,5,35000,8,600000,26.2124,127.6809
O195,2025-04-30,那覇,モニター,470430,3,70000,4,600000,26.2124,127.6809
O151,2025-05-02,札幌,タブレット,164782,1,32000,1,600000,43.0618,141.3545
O227,2025-05-02,さいたま,ノートパソコン,695009,3,80000,4,400000,35.8617,139.6455
O291,2025-05-02,広島,モニター,788972,6,76000,9,500000,34.3853,132.4553
O078,2025-05-03,名古屋,スマートフォン,823920,6,24000,14,600000,35.1815,136.9066
O204,2025-05-03,神戸,スマートフォン,215513,1,24000,1,300000,34.6901,135.1955
O206,2025-05-04,札幌,スマートフォン,328614,2,20000,4,300000,43.0618,141.3545
O086,2025-05-05,さいたま,スマートフォン,427289,3,13000,6,400000,35.8617,139.6455
O176,2025-05-05,神戸,スマートフォン,671873,5,20000,11,500000,34.6901,135.1955
O277,2025-05-07,札幌,ノートパソコン,956728,5,67000,10,300000,43.0618,141.3545
O287,2025-05-07,さいたま,タブレット,267204,2,45000,4,300000,35.8617,139.6455
O222,2025-05-08,大阪,ノートパソコン,1017910,6,33000,10,300000,34.6937,135.5023
O076,2025-05-10,大阪,スマートフォン,294326,1,79000,2,500000,34.6937,135.5023
O188,2025-05-10,札幌,モニター,396380,3,20000,5,500000,43.0618,141.3545
O208,2025-05-10,東京,タブレット,216604,1,54000,2,300000,35.6762,139.6503
O037,2025-05-14,横浜,タブレット,289376,2,43000,2,500000,35.4437,139.638
O223,2025-05-15,広島,スマートフォン,389382,2,46000,2,400000,34.3853,132.4553
O042,2025-05-20,広島,モニター,729185,6,53000,12,500000,34.3853,132.4553
O169,2025-05-20,横浜,ノートパソコン,597034,3,65000,4,600000,35.4437,139.638
O067,2025-05-21,さいたま,ノートパソコン,1015735,6,46000,8,500000,35.8617,139.6455
O218,2025-05-21,東京,ノートパソコン,1070119,6,61000,10,400000,35.6762,139.6503
O093,2025-05-22,札幌,タブレット,173829,1,34000,1,400000,43.0618,141.3545
O258,2025-05-23,那覇,タブレット,287880,2,48000,4,600000,26.2124,127.6809
O040,2025-05-26,名古屋,スマートフォン,759329,5,48000,5,500000,35.1815,136.9066
O244,2025-05-27,那覇,ノートパソコン,300055,1,65000,2,500000,26.2124,127.6809
O113,2025-05-28,さいたま,スマートフォン,202306,1,13000,2,400000,35.8617,139.6455
O130,2025-05-28,那覇,モニター,280293,1,66000,2,500000,26.2124,127.6809
O127,2025-05-31,仙台,タブレット,392007,4,28000,7,400000,38.2682,140.8694
O071,2025-06-02,神戸,スマートフォン,846569,5,79000,11,600000,34.6901,135.1955
O118,2025-06-02,札幌,スマートフォン,448092,2,67000,3,500000,43.0618,141.3545
O056,2025-06-03,那覇,タブレット,647753,6,62000,9,500000,26.2124,127.6809
O094,2025-06-04,東京,モニター,314646,3,15000,5,400000,35.6762,139.6503
O171,2025-06-04,横浜,モニター,430507,3,47000,3,600000,35.4437,139.638
O020,2025-06-07,横浜,ノートパソコン,331226,2,20000,4,300000,35.4437,139.638
O189,2025-06-08,神戸,モニター,560577,5,20000,9,500000,34.6901,135.1955
O191,2025-06-08,名古屋,モニター,475166,3,72000,4,400000,35.1815,136.9066
O114,2025-06-09,那覇,ノートパソコン,887217,5,62000,6,300000,26.2124,127.6809
O034,2025-06-10,東京,ノートパソコン,963409,5,71000,11,400000,35.6762,139.6503
O238,2025-06-10,仙台,タブレット,403567,4,26000,7,300000,38.2682,140.8694
O259,2025-06-12,さいたま,タブレット,520221,5,45000,5,600000,35.8617,139.6455
O239,2025-06-13,横浜,スマートフォン,258929,1,44000,1,300000,35.4437,139.638
O184,2025-06-14,札幌,スマートフォン,650609,5,29000,8,500000,43.0618,141.3545
O175,2025-06-16,名古屋,スマートフォン,841551,6,56000,9,300000,35.1815,136.9066
O241,2025-06-17,札幌,タブレット,270308,2,30000,4,600000,43.0618,141.3545
O250,2025-06-17,札幌,タブレット,319221,2,60000,3,600000,43.0618,141.3545
O109,2025-06-20,仙台,ノートパソコン,453955,2,52000,4,500000,38.2682,140.8694
O148,2025-06-20,横浜,モニター,568992,5,36000,11,400000,35.4437,139.638
O268,2025-06-21,広島,スマートフォン,956223,6,79000,10,400000,34.3853,132.4553
O005,2025-06-22,大阪,ノートパソコン,672052,4,22000,9,500000,34.6937,135.5023
O138,2025-06-23,大阪,スマートフォン,189571,1,28000,2,600000,34.6937,135.5023
O082,2025-06-27,那覇,スマートフォン,841538,6,57000,10,500000,26.2124,127.6809
O232,2025-06-27,那覇,タブレット,180729,1,42000,1,500000,26.2124,127.6809
O261,2025-06-27,さいたま,タブレット,655547,6,71000,7,500000,35.8617,139.6455
O178,2025-06-28,仙台,モニター,246694,2,23000,2,400000,38.2682,140.8694
O047,2025-07-03,横浜,モニター,673857,6,23000,13,600000,35.4437,139.638
O146,2025-07-05,大阪,タブレット,515436,5,55000,7,400000,34.6937,135.5023
O220,2025-07-05,神戸,ノートパソコン,851472,5,29000,12,500000,34.6901,135.1955
O055,2025-07-06,神戸,ノートパソコン,1041145,6,52000,11,300000,34.6901,135.1955
O186,2025-07-06,仙台,タブレット,489350,4,62000,8,300000,38.2682,140.8694
O140,2025-07-08,広島,スマートフォン,846701,6,57000,12,600000,34.3853,132.4553
O019,2025-07-11,名古屋,ノートパソコン,911542,5,51000,5,500000,35.1815,136.9066
O284,2025-07-11,神戸,スマートフォン,605518,4,58000,8,400000,34.6901,135.1955
O166,2025-07-12,神戸,スマートフォン,453503,3,30000,4,500000,34.6901,135.1955
O032,2025-07-14,東京,スマートフォン,537388,3,68000,4,600000,35.6762,139.6503
O300,2025-07-14,さいたま,タブレット,364639,3,43000,5,600000,35.8617,139.6455
O156,2025-07-15,札幌,タブレット,554354,4,74000,6,300000,43.0618,141.3545
O054,2025-07-17,札幌,モニター,364654,3,15000,3,400000,43.0618,141.3545
O121,2025-07-17,名古屋,スマートフォン,220836,1,26000,2,500000,35.1815,136.9066
O214,2025-07-17,仙台,モニター,600648,4,73000,9,500000,38.2682,140.8694
O260,2025-07-22,仙台,モニター,345200,3,15000,7,300000,38.2682,140.8694
O051,2025-07-24,仙台,タブレット,208525,1,45000,1,600000,38.2682,140.8694
O158,2025-07-24,神戸,ノートパソコン,620963,3,64000,5,500000,34.6901,135.1955
O036,2025-07-26,大阪,モニター,518245,5,15000,8,500000,34.6937,135.5023
O111,2025-07-26,那覇,ノートパソコン,1128052,6,79000,9,400000,26.2124,127.6809
O245,2025-07-26,仙台,ノートパソコン,684747,4,16000,7,500000,38.2682,140.8694
O058,2025-07-27,那覇,ノートパソコン,562549,3,46000,4,500000,26.2124,127.6809
O049,2025-07-30,横浜,タブレット,237640,2,23000,4,600000,35.4437,139.638
O255,2025-07-31,横浜,スマートフォン,753163,5,70000,10,400000,35.4437,139.638
O252,2025-08-02,札幌,タブレット,560738,6,13000,10,400000,43.0618,141.3545
O070,2025-08-04,神戸,ノートパソコン,927518,5,58000,5,500000,34.6901,135.1955
O091,2025-08-06,那覇,タブレット,415509,3,68000,4,400000,26.2124,127.6809
O103,2025-08-06,大阪,モニター,677316,6,29000,13,300000,34.6937,135.5023
O172,2025-08-09,名古屋,モニター,595161,4,78000,7,500000,35.1815,136.9066
O106,2025-08-10,仙台,タブレット,132505,1,21000,2,300000,38.2682,140.8694
O199,2025-08-12,大阪,モニター,508495,4,54000,6,600000,34.6937,135.5023
O023,2025-08-13,那覇,スマートフォン,221951,1,41000,1,300000,26.2124,127.6809
O194,2025-08-13,東京,スマートフォン,488222,3,40000,5,600000,35.6762,139.6503
O030,2025-08-15,那覇,ノートパソコン,319434,1,79000,2,400000,26.2124,127.6809
O065,2025-08-15,札幌,スマートフォン,758361,5,67000,10,600000,43.0618,141.3545
O181,2025-08-15,広島,タブレット,458629,5,17000,8,500000,34.3853,132.4553
O221,2025-08-16,大阪,モニター,662171,5,56000,7,500000,34.6937,135.5023
O273,2025-08-17,広島,タブレット,271782,3,11000,5,400000,34.3853,132.4553
O289,2025-08-17,札幌,ノートパソコン,360225,2,15000,3,400000,43.0618,141.3545
O066,2025-08-19,広島,モニター,750827,6,45000,10,400000,34.3853,132.4553
O153,2025-08-20,那覇,モニター,575847,5,15000,7,300000,26.2124,127.6809
O038,2025-08-23,仙台,ノートパソコン,363792,1,68000,2,300000,38.2682,140.8694
O010,2025-08-25,神戸,タブレット,587504,6,38000,13,300000,34.6901,135.1955
O115,2025-08-25,大阪,モニター,554198,4,47000,8,600000,34.6937,135.5023
O182,2025-08-25,さいたま,ノートパソコン,300127,1,57000,1,300000,35.8617,139.6455
O196,2025-08-25,広島,スマートフォン,817374,5,77000,12,400000,34.3853,132.4553
O295,2025-08-26,東京,スマートフォン,660075,4,77000,6,500000,35.6762,139.6503
O059,2025-08-27,さいたま,スマートフォン,849500,6,37000,10,400000,35.8617,139.6455
O085,2025-08-27,神戸,タブレット,323859,3,41000,4,600000,34.6901,135.1955
O283,2025-08-30,東京,タブレット,390250,4,33000,8,600000,35.6762,139.6503
O265,2025-09-02,横浜,タブレット,332754,3,46000,7,300000,35.4437,139.638
O298,2025-09-03,横浜,タブレット,265262,3,11000,7,300000,35.4437,139.638
O299,2025-09-03,横浜,モニター,542362,4,40000,5,500000,35.4437,139.638
O116,2025-09-05,さいたま,モニター,588958,4,80000,6,400000,35.8617,139.6455
O087,2025-09-07,横浜,タブレット,379155,3,53000,6,500000,35.4437,139.638
O143,2025-09-10,大阪,ノートパソコン,482781,2,78000,3,500000,34.6937,135.5023
O242,2025-09-13,広島,スマートフォン,194043,1,21000,1,400000,34.3853,132.4553
O018,2025-09-14,名古屋,ノートパソコン,1056540,6,48000,11,400000,35.1815,136.9066
O200,2025-09-15,仙台,モニター,469140,4,20000,5,500000,38.2682,140.8694
O043,2025-09-16,さいたま,タブレット,158018,1,21000,2,300000,35.8617,139.6455
O269,2025-09-16,さいたま,タブレット,233343,2,24000,2,600000,35.8617,139.6455
O212,2025-09-21,神戸,スマートフォン,390048,3,14000,4,300000,34.6901,135.1955
O112,2025-09-23,仙台,スマートフォン,861764,6,66000,7,400000,38.2682,140.8694
O152,2025-09-27,大阪,ノートパソコン,784953,4,67000,7,300000,34.6937,135.5023
O170,2025-09-27,広島,ノートパソコン,498554,2,60000,2,400000,34.3853,132.4553
O207,2025-09-27,那覇,ノートパソコン,750706,4,70000,7,500000,26.2124,127.6809
O137,2025-09-29,那覇,タブレット,298156,2,42000,4,500000,26.2124,127.6809
O021,2025-09-30,名古屋,モニター,817063,6,70000,7,600000,35.1815,136.9066
O257,2025-09-30,仙台,タブレット,637463,6,43000,10,400000,38.2682,140.8694
O029,2025-10-02,さいたま,モニター,489009,4,33000,6,300000,35.8617,139.6455
O039,2025-10-03,横浜,タブレット,274016,2,54000,4,500000,35.4437,139.638
O068,2025-10-04,大阪,モニター,317705,2,39000,4,400000,34.6937,135.5023
O125,2025-10-05,東京,ノートパソコン,414817,2,46000,4,600000,35.6762,139.6503
O119,2025-10-10,那覇,スマートフォン,602227,4,51000,9,400000,26.2124,127.6809
O016,2025-10-11,東京,ノートパソコン,1099973,6,78000,12,500000,35.6762,139.6503
O057,2025-10-11,名古屋,モニター,2151240,4,58000,7,500000,35.1815,136.9066
O246,2025-10-11,広島,ノートパソコン,814028,4,74000,8,500000,34.3853,132.4553
O088,2025-10-12,東京,モニター,223271,1,40000,1,400000,35.6762,139.6503
O098,2025-10-13,神戸,モニター,674049,5,58000,11,500000,34.6901,135.1955
O139,2025-10-13,仙台,ノートパソコン,632163,4,11000,7,600000,38.2682,140.8694
O248,2025-10-13,仙台,モニター,410110,2,75000,3,300000,38.2682,140.8694
O013,2025-10-15,那覇,タブレット,686484,6,64000,9,400000,26.2124,127.6809
O045,2025-10-15,東京,ノートパソコン,264011,1,29000,1,500000,35.6762,139.6503
O256,2025-10-15,仙台,スマートフォン,756124,5,58000,12,600000,38.2682,140.8694
O262,2025-10-15,広島,モニター,201779,1,40000,1,400000,34.3853,132.4553
O278,2025-10-16,大阪,ノートパソコン,931497,5,74000,9,400000,34.6937,135.5023
O167,2025-10-18,札幌,ノートパソコン,213132,1,29000,2,300000,43.0618,141.3545
O120,2025-10-20,神戸,モニター,449204,4,15000,8,600000,34.6901,135.1955
O163,2025-10-21,横浜,スマートフォン,682322,5,13000,11,500000,35.4437,139.638
O174,2025-10-22,神戸,スマートフォン,885447,6,63000,7,300000,34.6901,135.1955
O229,2025-10-22,大阪,モニター,376479,3,19000,5,500000,34.6937,135.5023
O007,2025-10-23,横浜,ノートパソコン,255430,1,39000,2,400000,35.4437,139.638
O097,2025-10-23,東京,モニター,301164,2,48000,4,300000,35.6762,139.6503
O080,2025-10-24,東京,タブレット,566990,5,58000,12,400000,35.6762,139.6503
O209,2025-10-25,仙台,モニター,279067,1,55000,1,400000,38.2682,140.8694
O046,2025-10-26,那覇,モニター,440482,4,26000,5,300000,26.2124,127.6809
O149,2025-10-28,横浜,モニター,418116,3,28000,3,400000,35.4437,139.638
O004,2025-10-29,広島,ノートパソコン,474597,2,64000,2,400000,34.3853,132.4553
O024,2025-10-29,那覇,モニター,565942,5,38000,5,300000,26.2124,127.6809
O099,2025-10-29,神戸,タブレット,492405,5,17000,12,300000,34.6901,135.1955
O179,2025-11-05,名古屋,ノートパソコン,513311,2,73000,4,600000,35.1815,136.9066
O197,2025-11-06,名古屋,タブレット,276155,1,71000,1,300000,35.1815,136.9066
O062,2025-11-09,大阪,スマートフォン,585328,4,34000,6,400000,34.6937,135.5023
O228,2025-11-10,大阪,ノートパソコン,632739,3,60000,5,600000,34.6937,135.5023
O183,2025-11-11,札幌,スマートフォン,2621504,4,80000,6,400000,43.0618,141.3545
O145,2025-11-12,神戸,タブレット,220977,1,57000,1,400000,34.6901,135.1955
O048,2025-11-14,名古屋,モニター,304040,2,32000,2,500000,35.1815,136.9066
O247,2025-11-16,札幌,ノートパソコン,376629,2,22000,3,500000,43.0618,141.3545
O135,2025-11-18,大阪,ノートパソコン,589373,3,66000,5,400000,34.6937,135.5023
O187,2025-11-20,仙台,ノートパソコン,548133,3,22000,6,500000,38.2682,140.8694
O205,2025-11-20,那覇,モニター,678177,6,28000,9,500000,26.2124,127.6809
O095,2025-11-23,さいたま,ノートパソコン,296524,1,46000,1,500000,35.8617,139.6455
O263,2025-11-23,横浜,ノートパソコン,318292,1,62000,2,300000,35.4437,139.638
O001,2025-11-24,大阪,ノートパソコン,1014598,6,45000,8,300000,34.6937,135.5023
O131,2025-11-24,神戸,タブレット,436111,4,48000,9,600000,34.6901,135.1955
O236,2025-11-25,広島,スマートフォン,401485,2,61000,3,300000,34.3853,132.4553
O293,2025-11-26,神戸,タブレット,661011,6,63000,7,600000,34.6901,135.1955
O270,2025-11-28,広島,モニター,241169,1,53000,1,400000,34.3853,132.4553
O124,2025-11-29,大阪,タブレット,694808,6,78000,14,600000,34.6937,135.5023
O235,2025-11-30,横浜,スマートフォン,667778,5,13000,11,500000,35.4437,139.638
O266,2025-11-30,札幌,モニター,527946,5,14000,8,400000,43.0618,141.3545
O285,2025-12-01,仙台,ノートパソコン,516518,2,78000,3,400000,38.2682,140.8694
O123,2025-12-02,名古屋,ノートパソコン,721875,4,43000,7,600000,35.1815,136.9066
O157,2025-12-02,那覇,モニター,567449,4,67000,6,600000,26.2124,127.6809
O213,2025-12-02,仙台,タブレット,249772,1,57000,2,600000,38.2682,140.8694
O162,2025-12-03,さいたま,モニター,277910,1,54000,1,500000,35.8617,139.6455
O060,2025-12-04,大阪,タブレット,512240,5,52000,11,400000,34.6937,135.5023
O193,2025-12-05,仙台,モニター,635218,5,58000,6,400000,38.2682,140.8694
O041,2025-12-06,大阪,モニター,344029,3,24000,6,400000,34.6937,135.5023
O110,2025-12-06,神戸,ノートパソコン,663724,4,21000,5,300000,34.6901,135.1955
O225,2025-12-08,仙台,ノートパソコン,955558,5,79000,11,400000,38.2682,140.8694
O009,2025-12-10,広島,ノートパソコン,867510,5,31000,10,400000,34.3853,132.4553
O144,2025-12-10,那覇,スマートフォン,696879,5,29000,9,600000,26.2124,127.6809
O061,2025-12-11,広島,モニター,243201,2,28000,2,600000,34.3853,132.4553
O107,2025-12-11,広島,ノートパソコン,513021,2,70000,3,500000,34.3853,132.4553
O281,2025-12-11,広島,ノートパソコン,675395,4,42000,8,300000,34.3853,132.4553
O168,2025-12-12,大阪,タブレット,513656,4,64000,7,600000,34.6937,135.5023
O002,2025-12-13,那覇,ノートパソコン,884165,5,64000,5,400000,26.2124,127.6809
O052,2025-12-14,那覇,タブレット,144237,1,24000,1,500000,26.2124,127.6809
O015,2025-12-15,神戸,ノートパソコン,793104,4,58000,9,500000,34.6901,135.1955
O180,2025-12-15,札幌,タブレット,594786,6,50000,9,600000,43.0618,141.3545
O264,2025-12-15,名古屋,ノートパソコン,848334,5,30000,9,600000,35.1815,136.9066
O210,2025-12-17,さいたま,スマートフォン,790175,6,33000,6,600000,35.8617,139.6455
O089,2025-12-20,さいたま,スマートフォン,492196,4,12000,5,600000,35.8617,139.6455
O217,2025-12-20,さいたま,タブレット,373710,4,15000,7,600000,35.8617,139.6455
O275,2025-12-20,大阪,タブレット,333721,3,38000,7,600000,34.6937,135.5023
O090,2025-12-21,横浜,タブレット,654531,6,57000,10,500000,35.4437,139.638
O202,2025-12-23,名古屋,スマートフォン,485384,4,10000,4,400000,35.1815,136.9066
O079,2025-12-25,広島,タブレット,211465,2,24000,4,300000,34.3853,132.4553
O105,2025-12-25,神戸,タブレット,632222,5,79000,8,300000,34.6901,135.1955
O142,2025-12-25,広島,スマートフォン,163443,1,27000,2,500000,34.3853,132.4553
O102,2025-12-28,広島,スマートフォン,222175,1,39000,2,400000,34.3853,132.4553
O084,2025-12-29,名古屋,スマートフォン,435400,2,76000,3,600000,35.1815,136.9066
O251,2025-12-29,札幌,タブレット,368281,4,12000,5,300000,43.0618,141.3545
O198,2025-12-31,那覇,ノートパソコン,491012,3,20000,4,400000,26.2124,127.6809
O226,2025-12-31,名古屋,タブレット,480907,5,38000,12,400000,35.1815,136.9066
